category,item_id,payload_json,canonical_sha256
ontology,value_states,"[""NOT_EVALUATED_NULL"",""COMPLETE"",""TIMEOUT"",""OOM"",""NUMERIC_FAILURE"",""CORRUPT_SHARD"",""MISSING_TOOL"",""MISSING_EXTERNAL_ASSET"",""MISSING_BOARD"",""INELIGIBLE_SIGNATURE"",""REGISTERED_CENSORING""]",eb2b21d581a1754f2b1bfdf0cf7917372f9ee31fc08036ce28f182e638b635da
ontology,evidence_grades,"[{""claim_scope"":[""protocol_frozen""],""grade_id"":""PROTOCOL_ONLY""},{""claim_scope"":[""external_context_only""],""grade_id"":""LITERATURE_ONLY""},{""claim_scope"":[""source_intake_only""],""grade_id"":""OFFICIAL_SOURCE_PINNED""},{""claim_scope"":[""official_exact_reproduction""],""grade_id"":""OFFICIAL_EXACT_REPRODUCTION""},{""claim_scope"":[""registered_reimplementation_only""],""grade_id"":""PAPER_CONSTRAINED_REIMPLEMENTATION""},{""claim_scope"":[""development_diagnostic_only""],""grade_id"":""PROJECT_NATIVE_DEVELOPMENT_SIMULATION""},{""claim_scope"":[""task_local_formal_simulation""],""grade_id"":""UNTOUCHED_FORMAL_SIMULATION""},{""claim_scope"":[""task_local_cross_backend_formal""],""grade_id"":""INDEPENDENT_BACKEND_REEVALUATION""},{""claim_scope"":[""integer_reference_only""],""grade_id"":""FIXED_POINT_REFERENCE""},{""claim_scope"":[""preboard_replay_only""],""grade_id"":""CXXRTL_PREBOARD""},{""claim_scope"":[""rtl_property_only""],""grade_id"":""RTL_PROPERTY_PROOF""},{""claim_scope"":[""tool_device_specific_estimate_only""],""grade_id"":""POST_ROUTE_ESTIMATE""},{""claim_scope"":[""recorded_iq_board_hil""],""grade_id"":""RECORDED_IQ_HIL_MEASURED""},{""claim_scope"":[""raw_iq_source_to_trigger_board_hil""],""grade_id"":""RAW_IQ_HIL_MEASURED""},{""claim_scope"":[""physical_qec_and_break_even""],""grade_id"":""QPU_MEASURED""}]",8ce5fa26914dc470d952fd645c7263bf09a0f585a02c892305822f7b209a86d0
ontology,baseline_classes,"[{""class_id"":""MATCHED_DEPLOYABLE_RANKED"",""may_support_sota"":true,""ranked"":true},{""class_id"":""CAPACITY_CEILING_NONRANKING"",""may_support_sota"":false,""ranked"":false},{""class_id"":""PRIVILEGED_UPPER_BOUND_NONRANKING"",""may_support_sota"":false,""ranked"":false},{""class_id"":""PROTOCOL_ANCHOR_NONRANKING"",""may_support_sota"":false,""ranked"":false}]",770d36b686deb7f07e6a16d79002e8bef9cf718ad61320be02acb7b04d23de0b
ontology,result_states,"[""NOT_EVALUATED_NULL"",""INCOMPLETE"",""GO"",""NO_GO""]",e8165aa37883f5a5cd48d4ff53b0337803251fe8a20777513a02cf7b3f8c87fa
shared_contract,split_contract,"{""formal_access_before_pilot_lock"":""PROHIBITED"",""formal_reselection"":""PROHIBITED"",""ordered_splits"":[""train"",""calibration"",""pilot"",""formal""],""outcome_directed_resize"":""PROHIBITED"",""pilot_selection_passes"":1,""task_timing"":""T9.1.4 and T9.6.1 may add immutable registry size and N without weakening this interface""}",0db337a2652040d32300f9b10c293c0df0e20ef8d97fd733413af1dbfefc9212
shared_contract,observed_only_contract,"{""allowed_prefix"":""o_<=t,a_<t with frozen timestamps and reset acknowledgements"",""future_suffix"":""PROHIBITED"",""hidden_state"":""PROHIBITED_DEPLOYABLE_ALLOWED_TEACHER_OR_UPPER_BOUND_ONLY"",""scenario_identity"":""PROHIBITED_UNLESS_PHYSICALLY_OBSERVED_AND_PREREGISTERED""}",09b6c9df936089da9e314824b03837f69b3358d04af00158b309a30c46e7b916
shared_contract,baseline_eligibility_contract,"{""all_required_equal"":[""task_signature"",""observation_tokens_and_history"",""formal_samples_and_traces"",""action_set_and_action_cost"",""observed_only_privilege"",""update_cadence"",""precision"",""memory_compute_cpu_gpu_budget"",""wall_clock_deadline"",""restart_checkpoint_selection_ledger"",""missingness_qualification""],""best_of_n_without_full_ledger"":""INELIGIBLE_SIGNATURE"",""mandatory_baseline_failure"":""RETAIN_ROW_AND_CLOSE_SOTA_GATE"",""ranked_class"":""MATCHED_DEPLOYABLE_RANKED""}",4c23b972323fa5bb8db7b60ad4e31ac7206c09ad9609880232279416dec66393
shared_contract,multiplicity_contract,"{""external_unpaired_point_only"":""CONTEXT_ONLY_NOT_PROMOTION_ELIGIBLE"",""familywise_alpha"":0.05,""method"":""paired_cluster_maxT_bootstrap"",""minimum_resamples"":50000,""posthoc_metric_subgroup_or_comparator_selection"":""PROHIBITED"",""resampling_unit"":""device_scenario_trajectory_cluster"",""scope"":""all promotion contrasts and promotion endpoints within each lane""}",281beeeda40c906313189167147bc49b7106721b2a4ae09c7f9de3392d720d2c
shared_contract,independent_backend_contract,"{""averaging_across_backends"":""PROHIBITED"",""disagreement"":""INCOMPLETE_EVIDENCE_AND_STOP_FORMAL_PROMOTION"",""promotion_rule"":""each_backend_must_independently_pass_all_registered_primary_gates"",""shared_kernel_likelihood_truth_or_rng"":""PROHIBITED""}",c7ba93353e919d12126abc67cd9699770314bda02db730c1429ffed92e3ab199
shared_contract,cycle_time_ledger_contract,"{""component_value_state"":""MUST_BE_IMMUTABLY_FILLED_FROM_T9.2_T9.3_DEVICE_PROTOCOL_BEFORE_PILOT"",""component_values"":null,""missing_numeric_mapping"":""INCOMPLETE_PHYSICAL_TIME_CLAIM_NOT_ZERO"",""per_action_per_trajectory_ledger"":""REQUIRED"",""physical_cycle_formula"":""t_sBs_base_plus_measurement_readout_plus_action_conditioned_reset_plus_control_plus_fallback_plus_idle"",""simulated_cycles_and_physical_wallclock"":""REPORT_SEPARATELY"",""single_constant_cycle_assumption"":""PROHIBITED_UNLESS_ALL_ACTION_COMPONENTS_ARE_EQUAL_AND_PROVEN""}",12bf92f2c68bb6234a0eca1c10e4f7a85ab8fa9c2a1fe4c6b7bb754ff3f11732
shared_contract,missingness_contract,"{""complete_case_deletion"":""PROHIBITED"",""corrupt_shard_recovery"":""ONLY_SAME_SEED_CONFIG_HASH_REBUILD"",""favourable_subset_only"":""PROHIBITED"",""mandatory_baseline_failure"":""RETAIN_AND_CLOSE_SOTA_GATE"",""missing_board_or_external_asset"":""NULL_OR_BLOCKED_NEVER_ZERO"",""proposed_failure"":""RETAIN_AND_APPLY_CONSERVATIVE_FAILURE_PLUS_INTEGRITY_NO_GO"",""registered_lifetime_censoring"":""VALID_ESTIMAND_OBSERVATION_NOT_MISSING"",""zero_imputation"":""PROHIBITED""}",bddb123f44da2e4d3edaf1a31dd85cbfe8474b380bc753ddc73dab63f40de1a6
shared_contract,nontransfer_contract,"{""aggregate_score"":""PROHIBITED"",""cross_lane_substitution"":""PROHIBITED"",""publication_topology_decision"":""DEFER_TO_T9.8_TRUTH_TABLE"",""winner_count"":""PROHIBITED""}",9b768338457ae145725dde49157dc88007e517fcea41c1e473ec8f1066dd4c6b
external_claim_slot,OFFICIAL_PUVIANI_EXACT,"{""only_blocks"":[""OFFICIAL_EXACT_REPRODUCTION"",""PUVIANI_NMF_SURPASS""],""state"":""MISSING_EXTERNAL_ASSET"",""value"":null}",45025d7974393ed12f8d090d263fbbcaa234888b1c32890d0fd9329127082768
external_claim_slot,PUVIANI_NMF_SURPASS,"{""required_grade"":""OFFICIAL_EXACT_REPRODUCTION"",""state"":""MISSING_EXTERNAL_ASSET"",""value"":null}",aa6ea0344b86ede271d98519c407dfec5bab87bf96d9b6534d389ef4cb8f0494
external_claim_slot,PHYSICAL_BREAK_EVEN,"{""required_grade"":""QPU_MEASURED"",""state"":""NOT_EVALUATED_NULL"",""value"":null}",3ff7e358fac24c67abeb852712b0774735797401ea7df22ae460d04829e4ef6e
external_claim_slot,RAW_IQ_HIL_SPEED,"{""required_grade"":""RAW_IQ_HIL_MEASURED"",""state"":""MISSING_BOARD"",""value"":null}",87b0e7916cd4926b3043c695086f079f76ce41aa494ed6695ccf24699b0f538f
