row_type,record_id,family,status,path,value,detail
comparator,no_correction_idle_memory,protocol_anchor,anchor_only,physics/autonomous_sbs.py,No correction (idle memory),"{""artifact_paths"": [], ""claim_boundary"": ""model-level idle-memory anchor only; not an experimental T1/T2 measurement"", ""comparator_id"": ""no_correction_idle_memory"", ""compute_budget"": ""zero active operations"", ""decision_target"": ""memory preservation without QEC action"", ""deployability"": ""deployable_sanity_anchor"", ""eligible_lanes"": [""protocol_wallclock""], ""expected_fragment"": ""class IdleMemorySimulator"", ""family"": ""protocol_anchor"", ""hidden_truth_access"": false, ""implementation_path"": ""physics/autonomous_sbs.py"", ""information_set"": [""elapsed physical time""], ""label"": ""No correction (idle memory)"", ""metric_scope"": ""fidelity, code survival and logical-Z curve"", ""output_contract"": ""identity control with cavity idle-noise propagation"", ""protocol_scope"": ""finite-cutoff cavity memory; no sBs gates or ancilla events"", ""ranking_status"": ""anchor_only"", ""task_owner"": ""T5.1.1"", ""time_basis"": ""10 us reporting intervals""}"
comparator,standard_binning,decoder,main_anchor,cnn_fpga/benchmark/standard_binning_baseline.py,Standard binning,"{""artifact_paths"": [""docs/t3_1_1_standard_binning_validation.json""], ""claim_boundary"": ""not legacy static_linear and not finite-energy or hardware performance"", ""comparator_id"": ""standard_binning"", ""compute_budget"": ""no fitted parameters"", ""decision_target"": ""current syndrome to logical coset"", ""deployability"": ""deployable_software"", ""eligible_lanes"": [""decoder_current_syndrome"", ""decoder_continuous_drift"", ""decoder_episode_memory"", ""finite_energy_effective""], ""expected_fragment"": ""STANDARD_BINNING_DESCRIPTOR ="", ""family"": ""decoder"", ""hidden_truth_access"": false, ""implementation_path"": ""cnn_fpga/benchmark/standard_binning_baseline.py"", ""information_set"": [""current centered q/p syndrome""], ""label"": ""Standard binning"", ""metric_scope"": ""paired logical decision error"", ""output_contract"": ""fixed central even-even logical-coset decision"", ""protocol_scope"": ""ideal square-GKP syndrome-level decoder"", ""ranking_status"": ""main_anchor"", ""task_owner"": ""T3.1.1"", ""time_basis"": ""per observation""}"
comparator,standard_measurement_feedback_sbs,control_protocol,main_anchor,physics/autonomous_sbs.py,Standard measurement-feedback sBs,"{""artifact_paths"": [""docs/t3_2_8_autonomous_sbs_wallclock_validation.json"", ""docs/t4_4_4_teacher_student_gain_retention.json""], ""claim_boundary"": ""literature timing is not target-board timing and nominal control is not an optimum"", ""comparator_id"": ""standard_measurement_feedback_sbs"", ""compute_budget"": ""15 fixed controls; no online learning"", ""decision_target"": ""nominal repeated sBs memory control"", ""deployability"": ""software_model_anchor"", ""eligible_lanes"": [""protocol_wallclock"", ""control_matched_model"", ""control_oracle_short_horizon""], ""expected_fragment"": ""class NonselectiveSBSSimulator"", ""family"": ""control_protocol"", ""hidden_truth_access"": false, ""implementation_path"": ""physics/autonomous_sbs.py"", ""information_set"": [""current protocol phase"", ""nonselective measurement expectation""], ""label"": ""Standard measurement-feedback sBs"", ""metric_scope"": ""fidelity, logical-Z lifetime, p(g), event burden"", ""output_contract"": ""fixed nominal 15-parameter sBs controls"", ""protocol_scope"": ""finite-cutoff nominal-control measurement-feedback sBs"", ""ranking_status"": ""main_anchor"", ""task_owner"": ""T3.2.8/T4.4.4"", ""time_basis"": ""10 us literature full cycle""}"
comparator,autonomous_sbs,control_protocol,separate_protocol_lane,physics/autonomous_sbs.py,Autonomous sBs,"{""artifact_paths"": [""docs/t3_2_8_autonomous_sbs_wallclock_validation.json""], ""claim_boundary"": ""not a trained autonomous optimum or target-device timing result"", ""comparator_id"": ""autonomous_sbs"", ""compute_budget"": ""fixed controls; protocol-native gate/reset count"", ""decision_target"": ""nominal autonomous memory control"", ""deployability"": ""software_model_baseline"", ""eligible_lanes"": [""protocol_wallclock""], ""expected_fragment"": ""AUTONOMOUS_TIMING ="", ""family"": ""control_protocol"", ""hidden_truth_access"": false, ""implementation_path"": ""physics/autonomous_sbs.py"", ""information_set"": [""current protocol phase""], ""label"": ""Autonomous sBs"", ""metric_scope"": ""fidelity/logical lifetime and event burden"", ""output_contract"": ""fixed nominal nonselective autonomous sBs channel"", ""protocol_scope"": ""finite-cutoff autonomous protocol with reset and no measurement"", ""ranking_status"": ""separate_protocol_lane"", ""task_owner"": ""T3.2.8"", ""time_basis"": ""7 us literature full cycle""}"
comparator,static_periodic_map,decoder,main_candidate,cnn_fpga/benchmark/static_map_baseline.py,Static training-average periodic MAP,"{""artifact_paths"": [""docs/t3_1_2_static_map_validation.json""], ""claim_boundary"": ""model/scenario-specific static MAP, not oracle MAP"", ""comparator_id"": ""static_periodic_map"", ""compute_budget"": ""frozen static parameter table"", ""decision_target"": ""current syndrome to logical coset"", ""deployability"": ""deployable_software"", ""eligible_lanes"": [""decoder_current_syndrome"", ""decoder_continuous_drift"", ""decoder_episode_memory""], ""expected_fragment"": ""def build_static_map_validation"", ""family"": ""decoder"", ""hidden_truth_access"": false, ""implementation_path"": ""cnn_fpga/benchmark/static_map_baseline.py"", ""information_set"": [""current syndrome"", ""training-only frozen noise parameters""], ""label"": ""Static training-average periodic MAP"", ""metric_scope"": ""paired LER and proper scores"", ""output_contract"": ""periodic-Gaussian MAP logical coset"", ""protocol_scope"": ""single-mode ideal syndrome decoder"", ""ranking_status"": ""main_candidate"", ""task_owner"": ""T3.1.2"", ""time_basis"": ""per observation""}"
comparator,topk_periodic_map,decoder_approximation,implementation_sensitivity,cnn_fpga/benchmark/topk_lattice_coset_map.py,Top-K periodic MAP,"{""artifact_paths"": [""docs/t3_1_5_topk_map_validation.json""], ""claim_boundary"": ""not surface K-MWM, universal K or an independent oracle"", ""comparator_id"": ""topk_periodic_map"", ""compute_budget"": ""explicit K-dependent comparisons and accumulations"", ""decision_target"": ""current syndrome to logical coset"", ""deployability"": ""deployable_candidate"", ""eligible_lanes"": [""decoder_current_syndrome""], ""expected_fragment"": ""def build_topk_validation"", ""family"": ""decoder_approximation"", ""hidden_truth_access"": false, ""implementation_path"": ""cnn_fpga/benchmark/topk_lattice_coset_map.py"", ""information_set"": [""current syndrome"", ""same frozen static parameters""], ""label"": ""Top-K periodic MAP"", ""metric_scope"": ""agreement/LER/cost versus full MAP"", ""output_contract"": ""per-coset top-K alias likelihood"", ""protocol_scope"": ""same single-mode periodic-Gaussian candidate rectangle as full MAP"", ""ranking_status"": ""implementation_sensitivity"", ""task_owner"": ""T3.1.5"", ""time_basis"": ""per observation""}"
comparator,decoder_oracle_map,decoder_bound,nondeployable_reference,cnn_fpga/benchmark/oracle_baseline.py,Hidden-state decoder oracle MAP,"{""artifact_paths"": [""docs/t3_1_3_oracle_validation.json""], ""claim_boundary"": ""not control oracle, channel optimum or actual deployable decoder"", ""comparator_id"": ""decoder_oracle_map"", ""compute_budget"": ""unrestricted hidden-state model evaluation"", ""decision_target"": ""current syndrome to logical coset"", ""deployability"": ""nondeployable"", ""eligible_lanes"": [""decoder_current_syndrome"", ""decoder_continuous_drift"", ""decoder_episode_memory""], ""expected_fragment"": ""def build_oracle_validation"", ""family"": ""decoder_bound"", ""hidden_truth_access"": true, ""implementation_path"": ""cnn_fpga/benchmark/oracle_baseline.py"", ""information_set"": [""current syndrome"", ""true DriftState mean/covariance/mixture/regime""], ""label"": ""Hidden-state decoder oracle MAP"", ""metric_scope"": ""paired LER and decoder-oracle gap"", ""output_contract"": ""Bayes/MAP logical coset and posterior"", ""protocol_scope"": ""frozen assumed periodic-mixture decoder model"", ""ranking_status"": ""nondeployable_reference"", ""task_owner"": ""T3.1.3"", ""time_basis"": ""time-aligned per observation""}"
comparator,finite_energy_static_shrinkage,decoder,separate_fidelity_lane,physics/finite_energy_trends.py,Finite-energy static shrinkage,"{""artifact_paths"": [], ""claim_boundary"": ""not full approximate-GKP recovery, Fock channel optimum or device-calibrated decoder"", ""comparator_id"": ""finite_energy_static_shrinkage"", ""compute_budget"": ""one frozen scalar gain"", ""decision_target"": ""finite-energy noisy syndrome to bounded analog correction"", ""deployability"": ""deployable_effective_model"", ""eligible_lanes"": [""finite_energy_effective""], ""expected_fragment"": ""def run_finite_energy_shrinkage_trend"", ""family"": ""decoder"", ""hidden_truth_access"": false, ""implementation_path"": ""physics/finite_energy_trends.py"", ""information_set"": [""current syndrome"", ""training-fitted frozen gain""], ""label"": ""Finite-energy static shrinkage"", ""metric_scope"": ""held-out residual MSE and paired parity error"", ""output_contract"": ""c=g*s with one static gain per frozen finite-energy setting"", ""protocol_scope"": ""syndrome-level effective finite-energy-noise model"", ""ranking_status"": ""separate_fidelity_lane"", ""task_owner"": ""T1.2.3"", ""time_basis"": ""per observation""}"
comparator,memory_bayesian,decoder,main_candidate_same_episode_only,cnn_fpga/benchmark/memory_assisted_bayesian_decoder.py,Memory-assisted Bayesian decoder,"{""artifact_paths"": [""docs/t3_2_1_memory_bayesian_validation.json""], ""claim_boundary"": ""episode result cannot be pooled with continuous per-round decoding"", ""comparator_id"": ""memory_bayesian"", ""compute_budget"": ""explicit history-state and grid budget"", ""decision_target"": ""bounded syndrome episode to logical decision"", ""deployability"": ""software_candidate"", ""eligible_lanes"": [""decoder_episode_memory""], ""expected_fragment"": ""def build_memory_bayesian_validation"", ""family"": ""decoder"", ""hidden_truth_access"": false, ""implementation_path"": ""cnn_fpga/benchmark/memory_assisted_bayesian_decoder.py"", ""information_set"": [""causal episode syndrome history"", ""registered prior""], ""label"": ""Memory-assisted Bayesian decoder"", ""metric_scope"": ""paired episode logical error"", ""output_contract"": ""periodic Bayesian posterior and logical decision"", ""protocol_scope"": ""bounded no-intermediate-correction syndrome episodes"", ""ranking_status"": ""main_candidate_same_episode_only"", ""task_owner"": ""T3.2.1"", ""time_basis"": ""per registered episode""}"
comparator,ewma_adaptive_map,decoder_estimator,main_candidate,cnn_fpga/benchmark/continuous_adaptive_map.py,EWMA adaptive periodic MAP,"{""artifact_paths"": [""docs/t3_2_2_continuous_adaptive_map_validation.json""], ""claim_boundary"": ""training-frozen model; no hidden state or universal drift advantage claim"", ""comparator_id"": ""ewma_adaptive_map"", ""compute_budget"": ""four complex EWMA state values"", ""decision_target"": ""drifting syndrome to logical coset"", ""deployability"": ""deployable_software"", ""eligible_lanes"": [""decoder_continuous_drift""], ""expected_fragment"": ""def build_continuous_adaptive_validation"", ""family"": ""decoder_estimator"", ""hidden_truth_access"": false, ""implementation_path"": ""cnn_fpga/benchmark/continuous_adaptive_map.py"", ""information_set"": [""causal periodic moments"", ""training-frozen alpha""], ""label"": ""EWMA adaptive periodic MAP"", ""metric_scope"": ""paired LER, NLL, Brier and tracking RMSE"", ""output_contract"": ""EWMA state estimate followed by periodic MAP"", ""protocol_scope"": ""continuous wrapped-Gaussian drift"", ""ranking_status"": ""main_candidate"", ""task_owner"": ""T3.2.2"", ""time_basis"": ""one-window delayed""}"
