row_id,component_id,component,evidence_state,online_privilege,offline_truth_role,source_ids,boundary
MTH-001,protocol_aligned_simulator,Protocol-aligned syndrome/effective simulator,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T2.1.1/T2.1.3/T2.2.1/T2.2.2,Not a calibrated cavity--transmon digital twin
MTH-002,observation_truth_split,Observed packet and isolated truth record,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T2.1.1/T6.5.2,"Truth cannot enter an adapter, posterior, image, or action"
MTH-003,unified_execution_contract,Packet/LUT/budget/deadline contract,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,NONE,T6.5.2/T6.6.1,A common cap is not equal measured cost
MTH-004,v4_hmm,Four-state causal HMM and heavy-tail event head,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T6.6.3,"Must not be renamed IMM, BOCPD, or activation prediction"
MTH-005,v4_window_ewma,Window/EWMA dual-shadow estimators,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T6.6.2/T6.6.3/T6.7,"Tail behavior establishes EWMA-relative non-inferiority, not improvement"
MTH-006,v4_typed_bank,"A/B commit, event/reset, and LKG policy",IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,NONE,T6.6.2/T6.7.3,V4 transactions are not V5 typed-policy residency evidence
MTH-007,matched_baselines,Standard/static/Window/EWMA/Kalman comparators,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T6.6.1/T6.7.1/T6.7.2,Static joint MAP remains software-only for current RTL
MTH-008,hidden_oracle,Hidden-state MAP oracle,IMPLEMENTED_EVALUATED,NONE,OFFLINE_TRUTH_ONLY_SCORING,T6.5.2/T6.7.1,Nondeployable upper bound; excluded from matched cost/rank
MTH-009,v4_statistics,Calibration/pilot/formal lock and clustered inference,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T6.5.3/T6.6.3/T6.7.1/T6.7.2,Prior-informed V1--V4 history must remain disclosed
MTH-010,v4_integer_cxxrtl,Integer golden and million-cycle CXXRTL,IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,NONE,T6.2.2/T6.7.3,Sampled equivalence and mutation coverage are not exhaustive formal proof
MTH-011,v4_post_route,"Two-profile, three-seed open-source P&R",IMPLEMENTED_EVALUATED,ONLINE_OBSERVED_ONLY,NONE,T6.9.1,"Estimate only; no vendor signoff, transport, or board timing"
MTH-012,v5_headroom,Causal/action-space headroom audit,DIAGNOSTIC_ONLY_EXECUTED,ONLINE_OBSERVED_ONLY,OFFLINE_TRUTH_ONLY_SCORING,T6.10.1/T6.15.5,Negative entry audit is not a V5 formal performance result
MTH-013,v5_four_split,Fresh train/calibration/pilot/formal split,CONDITIONALLY_REGISTERED_STOPPED,NONE_NOT_RUN,NONE_NOT_RUN,T6.10.3,"No split manifest, power plan, or untouched V5 formal data exists"
MTH-014,v5_posterior,"Multiscale features, IMM/BOCPD, activation prediction",CONDITIONALLY_REGISTERED_STOPPED,NONE_NOT_RUN,NONE_NOT_RUN,T6.11.1--T6.11.4,Dropped before implementation or calibration
MTH-015,v5_map_risk,Posterior-predictive MAP and LER/CVaR risk calibration,CONDITIONALLY_REGISTERED_STOPPED,NONE_NOT_RUN,NONE_NOT_RUN,T6.12.1--T6.12.3,"No compiler image, risk threshold, or quantized action exists"
MTH-016,v5_typed_policy,Typed expert/two-bank V5 policy,CONDITIONALLY_REGISTERED_STOPPED,NONE_NOT_RUN,NONE_NOT_RUN,T6.12.4,No V5 resident-bank transaction or event action was executed
MTH-017,v5_qualification,V5 fixed-point/formal/CXXRTL/P&R,CONDITIONALLY_REGISTERED_STOPPED,NONE_NOT_RUN,NONE_NOT_RUN,T6.15.1--T6.15.4,"No V5 golden, proof, trace, netlist, resource, or timing result"
MTH-018,physical_board,Physical board/HIL measurement,FUTURE_PHYSICAL_WORK_BLOCKED,PHYSICAL_INPUT_PENDING,PHYSICAL_SCORING_PENDING,T6.9.2,All 42 measured fields remain null
