row_id,topic,discussion_state,source_ids,boundary
DC-001,restricted_contribution,INTERPRETATION_ESTABLISHED,V4/T7.1.1,"Integration and falsification, not a winning decoder"
DC-002,role_separation,INTERPRETATION_ESTABLISHED,T6.5--T7.2.3,"MAP, safety FSM, fast path, and learning modules own different claims"
DC-003,locked_ewma_positive,INTERPRETATION_ESTABLISHED,T6.7.1/T6.7.4,Positive only against the preregistered EWMA contrast
DC-004,static_window_negative,LIMITATION_REQUIRED,T6.7.1/T6.9.3,Static and Window prevent a best-decoder claim
DC-005,v5_causal_stop,LIMITATION_REQUIRED,T6.10.1/T6.15.5,Observed-only causal/action headroom failed before V5 implementation
DC-006,tail_noninferiority,INTERPRETATION_ESTABLISHED,T6.7.2/T6.7.4,Safety non-inferiority is not broad tail superiority
DC-007,intervention_occupancy,COST_REQUIRED,T6.7.2,Fallback and unnecessary fallback can dominate tail intervals
DC-008,host_update_cost,COST_REQUIRED,T6.5.2/T6.8.3,Slow-loop cadence and compute budget are separate from fast-path cycles
DC-009,fast_path_cost,COST_REQUIRED,T6.7.3/T6.9.1,Six-cycle II=1 and P&R are pre-board evidence
DC-010,offline_learning_only,LIMITATION_REQUIRED,T4.4/T5.5,No board-resident or on-board training
DC-011,board_measurement_null,LIMITATION_REQUIRED,T6.9.2,All 42 physical-board fields remain null
DC-012,single_mode_model_scope,EXTERNAL_VALIDITY_REQUIRED,T0.1.1/T2.1,Single-mode square-lattice syndrome/effective model
DC-013,no_calibrated_cavity_transmon,EXTERNAL_VALIDITY_REQUIRED,T0.1.2/T8,No calibrated cavity/transmon pulse-level device model or experiment
DC-014,synthetic_drift_scope,EXTERNAL_VALIDITY_REQUIRED,T1.3/T6.6,Held-out synthetic generators do not establish real drift prevalence
DC-015,no_physical_lifetime,LIMITATION_REQUIRED,T5.5.2/T8,Per-round simulated LER is not a physical lifetime
DC-016,no_outer_threshold,LIMITATION_REQUIRED,T0.1.1,No surface-code or fault-tolerant threshold from single-mode data
DC-017,task_signature_comparison,INTERPRETATION_ESTABLISHED,T6.16--T6.19,CI/ML/NN/AQEC/CPD/NMF/FPGA lanes have no global leaderboard
DC-018,phase6c_separation,LIMITATION_REQUIRED,T6.19.3,Secondary CPD/CNOT/AQEC evidence cannot rescue V5
DC-019,identifiability_first,INTERPRETATION_ESTABLISHED,T6.10.1,Require prospective causal information before estimator expansion
DC-020,action_value_first,INTERPRETATION_ESTABLISHED,T6.10.1,Require realizable action-value headroom before compiler expansion
DC-021,real_data_intake,FUTURE_GATE_ONLY,T8.1.1--T8.1.3,"Immutable metadata, units, labels, permission, and chronological splits"
DC-022,shadow_mode,FUTURE_GATE_ONLY,T8.2.1,Prospective output logging without actuation
DC-023,board_hil,FUTURE_GATE_ONLY,T6.9.2,"Named-board streaming HIL populates timing, power, and 42 fields"
DC-024,guarded_qpu,FUTURE_GATE_ONLY,T8.2.2--T8.2.3,Frame first; displacement only after separate authorization
DC-025,physical_effectiveness,FUTURE_GATE_ONLY,T5.5.2/T8,Matched corrected and best-physical channels on the same device
DC-026,break_even_gate,FUTURE_GATE_ONLY,T5.5.2/T8,Decay-rate ratio with simultaneous lower confidence bound above one
DC-027,balanced_conclusion,CONCLUSION_BOUNDARY,T7.1.1/T7.2.3,"Conclusion retains positives, negatives, nulls, and prohibited upgrades"
