section,row_id,lane_or_panel,state_or_namespace,payload_json,payload_sha256
claim,MM_OPENED_TASK_LOCAL_GAIN,MULTIMODE_SOFTWARE_ALGORITHM,RESULTS_ONLY_NONRANKING,"{""boundary"":""This is task-local opened development evidence; it is not the Phase-6D strongest-baseline or frozen-benchmark SOTA result."",""claim_id"":""MM_OPENED_TASK_LOCAL_GAIN"",""current_result"":{""absolute_improvement"":{""ci_high"":0.06492635677083333,""ci_low"":0.0644128125,""clusters"":32,""mean"":0.0646684375,""resamples"":20000},""candidate_allocated_bytes_first_decode_max"":20448,""candidate_cvar95_window_ler"":0.24062666933760685,""candidate_p_L"":0.1722609375,""candidate_runtime_seconds"":1853.8019994000108,""candidate_seconds_per_decode"":0.00019310437493750112,""candidate_worst_window_ler"":0.291015625,""cycles"":9600000,""static_euclidean_p_L"":0.236929375},""evidence"":{""code"":[""mm_opened_code""],""configs"":[""self_config"",""mm_opened_config""],""raw_data"":[""mm_opened_raw""],""reports"":[""mm_opened_report""],""selectors"":[""summaries.aggregate"",""comparisons.aggregate"",""formal_counts"",""claim_boundary""],""sources"":[""mm_official_source""]},""forbidden_wording"":[""multimode SOTA"",""strongest deployable baseline"",""implemented by the six-cycle RTL""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""metric_namespaces"":[""LER"",""TAIL"",""COMPUTE""],""safe_wording"":""On the opened project-native d=3 heteroscedastic drift extension, observed-only posterior-weighted CPD lowers paired LER and registered tail metrics relative to the two implemented static CPD baselines."",""state"":""RESULTS_ONLY_NONRANKING"",""wording_status"":""SAFE""}",031d58ebf9d59d200fa5f5f6e5c7f272aebb10cb1a2af0527463becda0e3402f
claim,MM_V1_CAUSAL_HEADROOM_NO_GO,MULTIMODE_SOFTWARE_ALGORITHM,MANDATORY_NEGATIVE,"{""boundary"":""All 13 development families and both retained baseline candidates remain visible; pilot and formal splits were not accessed."",""claim_id"":""MM_V1_CAUSAL_HEADROOM_NO_GO"",""current_result"":{""baseline_p_L"":0.11197916666666667,""formal_or_pilot_accessed"":false,""proposed_p_L"":0.11197916666666667,""relative_improvement_lcb"":0.0,""relative_improvement_point"":0.0,""strongest_baseline"":""static_mixture_exact_mld"",""verdict"":""NO_GO_MULTIMODE_CAUSAL_HEADROOM""},""evidence"":{""code"":[""mm_headroom_code""],""configs"":[""self_config"",""mm_headroom_config""],""raw_data"":[""mm_headroom_raw"",""mm_headroom_source_data""],""reports"":[""mm_headroom_report""],""selectors"":[""strongest_development_baseline_selection"",""paired_bootstrap"",""headroom_gate"",""scope""],""sources"":[""mm_headroom_source"",""cancellation_ledger""]},""forbidden_wording"":[""passed the 10% gate"",""delete the strongest baseline"",""rescued by RTL safety""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""metric_namespaces"":[""LER"",""EVIDENCE_STATE""],""safe_wording"":""The preregistered Phase-6D v1 causal-headroom gate failed: the risk-aware action equals the strongest retained static-mixture exact-MLD baseline, giving zero paired relative improvement and zero lower confidence bound."",""state"":""MANDATORY_NEGATIVE"",""wording_status"":""SAFE""}",1c397ade51f0cea79045209638d16d1b0073457d8bd2e99e264d605c1c35f400
claim,MM_FROZEN_BENCHMARK_SOTA_BLOCKED,MULTIMODE_SOFTWARE_ALGORITHM,BLOCKED_NOT_RUN,"{""boundary"":""T6.18.3 remains a task-local positive comparator result and cannot replace the unrun strongest-baseline promotion gate."",""claim_id"":""MM_FROZEN_BENCHMARK_SOTA_BLOCKED"",""current_result"":null,""evidence"":{""code"":[""mm_headroom_code""],""configs"":[""self_config"",""mm_headroom_config""],""raw_data"":[""mm_headroom_raw"",""mm_headroom_source_data""],""reports"":[""mm_headroom_report""],""selectors"":[""strongest_development_baseline_selection"",""paired_bootstrap"",""headroom_gate"",""scope""],""sources"":[""mm_headroom_source"",""cancellation_ledger""]},""forbidden_wording"":[""frozen-benchmark SOTA"",""universal GKP SOTA"",""formal confirmation""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""metric_namespaces"":[""EVIDENCE_STATE""],""safe_wording"":""No frozen-benchmark multimode SOTA result exists because the preregistered v1 headroom gate failed and T6.24.5 was dropped without pilot or formal access."",""state"":""BLOCKED_NOT_RUN"",""wording_status"":""SAFE""}",c57b44104198c3b92387bb073dcccfd8885e23ae9fe5abbc217713c1a24ff3ca
claim,RTL_DETERMINISTIC_SIX_CYCLE_II1,SINGLE_MODE_DETERMINISTIC_RTL,CURRENT_RESTRICTED,"{""boundary"":""Cycles are RTL/CXXRTL evidence; nanoseconds are a post-route clock model without transport, CDC, pins or physical jitter."",""claim_id"":""RTL_DETERMINISTIC_SIX_CYCLE_II1"",""current_result"":{""cycles_qualified"":1000000,""ii1_input_pairs"":998435,""ii1_output_pairs"":998435,""initiation_interval_cycles"":1,""latency_cycles"":6,""mismatches"":0},""evidence"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""forbidden_wording"":[""multimode decoder latency"",""board-measured latency"",""fastest FPGA decoder""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""metric_namespaces"":[""LATENCY_CYCLES"",""INITIATION_INTERVAL"",""CXXRTL""],""safe_wording"":""The exact single-mode converged RTL has a six-cycle, II=1 pre-board source-to-action architecture and passed a one-million-cycle full-public-vector CXXRTL qualification with zero mismatch."",""state"":""CURRENT_RESTRICTED"",""wording_status"":""SAFE""}",db15c85f9e6749b0575c3aa7231ec9798456143d484250ff1b006796ee39e0af
claim,RTL_ATOMIC_FAIL_CLOSED,SINGLE_MODE_DETERMINISTIC_RTL,CURRENT_RESTRICTED,"{""boundary"":""The proof scope is the stated two-state RTL model and does not establish physical CDC, metastability or unbounded liveness."",""claim_id"":""RTL_ATOMIC_FAIL_CLOSED"",""current_result"":{""formal_gates"":{""passed"":17,""total"":17},""formal_mutations"":{""killed"":21,""minimum"":18,""total"":21},""long_gates"":{""passed"":19,""total"":19},""long_semantic_mutations"":{""detected"":21,""total"":21}},""evidence"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""forbidden_wording"":[""physical fail-safe proof"",""multimode safety proof"",""board verified""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""metric_namespaces"":[""PROPERTY"",""CXXRTL""],""safe_wording"":""The exact converged production top passes the stated atomic versioned-bank, fail-closed, cover and mutation-closed pre-board property contract."",""state"":""CURRENT_RESTRICTED"",""wording_status"":""SAFE""}",713bb9d4809c30accded64d4ca72c7d36e3bc11304e5311457ab27c52067b0fd
claim,RTL_POST_ROUTE_ESTIMATE,SINGLE_MODE_DETERMINISTIC_RTL,CURRENT_RESTRICTED,"{""boundary"":""All three critical paths terminate in the observability fold, so Fmax is a conservative qualification-harness estimate rather than bare-core or board source-to-action speed."",""claim_id"":""RTL_POST_ROUTE_ESTIMATE"",""current_result"":{""clock_model"":{""at_27mhz_ns"":222.22222222222223,""at_minimum_fmax_ns"":163.06799196180498,""cycles"":6,""deadline_miss_count"":null,""evidence_level"":""post-route clock model; no transport or physical jitter"",""initiation_interval_cycles"":1,""jitter_ns"":null},""critical_paths"":[{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q"",""end_component"":""observability_fold"",""end_location"":[7,12],""from_clock"":""posedge converged.clk"",""logic_ns"":11.972000300884247,""period_ns"":26.40700029209256,""routing_ns"":14.16899998486042,""seed"":1,""segment_count"":93,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.phase_frame_x_DFFRE_Q"",""start_component"":""production_core"",""start_location"":[22,14],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true},{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q_15"",""end_component"":""observability_fold"",""end_location"":[6,14],""from_clock"":""posedge converged.clk"",""logic_ns"":9.858000248670578,""period_ns"":26.500000212341547,""routing_ns"":16.375999957323074,""seed"":7,""segment_count"":77,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.leakage_clean_run_DFFRE_Q_1"",""start_component"":""production_core"",""start_location"":[19,15],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true},{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q"",""end_component"":""observability_fold"",""end_location"":[7,10],""from_clock"":""posedge converged.clk"",""logic_ns"":10.30700021982193,""period_ns"":27.17800024524331,""routing_ns"":16.605000019073486,""seed"":19,""segment_count"":81,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.leakage_clean_run_DFFRE_Q"",""start_component"":""production_core"",""start_location"":[22,11],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true}],""fmax_mhz"":{""maximum"":37.86874771118164,""median"":37.73584747314453,""minimum"":36.79446792602539,""spread"":1.07427978515625},""resource_summary"":{""ALU"":{""available"":15552,""maximum"":590,""median"":590,""minimum"":590},""BSRAM"":{""available"":46,""maximum"":8,""median"":8,""minimum"":8},""DFF"":{""available"":15552,""maximum"":2495,""median"":2495,""minimum"":2495},""IOB"":{""available"":384,""maximum"":18,""median"":18,""minimum"":18},""LUT4"":{""available"":20736,""maximum"":6130,""median"":6118,""minimum"":6108},""MULT18X18"":{""available"":48,""maximum"":1,""median"":1,""minimum"":1},""MULT9X9"":{""available"":96,""maximum"":1,""median"":1,""minimum"":1}}},""evidence"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""forbidden_wording"":[""bare-core Fmax"",""vendor signoff"",""measured power"",""fastest""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""metric_namespaces"":[""POST_ROUTE"",""RESOURCE"",""LATENCY_CYCLES""],""safe_wording"":""The exact qualified top passes three-seed open-source GW2AR place-and-route at 27 MHz with the reported whole-harness Fmax and resource ranges."",""state"":""CURRENT_RESTRICTED"",""wording_status"":""SAFE""}",db53d155d70ba2f0f8ddef47e92379efc2b13e5447e7f9273d636394047e0033
claim,RTL_BOARD_MEASUREMENT_BLOCKED,SINGLE_MODE_DETERMINISTIC_RTL,BLOCKED_NOT_RUN,"{""boundary"":""No pre-board clock model, post-route estimate or analytic power sensitivity may fill a measured field."",""claim_id"":""RTL_BOARD_MEASUREMENT_BLOCKED"",""current_result"":{""board_deadline_miss_rate"":null,""board_jitter_ns"":null,""board_latency_ns"":null,""board_power_mw"":null,""physical_commit_latency_us"":null,""physical_transfer_latency_us"":null},""evidence"":{""code"":[""rtl_hardware_code"",""board_blocker_code""],""configs"":[""self_config"",""rtl_hardware_config""],""raw_data"":[""rtl_hardware_raw""],""reports"":[""rtl_hardware_report"",""board_blocker_report""],""selectors"":[""measured_fields"",""evidence_boundary""],""sources"":[""rtl_production_source"",""rtl_hardware_source""]},""forbidden_wording"":[""board measured"",""zero physical deadline miss"",""measured power""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""metric_namespaces"":[""BOARD_NULL"",""EVIDENCE_STATE""],""safe_wording"":""Physical-board correctness, latency, jitter, deadline, transport and power remain unavailable and null."",""state"":""BLOCKED_NOT_RUN"",""wording_status"":""SAFE""}",a082b1ea6eae3f3317ab4d9a7a70b95efdcc35803581799fe54f96dd0446d9f3
claim,RTL_SPEED_ADVANTAGE_PROHIBITED,SINGLE_MODE_DETERMINISTIC_RTL,PROHIBITED_POSITIVE,"{""boundary"":""The hardware contribution is deterministic, atomic and fail-closed pre-board architecture, not a cross-paper speed rank."",""claim_id"":""RTL_SPEED_ADVANTAGE_PROHIBITED"",""current_result"":{""fastest_or_sota"":false},""evidence"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""forbidden_wording"":[""faster than existing FPGA decoders"",""fastest"",""SOTA latency""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""metric_namespaces"":[""EVIDENCE_STATE""],""safe_wording"":""No faster or fastest claim is supported because no same-task physical-board comparator is available and the current Fmax belongs to an observability harness."",""state"":""PROHIBITED_POSITIVE"",""wording_status"":""SAFE""}",910e074d155ad8328f6b28a63c2e98c5359d1839380011f8ac019f9a4f3b5a78
claim,LEARNING_APPROXIMATION_DROPPED,LEARNED_APPROXIMATION_EXTENSION,DROPPED_ABSENT,"{""boundary"":""Legacy CNN evidence remains an ablation only and cannot rescue either primary lane."",""claim_id"":""LEARNING_APPROXIMATION_DROPPED"",""current_result"":{""T6.26.1"":""Dropped"",""T6.26.2"":""Dropped"",""present_in_primary_rtl"":false},""evidence"":{""code"":[""dual_contract_code"",""mm_headroom_code"",""rtl_hardware_code""],""configs"":[""self_config"",""mm_headroom_config"",""rtl_hardware_config""],""raw_data"":[""dual_contract_raw"",""mm_headroom_source_data"",""rtl_hardware_raw""],""reports"":[""dual_contract_report"",""mm_headroom_report"",""rtl_hardware_report""],""selectors"":[""lanes.LEARNED_APPROXIMATION_EXTENSION"",""scope"",""learning_extension""],""sources"":[""cancellation_ledger"",""rtl_hardware_source""]},""forbidden_wording"":[""CNN-centric primary contribution"",""student proves SOTA"",""student proves RTL safety""],""lane_id"":""LEARNED_APPROXIMATION_EXTENSION"",""metric_namespaces"":[""STATUS"",""EVIDENCE_STATE""],""safe_wording"":""CNN/student is absent from the primary Phase-6D result because the v1 headroom gate did not authorize a teacher, distillation, quantization or matched formal-retention run."",""state"":""DROPPED_ABSENT"",""wording_status"":""SAFE""}",13800de86246eec398137b5ee9a6506fc0b0826ddc486df7c509c27d2ef78d75
claim,DUAL_LANE_NONTRANSFERABILITY,META_CONTRACT,META_BOUNDARY,"{""boundary"":""The learning extension is dependent and absent, not a third primary evidence lane."",""claim_id"":""DUAL_LANE_NONTRANSFERABILITY"",""current_result"":{""global_weighted_score"":null,""one_lane_cannot_satisfy_another_lane_gate"":true},""evidence"":{""code"":[""dual_contract_code"",""mm_headroom_code"",""rtl_hardware_code""],""configs"":[""self_config"",""mm_headroom_config"",""rtl_hardware_config""],""raw_data"":[""dual_contract_raw"",""mm_headroom_source_data"",""rtl_hardware_raw""],""reports"":[""dual_contract_report"",""mm_headroom_report"",""rtl_hardware_report""],""selectors"":[""forbidden_transfers"",""headroom_gate"",""evidence_boundary""],""sources"":[""cancellation_ledger"",""rtl_production_source""]},""forbidden_wording"":[""combined LER-latency score"",""RTL rescues multimode"",""multimode validates RTL""],""lane_id"":""META_CONTRACT"",""metric_namespaces"":[""EVIDENCE_STATE""],""safe_wording"":""Multimode software LER evidence and single-mode RTL deterministic/safety evidence are parallel but non-transferable; no weighted global score or cross-lane gate substitution is permitted."",""state"":""META_BOUNDARY"",""wording_status"":""SAFE""}",0b5502c8d2548ba52d2eaa424d3e9bf7da80b0c04c2358ded4cff8d152657eed
