claim_id,final_state,phase7_role,allowed_wording,forbidden_wording_json,current_result_json,evidence_json,remaining_gate,revocation_conditions_json
CONTRACT_SYSTEM_INTEGRATION,SUPPORTED_RESTRICTED_PREBOARD,restricted_preboard_main,Route-A integrates a locked MAP fast path with regime-aware contract/FSM safety and passes preregistered simulator plus one-million-cycle preboard correctness gates.,"[""overall best decoder"",""broad tail improvement"",""measured closed-loop hardware""]","{""measured_board_latency"":false,""promotion_verdict"":""GO_ROUTE_A_CONTRACT_SYSTEM_RESTRICTED_SIMULATOR_AND_PREBOARD_CLAIMS"",""rtl_cycles"":1000000,""rtl_mismatches"":0}","[{""artifact"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""selectors"":[""promotion_decision"",""scientific_results.rtl""],""task_id"":""T6.7.4""},{""artifact"":{""bytes"":61709,""path"":""docs/t6_9_1_route_a_hardware_pareto.json"",""sha256"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96""},""selectors"":[""pareto_decision"",""profiles.route_a_core_no_student""],""task_id"":""T6.9.1""}]",T6.9.2 board evidence plus stronger full-system performance is required for a full cross-lane paper.,"[""any source/config/seed hash drift"",""any nonzero RTL/board mismatch"",""wording expands beyond simulator/preboard scope""]"
SMOOTH_LOCKED_EWMA_ADVANTAGE,SUPPORTED_PAIRED_OUTCOME,restricted_preboard_main,"On the preregistered smooth matrix, Route-A lowers aggregate paired LER relative to the locked EWMA baseline; periodic drift is the only Holm-confirmed family.","[""best smooth decoder"",""advantage over static or Window MAP"",""all-family drift advantage""]","{""holm_confirmed_families"":[""periodic_drift""],""primary_contrast"":{""ci95_high"":2.454828332971639e-05,""ci95_low"":1.9002843786168966e-05,""contrast"":""ewma_adaptive_map_LER_minus_proposed_route_a_LER"",""estimate"":2.1687260380497668e-05,""one_sided_p_nonpositive"":4.999750012499375e-05,""passes_95_lcb_strictly_greater_than_zero"":true},""route_a_is_global_best"":false}","[{""artifact"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""selectors"":[""scientific_results.smooth.primary_contrast"",""scientific_results.smooth.holm_confirmed_families""],""task_id"":""T6.7.4""}]",A new frozen method must beat the strongest deployable baselines across preregistered families before global LER wording.,"[""paired LCB becomes non-positive"",""periodic-only boundary is omitted"",""static/Window rows are removed""]"
STATIC_GKP_SUPERIORITY,FALSIFIED,mandatory_main_negative,Static joint MAP has lower average LER than Route-A on the frozen same-model smooth benchmark.,"[""Route-A outperforms static GKP"",""static-to-oracle gap closure""]","{""route_a_average_ler"":0.000992739642107928,""route_a_worst_window_ler"":0.115234375,""static_average_ler"":0.0009681913587782118,""static_minus_route_a"":{""bootstrap_seed"":202607176999,""ci95_high"":-9.112887912326431e-06,""ci95_low"":-3.9595144766348346e-05,""cluster"":""formal seed"",""clusters"":24,""contrast"":""static_full_MAP_LER_minus_Route_A_LER"",""estimate"":-2.4548283329716452e-05,""one_sided_p_nonpositive"":0.9990000499975001,""replicates"":20000,""route_a_superiority_passes_lcb_gt_zero"":false},""static_worst_window_ler"":0.03125}","[{""artifact"":{""bytes"":48010,""path"":""docs/t6_8_7_route_a_claim_matrix.json"",""sha256"":""2fd3df21c7c198be49c9495e83b3df96091065c7ab94bb4717ee72860baae2ac""},""selectors"":[""claims.STATIC_GKP_SUPERIORITY""],""task_id"":""T6.8.7""}]",Requires a new preregistered same-model experiment with paired improvement CI above zero.,"[""never promote from p95 alone"",""average/worst and paired CI must remain visible""]"
STATIC_K4_HARD_ACTION_EQUIVALENCE,SUPPORTED_PREBOARD_NARROW,supplement_or_hardware_ablation,"For the frozen covariance/prior and complete 10-bit syndrome domain, K4/full static MAP hard actions are identical; resource reductions remain proxies until integrated implementation.","[""K4 universally exact"",""measured FPGA compression advantage""]","{""domain_points"":1048576,""hard_action_disagreements"":0,""retained_bits_full"":3200,""retained_bits_k4"":512}","[{""artifact"":{""bytes"":48010,""path"":""docs/t6_8_7_route_a_claim_matrix.json"",""sha256"":""2fd3df21c7c198be49c9495e83b3df96091065c7ab94bb4717ee72860baae2ac""},""selectors"":[""claims.STATIC_K4_HARD_ACTION_EQUIVALENCE""],""task_id"":""T6.8.7""}]",Re-enumerate every changed model and integrate K4 into RTL/P&R before hardware promotion.,"[""any hard disagreement"",""changed prior without revalidation"",""proxy described as measurement""]"
TAIL_SAFETY_AND_IMPROVEMENT,SAFETY_NONINFERIORITY_ONLY,mandatory_main_limitation,"Abrupt/OOD gates establish locked-EWMA safety/non-inferiority under preregistered catastrophic and nominal margins, not broad tail-LER improvement.","[""tail advantage"",""fault robustness improvement"",""low-cost fallback""]","{""broad_tail_improvement_confirmed"":false,""confirmed_average_improvement_families"":[],""exact_equal_average_families"":[""step_calibration_shift"",""telegraph_drift"",""readout_reset_fault"",""leakage_persistence"",""compound_ood""],""tail_safety_gate_passes"":true}","[{""artifact"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""selectors"":[""scientific_results.tail""],""task_id"":""T6.7.4""}]",Requires preregistered induced-error reduction plus acceptable fallback/false-update costs across abrupt/compound families.,"[""any catastrophic/noninferiority gate failure"",""claim says improvement while confirmed family count remains zero""]"
GENERAL_DRIFT_EXTERNAL_COMPARISON,PERFORMANCE_OUTCOME_BUDGET_FAIL,external_table_with_qualification,"Route-A has lower paired LER than the pinned BOCD wrapper on common traces, while that external comparator fails the strict worst-update wall-clock budget; general drift-adaptive SOTA is not established.","[""matched-budget external superiority"",""general drift-adaptive SOTA"",""Bhardwaj exact reproduction""]","{""paired_outcome"":{""deadline_miss_count"":1,""external_equal_family_ler"":0.011969094324593593,""external_minus_route_a"":{""ci95_high"":1.2368866891571562e-05,""ci95_low"":7.667926826863132e-06,""clusters"":24,""contrast"":""external_bocd_window_ewma_router_LER_minus_proposed_route_a_LER"",""estimate"":1.0018396859217312e-05,""left_worse_if_lcb_gt_zero"":true,""replicates"":20000,""right_worse_if_ucb_lt_zero"":false},""external_update_worst_us"":13004.1,""route_a_equal_family_ler"":0.011959075927734375,""wallclock_cap_us"":5000.0},""sota_state"":""NOT_ESTABLISHED""}","[{""artifact"":{""bytes"":48010,""path"":""docs/t6_8_7_route_a_claim_matrix.json"",""sha256"":""2fd3df21c7c198be49c9495e83b3df96091065c7ab94bb4717ee72860baae2ac""},""selectors"":[""claims.GENERAL_DRIFT_BOCD_OUTCOME"",""claims.GENERAL_DRIFT_MATCHED_BUDGET_SOTA""],""task_id"":""T6.8.7""}]",At least two closest external methods must pass identical worst-case compute/wall-clock budgets.,"[""budget failure omitted"",""one external wrapper is generalized to the field"",""trace identity fails""]"
PUVIANI_NMF_SURPASS,PROHIBITED_SOURCE_INCOMPLETE,negative_reproduction_or_supplement,Official GQF paper-exact reproduction is blocked by missing/inconsistent source artifacts; no same-GQF lifetime comparison or NMF-surpass claim is available.,"[""surpasses Puviani NMF"",""longer physical lifetime than NMF"",""paper-exact reproduction""]","{""exact_status"":""NO_GO_SOURCE_INCOMPLETE"",""matched_branch"":""INELIGIBLE_NEGATIVE_BRANCH_NO_MATCHED_RUN"",""matched_metric_non_null_count"":0,""paper_exact_failed"":15,""paper_exact_passed"":0}","[{""artifact"":{""bytes"":48010,""path"":""docs/t6_8_7_route_a_claim_matrix.json"",""sha256"":""2fd3df21c7c198be49c9495e83b3df96091065c7ab94bb4717ee72860baae2ac""},""selectors"":[""claims.PUVIANI_NMF_SURPASS""],""task_id"":""T6.8.7""}]",All 15 exact gates plus same-GQF matched lifetime LCB must pass; external missing artifacts are not imputed.,"[""reduced diagnostic substitutes for exact"",""project-internal controller substitutes for official NMF""]"
FPGA_DETERMINISTIC_ARCHITECTURE,SUPPORTED_PR_ESTIMATE,restricted_preboard_main,"The no-student Route-A profile preserves the deterministic six-cycle architecture and passes three-seed open-source P&R at 27 MHz; Fmax/resources/power are estimates, not board measurements.","[""measured 222.222 ns"",""vendor timing closure"",""measured power"",""faster than prior FPGA decoders""]","{""clock_model_ns"":222.22222222222223,""fmax_mhz"":{""maximum"":40.402408599853516,""median"":40.26413345336914,""minimum"":39.13740921020508,""spread"":1.2649993896484375},""power_sensitivity_mw"":{""high"":48.981335040000005,""low"":2.0408889600000006,""nominal"":12.245333760000001},""resources"":{""ALU"":{""available"":15552,""used"":448},""BSRAM"":{""available"":46,""used"":8},""DFF"":{""available"":15552,""used"":1069},""IOB"":{""available"":384,""used"":18},""LUT4"":{""available"":20736,""used"":3859},""MULT18X18"":{""available"":48,""used"":1},""MULT9X9"":{""available"":96,""used"":1}}}","[{""artifact"":{""bytes"":61709,""path"":""docs/t6_9_1_route_a_hardware_pareto.json"",""sha256"":""838f0e7fd22b9148b37ae65964c65ac0d6639b03c7e5f90134ed7c374763cd96""},""selectors"":[""profiles.route_a_core_no_student"",""evidence_boundary""],""task_id"":""T6.9.1""}]",T6.9.2 must provide same-bitstream layered physical measurements.,"[""any P&R seed falls below target"",""estimate labels removed"",""harness path described as measured action path""]"
BOARD_MEASURED_CORRECTNESS_LATENCY,BLOCKED_ALL_FIELDS_NULL,blocks_phase7_main_freeze,"No physical-board correctness, latency, deadline, jitter, resource-readback or power result is currently available.","[""zero board deadline misses"",""measured source-to-action latency"",""measured board power""]","{""execution_branch"":""BLOCKED_NO_PHYSICAL_BOARD_BITSTREAM_OR_TRANSPORT"",""null_measured_fields"":42,""physical_prerequisites_failed"":6}","[{""artifact"":{""bytes"":9311,""path"":""docs/t6_9_2_route_a_board_measurement_blocker.json"",""sha256"":""4f6ca1017777a1bf2955d5dec2bc3bb1eb46fa308c44b8652a5051dbe71fed80""},""selectors"":[""prerequisite_ledger"",""measured_results"",""claim_boundary""],""task_id"":""T6.9.2""}]",Complete all nine T6.9.2 recovery conditions and rerun the final evidence gate.,"[""any P&R/model value copied into measured fields"",""phase7 main freeze before physical evidence""]"
FPGA_SPEED_ADVANTAGE,PROHIBITED_NO_SAME_TASK_BOARD_COMPARATOR,mandatory_limitation,No FPGA speed advantage is supported because Route-A has no board measurement and the normalized literature table has zero same-task external comparator rows.,"[""fastest"",""SOTA FPGA decoder"",""lower latency than existing FPGA decoder""]","{""board_measured"":false,""same_task_external_comparator_count"":0,""speed_state"":""PROHIBITED""}","[{""artifact"":{""bytes"":48010,""path"":""docs/t6_8_7_route_a_claim_matrix.json"",""sha256"":""2fd3df21c7c198be49c9495e83b3df96091065c7ab94bb4717ee72860baae2ac""},""selectors"":[""claims.FPGA_SPEED_ADVANTAGE""],""task_id"":""T6.8.7""},{""artifact"":{""bytes"":9311,""path"":""docs/t6_9_2_route_a_board_measurement_blocker.json"",""sha256"":""4f6ca1017777a1bf2955d5dec2bc3bb1eb46fa308c44b8652a5051dbe71fed80""},""selectors"":[""claim_boundary""],""task_id"":""T6.9.2""}]",Requires T6.9.2 physical measurement and a T6.8.6 same-task comparable subset.,"[""cross-code raw latency ranking"",""mixed latency boundaries"",""P&R estimate used as measurement""]"
