row_id,response_state,topic,claim,boundary,source_ids_json,row_sha256
BE-R01,REVIEWER_CONCERN,comment_origin,"The question is a pre-emptive risk, not a supplied verbatim reviewer report.",Keep reviewer identity and exact wording as a visible placeholder.,"[""task_board""]",7e796ed3eda52845424a2819cda21654f997acd11c206e36f5e6cea217b36f10
BE-R02,PRIMARY_DENOMINATOR,phase6d_main_metric,"The current Phase-6D primary denominator includes all 79,872 registered physical rounds and all 13 families.",No confidence-based rejection or accepted-only LER enters the primary result.,"[""headroom"",""posterior_source""]",0a6de603fd53851f7d758af318987319be121c04a36227e0b97184ec598d7fcb
BE-R03,PRIMARY_DENOMINATOR,phase6d_outcome,The proposed method ties strongest static exact MLD at zero relative improvement.,Post-selection is not used to rescue the negative algorithm verdict.,"[""headroom"",""final_gate""]",8effe66d6b49d068bb29704dc08b68bbe304754bb634f05e8f069bde73d49a83
BE-R04,PRIMARY_DENOMINATOR,logical_channel,All 24 historical logical-channel lanes have zero postselected and discarded trajectories.,The CPTNI channel uses unconditional leakage-erasure accounting.,"[""logical_channel""]",98e90122e9d62fdc1f527555a14258da431f9cc453bd77a6c673ff02d49eca68
BE-R05,OFFLINE_DIAGNOSTIC,postselection_role,T3.2.4 is an offline observed-confidence diagnostic with primary_metric_eligible=false.,"It is not an online decoder, physical controller or main-paper gain.","[""postselection""]",6366e0c83163dad6479ea6db68808b7ccb0883855f555e5a09d669fbea2d7952
BE-R06,OFFLINE_DIAGNOSTIC,data_scale,"Thresholds use 294,912 training samples and evaluation uses 1,572,864 disjoint samples.",The task remains synthetic wrapped-Gaussian diagnostic evidence.,"[""postselection""]",ca390e5f94fca5621334edafa0b36a2dab2813f08f79d4e68a76f84099e142b9
BE-R07,OFFLINE_DIAGNOSTIC,conditional_improvement,"At the 90% target, raw/conditional error is 0.013785/0.001242 with 0.899108 acceptance.",Conditional error is reported together with rejection and is not a primary LER.,"[""postselection"",""cost""]",719ff53c666ced23aae84221e867778fe188552a849ea69bcb683981ce75135e
BE-R08,REJECTION_COST,unit_penalty,"The same 90% point has unit-rejection total cost 0.102009, worse than raw error 0.013785.",The apparent conditional improvement is not free.,"[""cost""]",2e14c12620d199ca0821a131e20dcb20c8854910b072b1e2b26aae2f6c54021f
BE-R09,REJECTION_COST,frontier,All eight targets reduce conditional error and all eight are worse under unit rejection penalty.,Both directions remain visible; favorable targets are not cherry-picked.,"[""cost""]",2acffc538ce5a5a2e363fdbc1a19ff957bb32f4a26f0f27fa8a3121b1d5c6599
BE-R10,REJECTION_COST,lane_nonmixing,The offline rejection ledger is not joined to the online QEC channel or safety ledger.,No cross-lane global cost score is constructed.,"[""cost""]",eb52ef44c362889ae17b73c399176fbcc4ff25a5b8ec4f59d6518a211db9602c
BE-R11,COST_GAP,missing_costs,Twelve physical/control/board cost fields remain explicit null values.,"Operation counts do not fill pulse energy, physical reset, latency or best-passive reference.","[""cost""]",0588ab53e4df6729466bef8cac5aeecc317b3dc05bbe2d1a1f4b82f033eba033
BE-R12,OPERATIONAL_BOUNDARY,what_is_established,A 300-us finite-cutoff matched-idle wall-clock operational boundary is established for three terminal profiles.,"It is a sampled sustained/cumulative crossover, not paper-defined break-even.","[""operational_boundary""]",4085386ae43e3e9f93d0d6757113208ef1cf0241388c1c70ce40dd964f44d3e7
BE-R13,OPERATIONAL_BOUNDARY,metric_definition,"The boundary uses full CPTNI F_avg curves, matched idle, no fit and no ratio.","Single-point, area-ratio or exponential-lifetime substitutions are forbidden.","[""operational_boundary"",""fidelity""]",3cc96bdede1a42a14606976e026d10a7c720a5bacc07e036b01307f3883682b5
BE-R14,OPERATIONAL_BOUNDARY,counterexample,The cutoff-12 counterexample is retained and the active short-time rate is unqualified.,Low-cutoff/favorable-terminal selection cannot create a gain.,"[""operational_boundary"",""fidelity""]",cfde01609f5c503e35d1e87fc64bcd41fc8a4853d16f12a29aaeef5276b4628c
BE-R15,COHERENCE_GAIN,not_established,Paper-defined simulation-derived coherence gain remains NOT_ESTABLISHED and its value is null.,Matched encoded idle is not the best passive physical-qubit reference and active costs are incomplete.,"[""operational_boundary"",""cost""]",7ae2dc9aa6046b280a521a5aba06441ca9f865639ae4a5a73b52ea9e0b744756
BE-R16,PHYSICAL_BREAK_EVEN,not_established,Experimental/physical break-even remains NOT_ESTABLISHED.,"No quantum hardware, measured logical lifetime or best-passive device reference exists.","[""operational_boundary"",""cost"",""manuscript""]",43139079dc3d279aad2729a5359f2fe2d023e4031d744f7439dc1df2f8705a7b
