section,row_id,lane_or_task,state_or_verdict,payload_json,payload_sha256
lane_decision,MULTIMODE_SOFTWARE_ALGORITHM,MULTIMODE_SOFTWARE_ALGORITHM,NO_GO,"{""decision"":""NO_GO"",""direct_evidence"":{""baseline_p_L"":0.11197916666666667,""formal_or_pilot_accessed"":false,""headroom_verdict"":""NO_GO_MULTIMODE_CAUSAL_HEADROOM"",""proposed_p_L"":0.11197916666666667,""relative_improvement_lcb"":0.0,""relative_improvement_point"":0.0,""strongest_baseline"":""static_mixture_exact_mld"",""task_status"":""Dropped""},""gate_passed"":false,""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""matrix_context"":""NO_GO_PRIMARY_WITH_OPENED_TASK_LOCAL_CONTEXT"",""permitted_claim"":""opened task-local context plus mandatory v1 strongest-baseline NO-GO"",""required_task"":""T6.24.5""}",73e24770a2a092909fb58498af423b79a85136e47695fda369a3ad61161e0bf4
lane_decision,SINGLE_MODE_DETERMINISTIC_RTL,SINGLE_MODE_DETERMINISTIC_RTL,GO,"{""decision"":""GO"",""direct_evidence"":{""formal_verdict"":""PASS_CONVERGED_PRODUCTION_TOP_PROPERTY_COVER_MUTATION_CLOSED"",""hardware_verdict"":""PASS_EXACT_CONVERGED_TOP_THREE_SEED_PREBOARD_HARDWARE_LANE"",""initiation_interval_cycles"":1,""latency_cycles"":6,""long_verdict"":""PASS_EXACT_CONVERGED_TOP_MILLION_CYCLE_CXXRTL_QUALIFICATION"",""measured_fields"":{""board_deadline_miss_rate"":null,""board_jitter_ns"":null,""board_latency_ns"":null,""board_power_mw"":null,""physical_commit_latency_us"":null,""physical_transfer_latency_us"":null},""minimum_fmax_mhz"":36.79446792602539,""task_status"":""Done"",""wrapper_may_dominate_all"":true},""gate_passed"":true,""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""matrix_context"":""GO_EXACT_TOP_PREBOARD_HARDWARE_LANE"",""permitted_claim"":""exact-top deterministic/atomic/fail-closed pre-board hardware lane"",""required_task"":""T6.25.4""}",4fab000f660e22bd207a5137d003fdef5b1c33429a584dbf7b3fcc1134209a30
lane_decision,LEARNED_APPROXIMATION_EXTENSION,LEARNED_APPROXIMATION_EXTENSION,DROPPED_ABLATION_ONLY,"{""decision"":""DROPPED_ABLATION_ONLY"",""direct_evidence"":{""changes_overall_verdict"":false,""task_status"":""Dropped""},""gate_passed"":false,""lane_id"":""LEARNED_APPROXIMATION_EXTENSION"",""matrix_context"":""DROPPED_ABSENT"",""permitted_claim"":""dropped/ablation status only"",""required_task"":""T6.26.2""}",26b615b5f92ae729d0bf6ef6bc18b5d38404b43615105187d0a99c74d14a8546
final_claim,MM_OPENED_TASK_LOCAL_GAIN,MULTIMODE_SOFTWARE_ALGORITHM,RETAIN_CONTEXT_ONLY,"{""blocking_gaps"":[""not the strongest eligible deployable denominator"",""opened task-local development evidence"",""T6.24.5 not run""],""claim_id"":""MM_OPENED_TASK_LOCAL_GAIN"",""current_evidence"":{""absolute_improvement"":{""ci_high"":0.06492635677083333,""ci_low"":0.0644128125,""clusters"":32,""mean"":0.0646684375,""resamples"":20000},""candidate_allocated_bytes_first_decode_max"":20448,""candidate_cvar95_window_ler"":0.24062666933760685,""candidate_p_L"":0.1722609375,""candidate_runtime_seconds"":1853.8019994000108,""candidate_seconds_per_decode"":0.00019310437493750112,""candidate_worst_window_ler"":0.291015625,""cycles"":9600000,""static_euclidean_p_L"":0.236929375},""final_disposition"":""RETAIN_CONTEXT_ONLY"",""final_wording"":""Retain only as opened task-local multimode context alongside the mandatory strongest-baseline NO-GO."",""forbidden_wording"":[""multimode SOTA"",""strongest deployable baseline"",""implemented by the six-cycle RTL""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""paper_placements"":[""Results"",""Discussion"",""Supplement""],""parent_evidence_keys"":{""code"":[""mm_opened_code""],""configs"":[""self_config"",""mm_opened_config""],""raw_data"":[""mm_opened_raw""],""reports"":[""mm_opened_report""],""selectors"":[""summaries.aggregate"",""comparisons.aggregate"",""formal_counts"",""claim_boundary""],""sources"":[""mm_official_source""]},""parent_payload_sha256"":""031d58ebf9d59d200fa5f5f6e5c7f272aebb10cb1a2af0527463becda0e3402f"",""parent_state"":""RESULTS_ONLY_NONRANKING"",""revocation_conditions"":[""hide T6.20.4 zero-headroom result"",""call the result frozen-benchmark or universal SOTA""]}",c3f180b8f96dca7c6971a42bd0f5e34d738434a485830e3ca28652f0c566750c
final_claim,MM_V1_CAUSAL_HEADROOM_NO_GO,MULTIMODE_SOFTWARE_ALGORITHM,MANDATORY_NEGATIVE,"{""blocking_gaps"":[""relative improvement point is 0%"",""paired 95% lower bound is 0%"",""pilot/formal unaccessed""],""claim_id"":""MM_V1_CAUSAL_HEADROOM_NO_GO"",""current_evidence"":{""baseline_p_L"":0.11197916666666667,""formal_or_pilot_accessed"":false,""proposed_p_L"":0.11197916666666667,""relative_improvement_lcb"":0.0,""relative_improvement_point"":0.0,""strongest_baseline"":""static_mixture_exact_mld"",""verdict"":""NO_GO_MULTIMODE_CAUSAL_HEADROOM""},""final_disposition"":""MANDATORY_NEGATIVE"",""final_wording"":""Mandatory negative: Phase-6D v1 did not enter implementation or formal because usable causal headroom over the strongest retained static baseline was zero."",""forbidden_wording"":[""passed the 10% gate"",""delete the strongest baseline"",""rescued by RTL safety""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""paper_placements"":[""Results"",""Discussion"",""Supplement""],""parent_evidence_keys"":{""code"":[""mm_headroom_code""],""configs"":[""self_config"",""mm_headroom_config""],""raw_data"":[""mm_headroom_raw"",""mm_headroom_source_data""],""reports"":[""mm_headroom_report""],""selectors"":[""strongest_development_baseline_selection"",""paired_bootstrap"",""headroom_gate"",""scope""],""sources"":[""mm_headroom_source"",""cancellation_ledger""]},""parent_payload_sha256"":""1c397ade51f0cea79045209638d16d1b0073457d8bd2e99e264d605c1c35f400"",""parent_state"":""MANDATORY_NEGATIVE"",""revocation_conditions"":[""delete static-mixture exact MLD"",""delete an unfavorable family"",""use RTL evidence to rescue the gate""]}",6114da58c068c924e0d130fcff7b0e8307ba52a63965ee5c81d70c6493fac586
final_claim,MM_FROZEN_BENCHMARK_SOTA_BLOCKED,MULTIMODE_SOFTWARE_ALGORITHM,BLOCKED,"{""blocking_gaps"":[""T6.24.5 Dropped"",""no untouched formal result"",""no simultaneous >10% LCB against every eligible baseline""],""claim_id"":""MM_FROZEN_BENCHMARK_SOTA_BLOCKED"",""current_evidence"":null,""final_disposition"":""BLOCKED"",""final_wording"":""Frozen-benchmark multimode SOTA is not established."",""forbidden_wording"":[""frozen-benchmark SOTA"",""universal GKP SOTA"",""formal confirmation""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""paper_placements"":[""AbstractBoundary"",""Results"",""Limitations"",""Supplement""],""parent_evidence_keys"":{""code"":[""mm_headroom_code""],""configs"":[""self_config"",""mm_headroom_config""],""raw_data"":[""mm_headroom_raw"",""mm_headroom_source_data""],""reports"":[""mm_headroom_report""],""selectors"":[""strongest_development_baseline_selection"",""paired_bootstrap"",""headroom_gate"",""scope""],""sources"":[""mm_headroom_source"",""cancellation_ledger""]},""parent_payload_sha256"":""c57b44104198c3b92387bb073dcccfd8885e23ae9fe5abbc217713c1a24ff3ca"",""parent_state"":""BLOCKED_NOT_RUN"",""revocation_conditions"":[""write frozen-benchmark SOTA"",""write universal GKP SOTA"",""promote T6.18.3 into formal""]}",a27cd2fae95db1df0fc03ab2a710566db6f5e7529e44124990b3feb8ab13c252
final_claim,RTL_DETERMINISTIC_SIX_CYCLE_II1,SINGLE_MODE_DETERMINISTIC_RTL,PROMOTED_RESTRICTED,"{""blocking_gaps"":[""physical transport/CDC/pins absent"",""nanosecond board latency unmeasured""],""claim_id"":""RTL_DETERMINISTIC_SIX_CYCLE_II1"",""current_evidence"":{""cycles_qualified"":1000000,""ii1_input_pairs"":998435,""ii1_output_pairs"":998435,""initiation_interval_cycles"":1,""latency_cycles"":6,""mismatches"":0},""final_disposition"":""PROMOTED_RESTRICTED"",""final_wording"":""The exact single-mode converged RTL supports a six-cycle, II=1 pre-board architecture and passed one-million-cycle full-vector CXXRTL qualification."",""forbidden_wording"":[""multimode decoder latency"",""board-measured latency"",""fastest FPGA decoder""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""paper_placements"":[""Abstract"",""Methods"",""Results"",""Conclusion"",""Supplement""],""parent_evidence_keys"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""parent_payload_sha256"":""db15c85f9e6749b0575c3aa7231ec9798456143d484250ff1b006796ee39e0af"",""parent_state"":""CURRENT_RESTRICTED"",""revocation_conditions"":[""source hash drift"",""nonzero CXXRTL mismatch"",""latency or II contract failure""]}",ee782b24309bdee9f8edf3180c04607a5062daac88ce31b14c22beaaefb1a836
final_claim,RTL_ATOMIC_FAIL_CLOSED,SINGLE_MODE_DETERMINISTIC_RTL,PROMOTED_RESTRICTED,"{""blocking_gaps"":[""two-state RTL scope"",""physical CDC/metastability absent"",""unbounded liveness not claimed""],""claim_id"":""RTL_ATOMIC_FAIL_CLOSED"",""current_evidence"":{""formal_gates"":{""passed"":17,""total"":17},""formal_mutations"":{""killed"":21,""minimum"":18,""total"":21},""long_gates"":{""passed"":19,""total"":19},""long_semantic_mutations"":{""detected"":21,""total"":21}},""final_disposition"":""PROMOTED_RESTRICTED"",""final_wording"":""The exact converged production top passes the stated pre-board atomic versioned-bank and fail-closed property contract."",""forbidden_wording"":[""physical fail-safe proof"",""multimode safety proof"",""board verified""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""paper_placements"":[""Abstract"",""Methods"",""Results"",""Conclusion"",""Supplement""],""parent_evidence_keys"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""parent_payload_sha256"":""713bb9d4809c30accded64d4ca72c7d36e3bc11304e5311457ab27c52067b0fd"",""parent_state"":""CURRENT_RESTRICTED"",""revocation_conditions"":[""formal gate or mutation failure"",""reintroduce raw config/trust bypass"",""cross-top evidence stitching""]}",ad2bc1583a035badce20cae6862ead88a1a7eec3ad84f18c705b78652a77bf3b
final_claim,RTL_POST_ROUTE_ESTIMATE,SINGLE_MODE_DETERMINISTIC_RTL,PROMOTED_RESTRICTED,"{""blocking_gaps"":[""open-source estimate, not vendor signoff"",""observability fold may dominate critical path"",""no physical bitstream or board""],""claim_id"":""RTL_POST_ROUTE_ESTIMATE"",""current_evidence"":{""clock_model"":{""at_27mhz_ns"":222.22222222222223,""at_minimum_fmax_ns"":163.06799196180498,""cycles"":6,""deadline_miss_count"":null,""evidence_level"":""post-route clock model; no transport or physical jitter"",""initiation_interval_cycles"":1,""jitter_ns"":null},""critical_paths"":[{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q"",""end_component"":""observability_fold"",""end_location"":[7,12],""from_clock"":""posedge converged.clk"",""logic_ns"":11.972000300884247,""period_ns"":26.40700029209256,""routing_ns"":14.16899998486042,""seed"":1,""segment_count"":93,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.phase_frame_x_DFFRE_Q"",""start_component"":""production_core"",""start_location"":[22,14],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true},{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q_15"",""end_component"":""observability_fold"",""end_location"":[6,14],""from_clock"":""posedge converged.clk"",""logic_ns"":9.858000248670578,""period_ns"":26.500000212341547,""routing_ns"":16.375999957323074,""seed"":7,""segment_count"":77,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.leakage_clean_run_DFFRE_Q_1"",""start_component"":""production_core"",""start_location"":[19,15],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true},{""clock_to_q_ns"":0.23100000619888306,""end_cell"":""fold[11]_DFFR_Q"",""end_component"":""observability_fold"",""end_location"":[7,10],""from_clock"":""posedge converged.clk"",""logic_ns"":10.30700021982193,""period_ns"":27.17800024524331,""routing_ns"":16.605000019073486,""seed"":19,""segment_count"":81,""setup_ns"":0.03500000014901161,""start_cell"":""converged.core.leakage_clean_run_DFFRE_Q"",""start_component"":""production_core"",""start_location"":[22,11],""to_clock"":""posedge converged.clk"",""wrapper_may_dominate"":true}],""fmax_mhz"":{""maximum"":37.86874771118164,""median"":37.73584747314453,""minimum"":36.79446792602539,""spread"":1.07427978515625},""resource_summary"":{""ALU"":{""available"":15552,""maximum"":590,""median"":590,""minimum"":590},""BSRAM"":{""available"":46,""maximum"":8,""median"":8,""minimum"":8},""DFF"":{""available"":15552,""maximum"":2495,""median"":2495,""minimum"":2495},""IOB"":{""available"":384,""maximum"":18,""median"":18,""minimum"":18},""LUT4"":{""available"":20736,""maximum"":6130,""median"":6118,""minimum"":6108},""MULT18X18"":{""available"":48,""maximum"":1,""median"":1,""minimum"":1},""MULT9X9"":{""available"":96,""maximum"":1,""median"":1,""minimum"":1}}},""final_disposition"":""PROMOTED_RESTRICTED"",""final_wording"":""The exact qualified top passes three-seed 27 MHz open-source P&R; reported Fmax/resources are whole-harness pre-board estimates."",""forbidden_wording"":[""bare-core Fmax"",""vendor signoff"",""measured power"",""fastest""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""paper_placements"":[""Methods"",""Results"",""Supplement""],""parent_evidence_keys"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""parent_payload_sha256"":""db53d155d70ba2f0f8ddef47e92379efc2b13e5447e7f9273d636394047e0033"",""parent_state"":""CURRENT_RESTRICTED"",""revocation_conditions"":[""any seed fails 27 MHz"",""source/netlist binding drift"",""rename harness Fmax as bare-core or board speed""]}",4674ac8b00f9f0b73d87c575d23651784d344e16844d2cc691919b525cf1b350
final_claim,RTL_BOARD_MEASUREMENT_BLOCKED,SINGLE_MODE_DETERMINISTIC_RTL,BLOCKED,"{""blocking_gaps"":[""T6.9.2 Blocked"",""no board correctness/latency/jitter/deadline/power"",""transport/CDC unimplemented""],""claim_id"":""RTL_BOARD_MEASUREMENT_BLOCKED"",""current_evidence"":{""board_deadline_miss_rate"":null,""board_jitter_ns"":null,""board_latency_ns"":null,""board_power_mw"":null,""physical_commit_latency_us"":null,""physical_transfer_latency_us"":null},""final_disposition"":""BLOCKED"",""final_wording"":""All physical-board fields remain null and unavailable."",""forbidden_wording"":[""board measured"",""zero physical deadline miss"",""measured power""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""paper_placements"":[""Methods"",""Results"",""Limitations"",""Supplement""],""parent_evidence_keys"":{""code"":[""rtl_hardware_code"",""board_blocker_code""],""configs"":[""self_config"",""rtl_hardware_config""],""raw_data"":[""rtl_hardware_raw""],""reports"":[""rtl_hardware_report"",""board_blocker_report""],""selectors"":[""measured_fields"",""evidence_boundary""],""sources"":[""rtl_production_source"",""rtl_hardware_source""]},""parent_payload_sha256"":""a082b1ea6eae3f3317ab4d9a7a70b95efdcc35803581799fe54f96dd0446d9f3"",""parent_state"":""BLOCKED_NOT_RUN"",""revocation_conditions"":[""populate any measured field from clock model/P&R/analytic power"",""mark T6.9.2 Done without physical protocol""]}",5d2a14c381b2f72ea9b4a4c088e4bcba3de51cd8e0fdf715b67147b746674c05
