row_id,response_state,topic,claim,boundary,source_ids_json,row_sha256
CNN-R01,REVIEWER_CONCERN,comment_origin,"The question is a pre-emptive reviewer risk, not a supplied verbatim report.",Keep the actual reviewer ID and verbatim wording as a visible placeholder.,"[""task_board""]",758409ec69c949b57263c6b04a579724dfcc19df9cd70281643caa8b32f40ae8
CNN-R02,CURRENT_PRIMARY,paper_center,The current paper has two primary lanes: multimode software qualification and exact single-mode deterministic RTL.,Learning is not a third primary lane.,"[""final_gate"",""manuscript""]",b1e7035cae2377e83a79e3434f101c28e16373df321a2cb609d555a6dab77734
CNN-R03,CURRENT_NEGATIVE,multimode_entry_stop,The Phase-6D multimode entry test had zero causal headroom over static-mixture exact MLD.,The result did not authorize a downstream teacher or formal split.,"[""multimode_headroom"",""final_gate""]",73aac5d246eace4af6a506eb57b437eb31ad08b96c46ce54652aa4f1d94bfa51
CNN-R04,CURRENT_NEGATIVE,learning_disposition,T6.26.1 and T6.26.2 are Dropped and the Phase-6D learned extension is absent.,"No Phase-6D training, checkpoint, quantization or formal retention result exists.","[""evidence_matrix"",""final_gate"",""task_board""]",5e9556e1776576410facf31f2138bd13dcd626d7a78f3dc99c22c177e3b77268
CNN-R05,CURRENT_PRIMARY,verdict_independence,The learned extension has no vote and cannot change GO_RTL_ONLY.,Removing every learned artifact leaves both primary lane decisions unchanged.,"[""final_gate""]",ca94776440a0a8e43ccf2b884c564377734c006d5197293e12acaa6a10456680
CNN-R06,LEGACY_POSITIVE,legacy_teacher,"A 72,853-parameter bounded-residual GRU teacher passed its historical finite-model task.","It is a finite-cutoff two-level sBs controller, not the current multimode decoder teacher.","[""legacy_teacher""]",4a9045cca7f03bfb39f26e7f54c58a781e901fab8b436e2bbf410b8437618f87
CNN-R07,LEGACY_POSITIVE,legacy_student,"A four-state, 95-scalar student achieved evaluation action-imitation MSE 6.083136e-6.",Imitation accuracy is not current multimode LER or exact-RTL evidence.,"[""legacy_student""]",6abf1d4cf6b8c40fe183cae6ea3fa0096e75e50ff8476b8c389f3d8a88503f01
CNN-R08,LEGACY_POSITIVE,legacy_retention,Historical matched finite-model retention had minimum point 0.981457 and lower bound 0.944501.,"The result is task-local and cannot be migrated across simulator, objective or action signature.","[""legacy_retention""]",41d0ab882826f300a77ebde12991f38a459fca34beaecd4512225824a77081b1
CNN-R09,RISK_DISCLOSURE,legacy_ood,Randomized mismatch retained a minimum relative retention of 0.897630 on its qualifying cells.,Relative retention coexists with absolute degradation and does not establish universal OOD robustness.,"[""legacy_mismatch""]",0b31178620d7d205c6d44e9ab628227448cc1ddbc742294e482a7a5ef91851ba
CNN-R10,DEPLOYMENT_BOUNDARY,full_gru_hardware,"The quantized GRU route was dropped after a 72,854-cycle optimistic lower bound and no functional RTL or physical retention.",A post-route workload lower bound is not a deployed learned controller.,"[""legacy_hardware""]",2dc72284162b2c2e7463826552f87c700a0430548ec512fa32ab9abf93f77143
CNN-R11,LEGACY_POSITIVE,legacy_student_hardware,The historical four-state student was the only eligible learned hardware candidate in its own task.,It is not present in the current exact production RTL and has no Phase-6D vote.,"[""legacy_hardware"",""final_gate""]",98b99a11bd7e84918516bf771b948c7f5d09fe6890f4cb51685cc668922a2fa9
CNN-R12,TASK_SIGNATURE_BOUNDARY,nonmigration,Legacy controller action imitation and current multimode posterior/MLD approximation are different tasks.,Positive legacy evidence is disclosed but cannot be promoted by analogy.,"[""legacy_teacher"",""dual_contract"",""final_gate""]",8f6dcf27b64dd570c11fd700f8871a7f0923378429c3d982ad2684ed7450a508
CNN-R13,PROMOTION_GATE,authorized_targets,"A future learned module may approximate only an authorized posterior, LLR, coset probability or action.","Truth, scenario identity and future labels are forbidden online inputs.","[""dual_contract"",""task_board""]",fca4b357aa28e9be3c3a7fb432cfcf1911e8512d818ab487cf3c117d6e31d560
CNN-R14,PROMOTION_GATE,data_split,Teacher and approximation must share the newly registered train/calibration/pilot/formal split.,Legacy checkpoints and Phase-6D evaluation data cannot select the model.,"[""task_board"",""manuscript""]",13f9686fb7b300764c9dcdde30f65f39ac980f955ffd31ea054f058e94b03c8a
CNN-R15,PROMOTION_GATE,matched_budget,Promotion requires a matched classical approximation budget and a real compression or cost benefit.,Parameter compression alone cannot rescue failed LER or safety gates.,"[""task_board"",""manuscript""]",0efa7cb53b11ac681d288eae82e4d2d3b6ad443e2c7d3a9f5df469931abbcad3
CNN-R16,PROMOTION_GATE,retention_metrics,"Promotion requires calibration, action agreement, LER retention, worst-family and held-out OOD retention.",Imitation MSE alone is insufficient.,"[""task_board"",""manuscript""]",7e2a6b3d1524bb8b64cf113dba7e66fdb83ca1c69209e01d2384d241b8d6ecec
CNN-R17,PROMOTION_GATE,implementation_metrics,"Runtime, memory, quantization error and formal retention lower bound must be reported.",Learned accuracy does not prove atomic or fail-closed RTL behavior.,"[""task_board"",""manuscript""]",dd7e0319c5d3385886359a035f67530fc6695c2cf7b325c7aef3e6673891877b
