row_type,key,value,detail
promotion_gate,G01_all_parent_artifact_hashes_current,true,preregistered/integrity promotion gate
promotion_gate,G02_all_large_source_bindings_current,true,preregistered/integrity promotion gate
promotion_gate,G03_smooth_raw_analysis_and_evidence_recompute,true,preregistered/integrity promotion gate
promotion_gate,G04_locked_ewma_primary_lcb_strictly_positive,true,preregistered/integrity promotion gate
promotion_gate,G05_all_tail_compound_nominal_preregistered_gates_pass,true,preregistered/integrity promotion gate
promotion_gate,G06_million_cycle_integrated_safety_qualifies,true,preregistered/integrity promotion gate
promotion_gate,G07_no_formal_baseline_reselection_or_lock_drift,true,preregistered/integrity promotion gate
promotion_gate,G08_branch_and_claim_registry_complete,true,preregistered/integrity promotion gate
promotion_gate,G09_restricted_verdict_does_not_promote_falsified_claims,true,preregistered/integrity promotion gate
promotion_gate,G10_semantic_mutations_fail_closed,true,preregistered/integrity promotion gate
claim_state,ROUTE_A_SYSTEM,PROMOTED_RESTRICTED,all preregistered scientific and integrated correctness gates pass
claim_state,SMOOTH_LOCKED_EWMA,PROMOTED,aggregate paired EWMA-minus-Route-A 95% LCB is strictly positive
claim_state,GLOBAL_DEPLOYABLE_LER,FALSIFIED,strongest deployable is window_map; Route-A is not global best
claim_state,STATIC_GKP_SUPERIORITY,FALSIFIED,Route-A average LER exceeds static joint MAP on the formal smooth matrix
claim_state,TAIL_IMPROVEMENT,NOT_ESTABLISHED,"tail gates establish locked-EWMA safety/non-inferiority, not broad LER improvement"
claim_state,CNN_PRIMARY,ABLATION_ONLY,legacy checkpoint executes but fails matched schema and budget
claim_state,HMM_ON_FPGA,PROHIBITED,posterior/HMM remains a software slow loop
claim_state,MEASURED_FPGA_SPEED,PROHIBITED,"no physical-board latency, deadline, resource, or power measurement"
smooth_average_ler,standard_binning,0.00097861113371672443,equal-family/equal-seed formal estimate
smooth_average_ler,static_joint_map,0.00096819135877821176,equal-family/equal-seed formal estimate
smooth_average_ler,window_map,0.00089641853615089707,equal-family/equal-seed formal estimate
smooth_average_ler,ewma_adaptive_map,0.0010144269024884259,equal-family/equal-seed formal estimate
smooth_average_ler,kalman_adaptive_map,0.0017857374968352137,equal-family/equal-seed formal estimate
smooth_average_ler,proposed_route_a,0.0009927396421079281,equal-family/equal-seed formal estimate
