row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|telegraph|c40|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,0,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,0,-1,0,0,493469c2752a545cefc038320ce4d3d7632b243d9b4a54ec8ad3b1a733ce743d,-0.08,0.05,0.9870092548941916,0.012506444199714594,0.00048430090609386276,1.0,1.108421595146393e-19,8.44372589539492e-18,-0.7454111989278815,0.008982767681478307,0.0,6.938893903907228e-18,-14.503178878238002,-14.503178878238002,5.027253875307156,1.0,1.108421595146393e-19,8.44372589539492e-18,1.0,1.108421595146393e-19,8.44372589539492e-18,3.6822605582785437,False,False,none,,False,8.44372589539492e-18,0,-0.9083273890903054,0.05055694604200795,0.06482382907818499,0.0004613336608406183,0.029440177759415424,-22.948333556155788,-2.8685416945194735,-8.820578930234904,-4.7656338333003605,4.054945096934542,0.05417882342002519,0.02939744780311135,-0.07810025553453533,0.04766065264656985,0.029771349859053955,0.8570341132972428,8.143271655740147e-06,0.0,0.0012435700273597625,0.00022125629288089344,0.0012435700273597625,-0.00022125629288089344,0.857025970025587,0.0,0.0,0.0,-1.4866890862798265e-20,,,,0.0,0.0,9.65372384624102e-33,0.0,True,,
fault|telegraph|c40|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,1,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,1,-1,1,1,75e7f2ffc2cb8dc69e73cec8c59fa87218bb76590cb6cce193da3e469b62fa81,-0.07810025553453533,0.04766065264656985,0.9876127840558625,0.011903404654332882,0.00048381128980464426,0.9999999999988598,7.155770970942865e-20,1.1403035919693963e-12,-0.7500773814886869,0.3073852976153128,0.0,0.0,-11.46595834367284,-11.465958343672838,3.120835564989636,0.9999999999988598,7.155770970942865e-20,1.1403035919693963e-12,0.9999999999988598,7.155770970942865e-20,1.1403035919693963e-12,3.596170499018951,False,False,none,,False,1.1403035919693963e-12,0,-0.9074532280258355,0.048217035629845195,0.06312409336296088,0.0004614378810229812,0.029439530868742562,-12.792675221515875,-1.5990844026894844,-6.681066157971273,-2.4442849061505676,4.236781251820705,0.05354503730874384,0.03196452465538374,-0.07794662070882333,0.04572774314668109,0.029306086284466803,0.7542572982868037,0.7542421494117604,0.0,-0.0005004114766776415,-0.0002080572699514984,-0.0005004114766776415,0.0002080572699514984,1.5148875043416915e-05,0.0,0.0,0.0,-1.4553883110039272e-20,,,,0.0,0.0,2.2204460492765664e-16,1.7763568394002505e-15,True,,
fault|telegraph|c40|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,2,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,2,-1,2,2,bd0f41fc564202e5b35da436aba2fe3c858ee413f7738d28c38caaf7e72487e8,-0.07794662070882333,0.04572774314668109,0.9881834245023213,0.01133323664170169,0.000483338855976978,1.0,6.6348650603815755e-18,1.0738391071815997e-16,-0.6723458347093993,0.01598819581755731,0.0,1.3877787807814457e-17,-11.159766901347378,-11.159766901347378,3.243471379950726,1.0,6.6348650603815755e-18,1.0738391071815997e-16,1.0,6.6348650603815755e-18,1.0738391071815997e-16,3.5087087323710575,False,False,none,,False,1.0738391071815997e-16,0,-0.9082692803903499,0.04628358283105462,0.06151506849595224,0.00046152628508556537,0.029438906679274828,-19.387430549621207,-2.423428818702651,-0.8388521601492869,-4.331122388698767,-3.49227022854948,0.05329394849948432,0.0323475112330531,-0.07552776345689557,0.046210035477892056,0.027460418470839285,0.7128170906581937,0.7127632514258787,0.0,-0.0011713216189281658,0.0010740155905448925,-0.0011713216189281658,-0.0010740155905448925,5.383923231491805e-05,0.0,2.220446049250313e-16,0.0,-4.910979130796362e-17,,,,2.220446049250313e-16,2.220446049250313e-16,1.9875597026076274e-31,0.0,True,,
fault|telegraph|c40|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,3,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,3,-1,3,3,9600054d6d778de4aeee213673a6c4e3f3dad8c1ab763c94f85ef6d666a9ced4,0.004472236543104427,-0.003789964522107947,0.98847646656837,0.011040408866330977,0.0004831245652990673,0.9999999999999986,6.9077568431148435e-18,1.4547140940780196e-15,-0.5887956327882962,0.030919976428867013,0.0,0.0,-10.525848383120502,-10.525848383120502,2.9442986394791,0.9999999999999986,6.9077568431148435e-18,1.4547140940780196e-15,0.9999999999999986,6.9077568431148435e-18,1.4547140940780196e-15,3.467058009146512,False,False,none,,False,1.4547140940780196e-15,0,-0.8263484125036287,-0.0032343712720140196,0.060687991619136517,0.00046159834464902055,0.029438623553748464,-11.318678590322818,-1.4148348237903523,6.770983039485695,4.991700801752247,-1.7792822377334483,0.003674749598134152,-0.00010697555697460146,0.008493172994632203,-0.008591694644818688,-0.00013682452369028798,0.5080683472571429,0.0006895475943267145,0.0,-0.002098655278238965,0.00953625650639056,-0.002098655278238965,-0.00953625650639056,0.5073787996628162,0.0,2.220446049250313e-16,0.0,-1.4151951892217674e-18,,,,0.0,0.0,3.330669073875486e-16,0.0,True,,
fault|telegraph|c40|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,4,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,4,-1,4,4,0474f16577b9354a31e24853f5dd2c5c36dcc6f3ec80f4f0130f764e6f2d7f2b,0.008493172994632203,-0.008591694644818688,0.9888010911690692,0.010716057394745787,0.0004828514361850162,1.0,1.6614820738331175e-26,4.36975714023356e-17,-0.9204720460941955,0.18648055308336103,1.1102230246251565e-16,0.0,-10.260477787083985,-10.260477787083985,3.0047870089360877,1.0,1.6614820738331175e-26,4.36975714023356e-17,1.0,1.6614820738331175e-26,4.36975714023356e-17,3.417011342548413,False,False,none,,False,4.36975714023356e-17,0,-0.8228791057135427,-0.008036415493205919,0.059771274032933086,0.0004616436935954496,0.029438262689418467,-11.954848341361211,-1.4943560426701514,4.8507002665555,4.102725135482713,-0.7479751310727876,0.0036960217510589475,0.0010711889907397015,0.009317527878650814,-0.011377118809539071,0.0010494330102602638,0.4014551425262401,0.4004568017079883,0.0,0.0022116982046008686,0.011259049553591409,0.0022116982046008686,-0.011259049553591409,0.0009983408182517746,0.0,0.0,0.0,-1.6930415662271243e-18,,,,0.0,0.0,9.244463741094338e-32,0.0,True,,
fault|telegraph|c40|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,5,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,5,-1,5,5,7fac0aff6fba979cc0f2557da1cb7f25c39d6a5ec1bf8f57234bf370c83bab33,0.009317527878650814,-0.011377118809539071,0.9892147614064182,0.010302783919796926,0.0004824546737849417,1.0,3.357483382810604e-25,1.398821697043102e-23,-0.8680480152352666,-0.22892759359250228,0.0,2.7755575615628914e-17,-8.003156018848712,-8.003156018848712,1.9344987210199984,1.0,3.357483382810604e-25,1.398821697043102e-23,1.0,3.357483382810604e-25,1.398821697043102e-23,3.3444233950472286,False,False,none,,False,1.398821697043102e-23,0,-0.8227576529849772,-0.010822295934686388,0.05860231988895108,0.00046165434394032423,0.029437738477658126,-10.402879059546137,-1.3003598824432672,6.564526882617146,3.66904291715744,-2.8954839654597064,0.004429956169914507,0.003392207658051953,0.008686308955975941,-0.012696269765843529,0.0004817231068444858,0.38566070105104955,0.3840442253743352,0.0,-0.0017518634791005075,-0.014470900953914293,-0.0017518634791005075,0.014470900953914293,0.0016164756767143836,0.0,1.1102230246251565e-16,0.0,-1.5715036820537585e-19,,,,0.0,0.0,1.88262767123882e-39,0.0,True,,
fault|telegraph|c40|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,6,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,6,-1,6,6,845df0a9c206bbfc92c5156876b6bb3f36e133b2256a6f3971f5a4f4f5e8ca9d,-0.07131369104402406,0.03730373023415647,0.9892726703478862,0.010244905397931594,0.0004824242541822005,0.9999999999962182,1.7070584079613687e-16,3.781604586274375e-12,-0.60896565040439,0.22788198292776973,0.0,2.7755575615628914e-17,-8.640830749614745,-8.640830749614745,1.541931916641628,0.9999999999962182,1.7070584079613687e-16,3.781604586274375e-12,0.9999999999962182,1.7070584079613687e-16,3.781604586274375e-12,3.3399500542856444,False,False,none,,False,3.781604586274375e-12,0,-0.9034872912514855,0.037858518126466005,0.05843854759410552,0.00046167983769473145,0.029437698286550507,-16.712186567834742,-2.0890233209793427,-5.816899500471024,-2.4366238144937125,3.3802756859773115,0.055730607194506815,0.034132553148543396,-0.06852244694877187,0.03592856252597931,0.029313100809398487,0.2576737895498738,0.008230173976619544,0.0,0.018436294158366586,0.029084099253414323,0.018436294158366586,-0.029084099253414323,0.24944361557325423,0.0,0.0,0.0,-5.962708220108159e-17,,,,0.0,0.0,1.1102230247220947e-16,0.0,True,,
fault|telegraph|c40|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,7,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,7,-1,7,7,f70965c1cf55909edd75fdb7fdedb53d582c9c4e84d4c44f18eecb7aa4827dff,-0.06852244694877187,0.03592856252597931,0.9894449862134098,0.010072664581360209,0.00048234920522994775,1.0,2.9123131122924474e-32,7.69580031572049e-20,-1.2209706501356936,0.23740582176878713,2.220446049250313e-16,0.0,-16.68402087152103,-16.68402087152103,5.2628211203012105,1.0,2.9123131122924474e-32,7.69580031572049e-20,1.0,2.9123131122924474e-32,7.69580031572049e-20,3.3142498633403896,False,False,none,,False,7.69580031572049e-20,0,-0.900988920336014,0.036483264111993756,0.05795107338542935,0.0004617704730917508,0.029437599130067077,-19.209323270346854,-2.4011654087933567,-8.416834876578166,-3.2563523818541276,5.160482494724039,0.05482645165585314,0.03750228867352441,-0.06676805618338283,0.038451946486777085,0.02943439822338564,0.21442746394606016,0.20824314169018376,0.0,-0.017834902915502184,0.019053385872654864,-0.017834902915502184,-0.019053385872654864,0.006184322255876396,0.0,0.0,0.0,-1.0338780640341274e-18,,,,0.0,0.0,6.2592723192597755e-34,0.0,True,,
fault|telegraph|c40|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,8,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,8,-1,8,8,7d247670e6478fb43415f85aab24c57ed200c33c5ff67fb18380fde01c8eebd9,-0.06676805618338283,0.038451946486777085,0.9897858835573861,0.009732178181746409,0.00048193826086754133,1.0,3.053380109587001e-28,2.272074714536467e-20,-1.0617925124388614,0.09304991810190558,0.0,1.3877787807814457e-17,-12.783308612614263,-12.783308612614263,4.329971406767402,1.0,3.053380109587001e-28,2.272074714536467e-20,1.0,3.053380109587001e-28,2.272074714536467e-20,3.2490351487604094,False,False,none,,False,2.272074714536467e-20,0,-0.8998137057526766,0.039006175486774756,0.05698674534019673,0.00046169805731320114,0.029437056180212882,-13.25484013897478,-1.6568550173718475,-5.274784878602336,-1.4486046473012344,3.826180231301102,0.053708489571869876,0.035977531561304336,-0.06918141623372419,0.03886836992546914,0.02681007697235875,0.21371063063124654,0.20585374850460575,0.0,0.021451745639342126,-0.018168677205941366,0.021451745639342126,0.018168677205941366,0.007856882126640775,0.0,0.0,0.0,-3.509015413910299e-17,,,,0.0,0.0,4.212972152436881e-35,0.0,True,,
fault|telegraph|c40|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c40/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,40,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c40|A|p0000,9,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c40_fault_telegraph_A__e7cc5f66b9c5e6ba,9,-1,9,9,4bcb05d51cdef9bd7471d3e78c0e0540f4616f47aabf678593ddbaafab7f5e2d,0.010818583766275813,-0.011131630074530864,0.9896751107950409,0.009842792497667181,0.0004820967072920435,1.0,1.2330158480094753e-21,4.959775622761933e-21,-0.7267017542400005,-0.18498794417197695,0.0,0.0,-11.426954774896627,-11.426954774896627,3.553994697444946,1.0,1.2330158480094753e-21,4.959775622761933e-21,1.0,1.2330158480094753e-21,4.959775622761933e-21,3.277080725983228,False,False,none,,False,4.959775622761933e-21,0,-0.8220388867864917,-0.010577218861145016,0.057300118873427425,0.00046174552082662977,0.0294372655236002,-14.293077939745972,-1.7866347424682465,-4.661446627940237,-2.234811305533875,2.426635322406362,0.00641290861405704,0.00459807332528441,0.015066245300260996,-0.012878302610222207,-0.0013949905018939526,0.15690557253383441,0.019994935096899282,0.0,0.03972423846348145,0.010979965980369032,0.03972423846348145,-0.010979965980369032,0.13691063743693513,0.0,1.1102230246251565e-16,0.0,-6.275034282300796e-17,,,,0.0,0.0,1.9560225997682864e-35,0.0,True,,
