row_id,section,lane_id,claim_anchor,evidence_grade,boundary,citation_keys_json,source_ids_json
IRW-001,Introduction,physical_gkp_context,finite-energy GKP and physical feedback motivate an execution-aware decoder boundary,LITERATURE_PRIMARY,External theory and experiment motivate the task; they are not project hardware evidence.,"[""gkp2001"",""grimsmo2021"",""hastrup2023"",""jafarzadeh2025"",""lachance2024"",""sivak2023""]","[""literature_matrix:A01,A04,A05,A06,A08""]"
IRW-002,Introduction,single_mode_decoder,"analog, ML, history-aware, and CPD methods are prior art but have different task signatures",LITERATURE_PRIMARY,No cross-code CI/ML/MAP/CPD leaderboard is permitted.,"[""fukui2018"",""noh2020"",""noh2022"",""wan2020"",""berent2024"",""lin2023""]","[""T6.16.1:method_registry"",""T6.16.2:lane_ontology""]"
IRW-003,Introduction,drift_calibration,syndrome-driven calibration and time-dependent decoder adaptation have established precedents,LITERATURE_PRIMARY,The project does not claim the first adaptive or calibration-aware QEC decoder.,"[""spitz2018"",""wagner2021"",""chen2022"",""dgr2023"",""sivak2024"",""stein2026""]","[""literature_matrix:C02-C06,C09""]"
IRW-004,Introduction,contract_system,"MAP owns LER, typed event/fallback owns safety, and the fast path owns deterministic execution",PROJECT_NATIVE_PREBOARD,Restricted simulator/pre-board integration only; no measured board or global decoder claim.,[],"[""T7.1.1:CONTRACT_SYSTEM_INTEGRATION"",""T6.9.3:V4_FINAL_GATE""]"
IRW-005,Introduction,single_mode_decoder,the positive V4 result is restricted to locked EWMA while static and Window remain counterexamples,PROJECT_NATIVE_MATCHED,No superiority over static or Window MAP and no all-family drift advantage.,[],"[""T7.1.1:SMOOTH_LOCKED_EWMA_ADVANTAGE"",""T7.1.1:STATIC_GKP_SUPERIORITY""]"
IRW-006,Introduction,v5_negative,posterior-predictive V5 stopped before formal/RTL because causal deployable headroom failed,NEGATIVE,"V5 has no formal, fixed-point, CXXRTL, P&R, or measured-hardware result.",[],"[""T6.10.1:CAUSAL_HEADROOM"",""T6.15.5:V5_EARLY_STOP""]"
IRW-007,"Analog, history-aware, and structured GKP decoding",surface_gkp_gate_ci_ml,surface-GKP CI/ML and multimode CPD are method-specific lanes,LITERATURE_PLUS_OFFICIAL_REPRODUCTION,"Gate failure, threshold, and multimode LER cannot be subtracted from single-mode Route-A LER.","[""noh2020"",""noh2022"",""raveendran2022"",""berent2024"",""lin2023""]","[""T6.17.2:NOH_CNOT_REPRODUCTION"",""T6.18.2:OFFICIAL_CPD""]"
IRW-008,Calibration and drift-adaptive decoding,drift_calibration,"the contract contribution is update authority and cost accounting, not a new estimator class",SYNTHESIS_INFERENCE,"Novelty is joint systems/evidence integration, not absolute algorithmic first use.","[""spitz2018"",""wagner2021"",""chen2022"",""dgr2023"",""sivak2024"",""stein2026""]","[""T6.5.2:UNIFIED_EXECUTION_CONTRACT""]"
IRW-009,"Learned, non-Markovian, and autonomous feedback",direct_nn_rl_nmf_controller,"Direct NN, model-free RL, model-based NMF, and AQEC have different actions and privileges",LITERATURE_PRIMARY,"Controller gain, decoder LER, and autonomous lifetime are never merged.","[""bausch2024"",""wang2022"",""sivak2026"",""puviani2025"",""lachance2024""]","[""T6.16.1:controller_registry""]"
IRW-010,"Learned, non-Markovian, and autonomous feedback",direct_nn_rl_nmf_controller,NMF exact reproduction is ineligible and learned same-task eligibility is zero,NEGATIVE,No claim of reproducing or surpassing Puviani NMF is allowed.,"[""puviani2025""]","[""T6.8.4:GQF_EXACT_NO_GO"",""T6.17.3:LEARNED_ELIGIBLE_ZERO"",""T7.1.1:P6C-NMF-GQF""]"
IRW-011,Deterministic and FPGA QEC decoders,fpga_implementation,"FPGA comparisons require matched code, precision, timing boundary, and evidence grade",LITERATURE_PRIMARY,"Core, per-round, source-to-action, and closed-loop latency are not interchangeable.","[""lilliput2022"",""helios2023"",""collision2025"",""ziad2024"",""maurer2025"",""yang2026"",""caune2024""]","[""T6.19.2:EXTERNAL_FPGA_NORMALIZATION""]"
IRW-012,Deterministic and FPGA QEC decoders,fpga_implementation,"zero exact same-task FPGA comparators prevents, rather than supports, a speed ranking",NEGATIVE,"Six cycles/II=1 and post-route values are estimates, not measured board superiority.",[],"[""T6.19.2:SAME_TASK_COMPARATOR_ZERO"",""T7.1.1:FPGA_SPEED_ADVANTAGE""]"
IRW-013,Position of the present work,positioning,the innovation unit is the evidence-gated contract rather than a CNN-centric decoder,PROJECT_SYNTHESIS,Auxiliary positive results remain task-local and cannot rescue V4/V5 promotion.,[],"[""T7.1.1:MANUSCRIPT_DECISION"",""T6.19.3:AUX_INTEGRITY""]"
IRW-014,Position of the present work,positioning,negative evidence and null hardware fields remain visible in the paper narrative,PROJECT_SYNTHESIS,"The manuscript is restricted pre-board, not a cross-protocol or experimental GKP ranking.",[],"[""T7.1.1:MANDATORY_NEGATIVES"",""T7.1.3:MAIN_RESULTS"",""T7.1.4:FAILURE_LEDGER""]"
