id,kind,title,status,placement,primary_source,supporting_sources,safe_boundary,forbidden_boundary
T74-TBL-01,table,"T24 frozen main ranked table",ready,main_text,"runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/summary.json; docs/review/T24_review.md; docs/review/T25_p4_formal_evidence_gate_review.md","Frozen-set mock-backed software-HIL ranking only.","Do not retell as expanded benchmark, .tflite, or real-board result."
T74-TBL-02,table,"FR7 feature/teacher ablation table",ready,appendix,"runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv","runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/summary.json; runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/provenance_manifest.json; docs/evidence_packs/mechanism_ablation/fr7_feature_teacher_ablation_reexecution.md; docs/review/T57_review.md","Bounded frozen-set ablation only.","Do not claim teacher design necessity or causal closure."
T74-TBL-03,table,"FR6 six-seed descriptive summary table",ready,appendix,"docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/caption.md; docs/evidence_packs/mechanism_ablation/fr6_multi_seed_mechanism_intervention_figure_pack.md; docs/review/T58_review.md","Descriptive cross-seed figure companion only.","Do not claim multi-seed causal proof."
T74-TBL-04,table,"Training/material reproducibility boundary table",ready,appendix,"artifacts/t50_training_repro_pack/training_reproducibility_pack.json","docs/evidence_packs/training_reproducibility/training_reproducibility_and_material_regeneration_pack.md; docs/review/T50_review.md","Canonical material chains plus one clean CPU-only bounded rerun.","Do not claim full reproducibility, GPU/CUDA portability, Linux portability, or deployment closure."
T74-TBL-05,table,"Isolated true .tflite runtime boundary table",ready,appendix,"artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json","docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/review/T48_review.md","Isolated current-host true runtime only.","Do not claim default-env recovery, HIL closure, or deployment closure."
T74-TBL-06,table,"Real-board gate / regeneration / provenance boundary table",ready,supplement_only,"artifacts/t72_real_board_transfer_pack_provenance_hardening/replay_vs_regeneration_comparison.json","artifacts/t49_real_board_smoke_execution_gate/t49_real_board_smoke_execution_gate.json; artifacts/t71_real_board_gate_regeneration_pack/current_host_regenerated_gate.json; docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md; docs/review/T72_review.md","Read-only gate/provenance boundary with current-host NO_GO.","Do not claim real-board execution success or hardware validation."
T74-TBL-07,table,"FR8 statcalib extension-lane closure table",partial,supplement_only,"docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md","docs/review/T70_review.md; runs/p4_benchmark/T64_fr8_statcalib_extension_lane_20260527_221658/summary.json; runs/p4_benchmark/T69_statcalib_clean_winner_tiebreak_20260608_160358/statcalib_clean_winner_tiebreak_summary/summary.json","Extension-lane closure only; persistent clean tie set; no promotion.","Do not claim mature comparator or unique threshold."
T74-FIG-01,figure,"T24 frozen four-scenario benchmark summary figure",partial,main_text,"runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/summary.json; docs/review/T24_review.md","Frozen-set ranking visualization only.","Do not visualize it as expanded benchmark or deployment evidence."
T74-FIG-02,figure,"FR6 six-seed mechanism/intervention figure",ready,main_text,"docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/fr6_multi_seed_mechanism_intervention.svg","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/fr6_multi_seed_mechanism_intervention.png; docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv; docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/caption.md; docs/review/T58_review.md","Descriptive figure only.","Do not claim causal closure."
T74-FIG-03,figure,"Layered evidence-boundary schematic",ready,appendix,"docs/03_hil_p4_boundary_audit.md","docs/protocols/benchmark/P4_benchmark_formal_protocol.md; docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Boundary explanation only.","Do not present as deployment success figure."
T74-FIG-04,figure,"Unified portability/deployment closure figure",blocked,supplement_only,"docs/paper_materials/paper_result_figure_ledger.md","docs/evidence_packs/training_reproducibility/training_reproducibility_and_material_regeneration_pack.md; docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Blocked item only; keep as do-not-author reminder.","Do not imply unified portability or deployment closure."
T74-SUP-01,supplement_note,"FR8 no-promotion / no-unique-threshold note",ready,supplement_only,"docs/review/T70_review.md","docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md","Carry no_promotion_keep_extension_lane_only and future_selection_task_required with any FR8 citation.","Do not drop the gate wording."
T74-SUP-02,supplement_note,"T50 full reproducibility exclusion note",ready,supplement_only,"docs/review/T50_review.md","artifacts/t50_training_repro_pack/training_reproducibility_pack.json","Training/material evidence stays bounded to canonical chains plus one clean CPU-only rerun.","Do not claim full reproducibility."
T74-SUP-03,supplement_note,"T48 default-env / deployment exclusion note",ready,supplement_only,"docs/review/T48_review.md","artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json","True runtime wording stays isolated-current-host only.","Do not claim default-env recovery or deployment closure."
T74-SUP-04,supplement_note,"T72 future-host / hardware-condition gap note",partial,supplement_only,"docs/review/T72_review.md","docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Keep the remaining R32 and missing Linux+FPGA host explicit.","Do not imply future-host or hardware readiness."
