section,record_id,payload_json,payload_sha256
parent_binding,parent_report,"{""bytes"":187866,""path"":""docs/t9_1_3_puviani_paper_constrained.json"",""sha256"":""f3e458765ed684d69be3011e532a4334de872d2b39d1f07da7c5aaec61816ffd""}",236f636756c8cec127a5fccbdf45928a9db10a7c69fdc973796d4e9a58fe5cd9
parent_binding,production_config,"{""bytes"":15145,""canonical_sha256"":""2b708da81a16741b208e47ff3c55da646f7876ee4c743962b18945e66c5e76f0"",""path"":""configs/phase9/t9_1_3_puviani_paper_constrained.json"",""sha256"":""a93edf5cfbdfe22490a1d7cff967f61b0b0add38662eeaf546390dae32c3cbf9""}",c28ee343dbe45725f785066d556af4b72e934d55a76a6cd596c005903d50eca8
parent_binding,deviation_ledger,"{""bytes"":48578,""path"":""configs/phase9/t9_1_3_deviation_ledger.json"",""rows"":42,""sha256"":""69a75c07452b9dea3e445cf683394663e165a72db47986276cc65dd44078e8e0""}",b6f87649c10af2eb0d33f056ad333b4725a4480528983e25a2975160023794f4
parent_binding,training_ledger,"{""bytes"":12511484,""path"":""docs/t9_1_3_puviani_training_ledger.parquet"",""rows"":40000,""sha256"":""cdf4d72816a54f4a32e59cbbbe704532a39462cdbbd6917025a6ec8101b3e10a""}",6a5ec4ad105d8db86d9fd2cdfbfe59a919c8caca8322e846e846ba37cdec5b40
parent_binding,selection_ledger,"{""bytes"":224569,""path"":""docs/t9_1_3_puviani_selection_ledger.csv"",""rows"":1040,""sha256"":""f346a188613ffc47a1708382a75c163f08e51ceeb503400a0b7d448058ab5171""}",532077733af7fb3827759916ec1935bd03ca4584585b61288cbfa9b0f07481a6
parent_binding,agent_registry,"{""bytes"":57263,""path"":""docs/t9_1_3_puviani_agent_registry.csv"",""rows"":40,""sha256"":""5290d62c462ed71ae003f3f75a80da9dddd9951c7ed1b0dd587ace96a4a6c3cc""}",aa877ea3de8c7ad5da27778944bcf9ba338e9320fa50fb88c323a1b0e0b6e9a6
parent_binding,six_state_trajectories,"{""bytes"":136081,""path"":""docs/t9_1_3_puviani_six_state_trajectories.parquet"",""rows"":1008,""sha256"":""227ba0efbafea6d7abb9a2de3048472a8f907ee28440c5ec4ec84c85a7072a6b""}",2c6838c2d8636bac06d2384e30e833bd0a31771ee475b077c4c4535f8c7958af
parent_binding,six_state_events,"{""bytes"":874687,""path"":""docs/t9_1_3_puviani_six_state_events.parquet"",""rows"":20160,""sha256"":""d5478dab1b938f3953ed8929de4d36adc199b99c152968e14df627bdf41622ca""}",d1003d3ed66b63b7acd89540baa3efc20aacfadfb4e8ec94ba9087af9232cd31
terminal_branch,QUALIFIED,"{""terminal_branch"":""QUALIFIED""}",ff8fea16936d1481651100d1c550f98f211c2540359b4bb286da5bfd4e4fba7e
parent_snapshot,sealed_parent,"{""all_parent_mutations_detected"":true,""all_published_gates_pass"":true,""analysis_sha256"":""35d52c4add5aae124da4127223fb14d08c59a375baaf8bf26146a60f7fc3a152"",""config_sha256"":""2b708da81a16741b208e47ff3c55da646f7876ee4c743962b18945e66c5e76f0"",""detected_mutation_count"":81,""deviation_ledger_sha256"":""69a75c07452b9dea3e445cf683394663e165a72db47986276cc65dd44078e8e0"",""evidence_grade"":""PAPER_CONSTRAINED_REIMPLEMENTATION"",""matches_frozen_parent_semantic_seal"":true,""official_exact"":null,""paper_scale_lifetime"":null,""paper_scale_result_state"":""INCOMPLETE_NULL"",""paper_scale_result_value"":null,""production_contract"":true,""published_gate_count"":52,""puviani_surpass"":null,""required_gate_count"":52,""required_mutation_count"":81,""schema_version"":""t9.1.3-puviani-paper-constrained-artifacts-v1"",""status"":""PASS_ARTIFACT_LANE_AND_EXECUTABLE_REIMPLEMENTATION""}",eecfe51b635c36bcc403f8292773e8cbb2764667f0be78ff818767a904c27c9c
governance,policy,"{""addendum_only_ids"":[""D43"",""D44"",""D45"",""D46""],""effect_on_parent_analysis_sha256"":""NONE"",""effect_on_parent_verdict"":""NONE"",""mode"":""POST_OUTCOME_GOVERNANCE_ADDENDUM_NO_RETROACTIVE_RESEAL"",""parent_artifact_tree_edit"":false,""parent_deviation_ledger_edit"":false,""parent_report_reseal"":false}",51526b43cce8dc345146f294140d94aae064a3497fa6dac72a04c86912c4647a
