row_id,source_id,code_family,decoder,input_semantics,problem_size,noise_model,hardware_platform,device,latency_evidence,resource_evidence,qpu_in_loop,physical_board_executed,latency_boundary,latency_statistic,reported_latency_ns,decoder_core_ns,source_to_action_ns,closed_loop_ns,average_per_round_ns,iteration_ns,ii_ns,throughput_period_ns,clock_mhz,latency_cycles,precision,lut,lut_percent,logic_units,logic_unit_type,ff,ff_percent,bram,bram_percent,bram_36k,bram_18k,dsp,dsp_percent,memory_bytes,memory_reported,power_w,direct_speed_comparable_to_project,incomparability_reasons,numeric_sources_json
lilliput_d5_m2,S01_LILLIPUT,rotated surface code,LILLIPUT LUT,two-round detection-event window with internal state,"d=5, m=2; one logical qubit; 24-bit LUT address and 37-bit entry",circuit-level stochastic Pauli model calibrated to Sycamore-like device parameters,FPGA post-implementation timing with external-memory allowance,Intel Arria V,POST_IMPLEMENTATION_ESTIMATE_NOT_QPU_CLOSED_LOOP,POST_IMPLEMENTATION_LOGIC_AND_MEMORY_TABLE,False,False,syndrome-arrival to error assignment inside decoder,fixed seven-cycle decoder latency; external-memory allowance included,42.0,42.0,,,,,,,232.9,7,LUT address/action bits; no arithmetic precision reported,,,246,Arria-V ALM/logic unit as reported by the paper,486,,,,,,,,,148 MB external baseline; 1.38 MB CLUT projection,,False,"[""different code family"",""different syndrome and action semantics"",""different problem size"",""post-implementation estimate rather than project-board measurement""]","{""clock_mhz"":""S01 Table 4, [d=5,m=2] frequency"",""decoder_core_ns"":""S01 Table 4 and Section 6.3"",""ff"":""S01 Table 3, [d=5,m=2]"",""latency_cycles"":""S01 Section 6.3"",""logic_units"":""S01 Table 3, [d=5,m=2]"",""reported_latency_ns"":""S01 Table 4, [d=5,m=2] latency""}"
helios_d21,S02_HELIOS,rotated surface code,Helios distributed Union-Find,d rounds of binary surface-code detection events,d=21; one logical qubit,phenomenological p=0.1%,VCU129 FPGA with synthetic syndromes generated by on-board MicroBlaze,AMD/Xilinx VCU129 (VU29P),FPGA_SYNTHETIC_INPUT_MEAN_PER_MEASUREMENT_ROUND,FPGA_IMPLEMENTATION_TABLE,False,True,average decoder execution time divided by d measurement rounds,"mean over 1,000,000 synthetic trials; long tail exists",11.5,,,,11.5,,,,100.0,,fixed-point additions; bit widths vary with d,898715,,,,238939,,0.0,,,,0.0,,,all shared memories implemented as registers,,False,"[""different code family"",""11.5 ns is a mean per-round amortization, not source-to-action"",""different problem size"",""synthetic syndrome source""]","{""average_per_round_ns"":""S02 abstract and Fig. 6, d=21 p=0.001"",""bram"":""S02 Section V.C: no BRAM"",""clock_mhz"":""S02 Section VI discussion, Helios uses 100 MHz"",""dsp"":""S02 Section V.C: no DSP"",""ff"":""S02 Table I, d=21"",""lut"":""S02 Table I, d=21"",""reported_latency_ns"":""S02 abstract and Fig. 6, d=21 p=0.001""}"
collision_clustering_d21,S03_COLLISION_CLUSTERING,rotated planar surface code,Collision Clustering,d-round detection graph,d=21; 881 physical qubits,circuit-level p=0.1%,"XCVU3P FPGA, synthetic shots",AMD/Xilinx UltraScale+ XCVU3P,FPGA_SYNTHETIC_INPUT_MEAN_NORMALIZED_PER_ROUND,FPGA_IMPLEMENTATION_TABLE,False,True,decoder execution time divided by d syndrome-measurement rounds,"mean over 100,000 synthetic shots",810.0,,,,810.0,,,,405.0,,integer FSM/storage architecture; arithmetic precision not reported,17237,4.37,,,11957,1.52,,,2.0,2.0,0.0,,,approximately 10 KB in the abstract; Table I reports 2 RAMB36 and 2 RAMB18,,False,"[""different code family"",""mean normalized per round rather than source-to-action"",""different problem size"",""synthetic syndromes and no QPU loop""]","{""average_per_round_ns"":""S03 Table I note, d=21"",""bram_18k"":""S03 Table I, d=21"",""bram_36k"":""S03 Table I, d=21"",""clock_mhz"":""S03 Table I, d=21"",""dsp"":""S03 Section IV: no DSP"",""ff"":""S03 Table I, d=21"",""ff_percent"":""S03 Table I, d=21"",""lut"":""S03 Table I, d=21"",""lut_percent"":""S03 Table I, d=21"",""reported_latency_ns"":""S03 abstract and Table I, d=21""}"
local_clustering_d17_adaptive_hl,S04_LOCAL_CLUSTERING,rotated surface code,Local Clustering adaptive high-level mode,streamed surface-code detection events,d=17,paper high-level adaptive benchmark,XCVU19P FPGA implementation report,AMD/Xilinx UltraScale+ XCVU19P,FPGA_IMPLEMENTATION_EXECUTION_TIME_NOT_QPU_CLOSED_LOOP,POST_IMPLEMENTATION_RESOURCE_TABLE,False,False,reported decoder time per measurement round,paper table execution time for adaptive high-level configuration,676.0,,,,676.0,,,,285.0,,integer local-clustering FSM; arithmetic precision not reported,251963,6.17,,,252736,3.09,,,,,,,,,,False,"[""different code family"",""different problem size"",""per-round execution time rather than GKP source-to-action"",""no shared quantization or control contract""]","{""average_per_round_ns"":""S04 formal paper Table 3, XCVU19P d=17 adaptive HL"",""clock_mhz"":""S04 formal paper Table 1, XCVU19P d=17"",""ff"":""S04 formal paper Table 1, XCVU19P d=17 FF"",""ff_percent"":""S04 formal paper Table 1, XCVU19P d=17 FF"",""lut"":""S04 formal paper Table 1, XCVU19P d=17 logic LUT"",""lut_percent"":""S04 formal paper Table 1, XCVU19P d=17 logic LUT"",""reported_latency_ns"":""S04 formal paper Table 3, XCVU19P d=17 adaptive HL""}"
overwater_nn_d5,S05_OVERWATER_NN,rotated surface code,two-hidden-layer fully-connected NN high-level decoder plus pure-error decoder,current surface-code syndrome after pure-error preprocessing,d=5; hidden layers 64 and 64,code-capacity depolarizing model used in the paper,Artix-7 post-implementation room-temperature estimate,AMD/Xilinx Artix-7,POST_IMPLEMENTATION_TIMING_ESTIMATE,POST_IMPLEMENTATION_ESTIMATE,False,False,decoder combinational/post-implementation inference delay,post-implementation timing estimate,87.6,87.6,,,,,,,,,"4-bit signed fixed-point for weights, biases and node outputs",44670,,,,,,,,,,,,,,0.132,False,"[""different code family"",""code-capacity rather than GKP drift/fault contract"",""post-implementation estimate"",""different input and output semantics""]","{""decoder_core_ns"":""S05 Table IV, d=5 64/64 network"",""lut"":""S05 Table IV, d=5 64/64 network"",""power_w"":""S05 Table IV, 132 mW converted to W"",""reported_latency_ns"":""S05 Table IV, d=5 64/64 network""}"
caune_stability8_9round_feedback,S06_CAUNE_REALTIME,8-qubit surface-code stability experiment,Collision Clustering FPGA decoder,classified outcomes from nine measurement rounds to conditional-gate feedback,8-qubit stability experiment; 9 measurement rounds,real Rigetti Ankaa-2 superconducting QPU,FPGA decoder integrated in the QPU control system,Rigetti control-system FPGA; exact part not reported,REAL_QPU_FULL_DECODING_RESPONSE,NOT_REPORTED,True,True,final data-extraction round to application of conditional logical gate,measured full decoding response for nine rounds,9600.0,6500.0,9600.0,9600.0,,,,,156.25,,,,,,,,,,,,,,,,,,False,"[""different code family and QPU"",""nine-round full response rather than single GKP round"",""project has no real-board source-to-action result"",""decoder and transport boundaries differ""]","{""clock_mhz"":""S06 Section III: decoder executes at 156.25 MHz"",""closed_loop_ns"":""S06 fast-feedback experiment full response"",""decoder_core_ns"":""S06 Introduction: 6.5 us decoding component"",""reported_latency_ns"":""S06 abstract and Introduction: 9.6 us full response"",""source_to_action_ns"":""S06 definition and reported 9.6 us full response""}"
maurer_gross_int4_x,S07_MAURER_RELAY_BP,bivariate bicycle qLDPC gross code,Relay-BP split-X decoder,12+1-cycle sliding detector window to logical Pauli-frame update,"[[144,12,12]] gross code; X decoder; 12-cycle window",circuit-level p=0.1% for the reported average,XCVU19P FPGA with synthetic streams and hardware verification harness,AMD/Xilinx UltraScale+ XCVU19P,FPGA_SYNTHETIC_INPUT_AVERAGE_CONVERGENCE,POST_PLACE_AND_ROUTE,False,True,average Relay-BP core completion for a 12-cycle detector window,about 20 iterations on average at p=0.1%; per-iteration time is deterministic,480.0,480.0,,,40.0,24.0,,,,,4-bit integer plus explicit sign,2106738,51.56,,,540767,6.62,29.5,1.37,,,,,,29.5 BRAM units as reported,58.025,False,"[""different qLDPC code family"",""iteration and average-window latency depend on convergence"",""vastly different problem size"",""synthetic input rather than QPU closed loop""]","{""average_per_round_ns"":""S07 Section 7: average 40 ns per cycle"",""bram"":""S07 Figure 5 resource table"",""bram_percent"":""S07 Figure 5 resource table"",""decoder_core_ns"":""S07 Section 7: full 12-cycle window average 480 ns"",""ff"":""S07 Figure 5 resource table"",""ff_percent"":""S07 Figure 5 resource table"",""iteration_ns"":""S07 abstract and Sections 5/7"",""lut"":""S07 Figure 5 resource table"",""lut_percent"":""S07 Figure 5 resource table"",""power_w"":""S07 Figure 5 resource table"",""reported_latency_ns"":""S07 Section 7: 20 iterations times 24 ns""}"
yang_nn_d3_closed_loop,S08_YANG_NN_CLOSED_LOOP,distance-3 rotated surface code,"32-hidden-unit LSTM plus dense head, separate X/Z decoders",per-round four-stabilizer syndrome to Pauli-frame/feedback control,d=3; 17-qubit patch; one logical qubit,"real 66-qubit superconducting processor, 17-qubit subset",Kintex-7 decoder integrated with DAQ and AWG feedback path,AMD/Xilinx XC7K410T,REAL_QPU_DETERMINISTIC_CLOSED_LOOP,FPGA_SYNTHESIS_PERCENTAGES_PER_X_OR_Z_DECODER,True,True,end of readout pulse to start of feedback pulse,deterministic closed-loop latency; deterministic NN core latency,550.0,124.0,550.0,550.0,,,,184.0,250.0,31,6-bit integer weights; simplified activations,,5.63,,,,4.56,,,,,399.0,25.91,,,,False,"[""different code family and syndrome semantics"",""project has no real-board closed-loop result"",""surface-code LSTM and GKP MAP/event paths have different functions"",""different QPU/control hardware""]","{""clock_mhz"":""S08 Section III"",""closed_loop_ns"":""S08 abstract and Methods Table I"",""decoder_core_ns"":""S08 abstract and Section III"",""dsp"":""S08 Supplement Table S2 d=3 anchor"",""dsp_percent"":""S08 Supplement Section II.D, per decoder"",""ff_percent"":""S08 Supplement Section II.D, per decoder"",""latency_cycles"":""S08 124 ns at 250 MHz (derived exactly and labeled)"",""lut_percent"":""S08 Supplement Section II.D, per decoder"",""reported_latency_ns"":""S08 abstract and Fig. 1"",""source_to_action_ns"":""S08 Fig. 1: end readout to start feedback"",""throughput_period_ns"":""S08 Section III""}"
project_t5_fast_path_core_pr,S09_PROJECT_FAST_PATH_PR,single-mode square approximate GKP,joint MAP-LUT plus event/fallback/frame fast-path core,quantized syndrome/control word to CRC-protected action/state word,one bosonic logical mode; 257-entry A/B X/Z MAP banks,"hardware qualification harness, not a physical QPU",Tang Nano 20K target-device three-seed place-and-route estimate,Gowin GW2AR-LV18QN88C8/I7,PREBOARD_POST_ROUTE_ESTIMATE,THREE_SEED_POST_PLACE_AND_ROUTE,False,False,"core input-valid to action output; excludes ADC, transport, CDC and actuation",six-cycle deterministic RTL path evaluated at the 27 MHz deployment contract,222.22222222222223,222.22222222222223,,,,,37.03703703703704,37.03703703703704,27.0,6,10-bit syndrome payload; 9-bit MAP address; 22-bit MAP LLR,3377,16.285686728395063,,,865,5.561985596707819,8.0,17.391304347826086,,,,,,8 Gowin BSRAM; 1 MULT18X18 and 1 MULT9X9 are separate native multipliers,,,"[""project reference row; not an external comparator"",""preboard P&R estimate only"",""small-pin harness excludes T6 transport""]","{""bram"":""S09 seed-1 post-route utilization BSRAM.used"",""bram_percent"":""S09 seed-1 BSRAM used/available (derived and labeled)"",""clock_mhz"":""S09 local target_contract.target_mhz"",""decoder_core_ns"":""S09 local latency estimate"",""ff"":""S09 seed-1 post-route utilization DFF.used"",""ff_percent"":""S09 seed-1 DFF used/available (derived and labeled)"",""ii_ns"":""S09 local latency_estimate.initiation_interval_at_target_ns"",""latency_cycles"":""S09 local latency_estimate.core_cycles"",""lut"":""S09 seed-1 post-route utilization LUT4.used"",""lut_percent"":""S09 seed-1 LUT4 used/available (derived and labeled)"",""reported_latency_ns"":""S09 docs/t5_5_2_target_device_synthesis.json latency_estimate.at_target_27mhz_ns"",""throughput_period_ns"":""S09 local latency_estimate.initiation_interval_at_target_ns""}"
project_t6_route_a_integrated_cxxrtl,S10_PROJECT_ROUTE_A_RTL,single-mode square approximate GKP,regime-aware safe adaptive MAP with HMM/event/fallback and versioned A/B banks,quantized observed-only posterior and syndrome/control contract to CRC-protected action/state,"one bosonic logical mode; ten scenario families; 1,000,000-cycle qualification",formal observed trajectories for four smooth and six abrupt/OOD families,integer golden plus CXXRTL and Yosys structural qualification; abstract FIFO only,,PREBOARD_CXXRTL_CYCLE_ALIGNMENT_ONLY,NOT_YET_INTEGRATED_PLACE_AND_ROUTE,False,False,action metadata aligned to production output on the same six-cycle source-to-action edge,cycle-exact CXXRTL contract; no nanosecond or wall-clock hardware claim,,,,,,,,,,6,"10-bit syndrome, 8-bit posterior components, fixed thresholds and CRC/version fields",,,,,,,,,,,,,,,,,"[""project reference row; not an external comparator"",""integrated P&R is deferred to T6.9.1"",""real-board source-to-action is deferred to T6.9.2""]","{""latency_cycles"":""S10 docs/route_a_integrated_rtl_qualification.md Section 4.3""}"
