row_id,response_state,topic,claim,boundary,source_ids_json,row_sha256
NMF-R01,REVIEWER_CONCERN,comment_origin,The question is a pre-emptive reviewer risk rather than supplied verbatim reviewer text.,Reviewer identity and wording remain a visible placeholder.,"[""task_board""]",c4c4856e9058570dd85904711ad13b18fe9d22c77016f6c6fd76ac82910f7598
NMF-R02,DIRECT_ANSWER,relationship,The project shares the use of history but neither reports an official Puviani reproduction nor claims to surpass NMF.,A shared non-Markovian motif is not a matched task signature.,"[""manuscript"",""exact_reproduction"",""matched_gate""]",0e7efb32ae37feac9bd0a83fb34fcd4490f7558579bad14c5766b8b52043f673
NMF-R03,OFFICIAL_INTAKE,source_identity,The public GQF source is pinned at c9ab1ef2b3ff6fa6d6d24cd95fbd06e2872e016d with twelve tracked files and MIT licensing.,"Source intake establishes identity, not paper-exact execution.","[""official_intake"",""gqf_runner_manifest""]",7ee2b295935a4f7ae7953057a85d3b8d924d56cd4af8037c502784cb3938fff8
NMF-R04,OFFICIAL_INTAKE,patched_execution,The pristine source has a syntax failure; isolated patches enable a CPU minimum smoke while the GPU path remains unqualified.,"Any executable result is official-code-derived and patched, not a pristine official run.","[""official_intake""]",d17c9c109f5868360997f4f0e3cef56a7394730b18c0c306bb387cf12fbe5693
NMF-R05,OFFICIAL_EXACT_STATUS,qualification,The paper-exact qualification passes zero of fifteen gates.,Paper-exact reproduction and MF/NMF ordering remain prohibited.,"[""exact_reproduction""]",883684534a188ae01ccc660883173b6e288cdfac2528ac9b5cb584a31f1972f7
NMF-R06,OFFICIAL_EXACT_STATUS,source_gaps,"The audit records eighteen blocking paper/source discrepancies and eight missing required fields, with no guessed fields.",Missing protocol fields are not imputed from project-native artifacts.,"[""exact_reproduction""]",85ba51c9d03d74a3c26acb2b77632390224dd597b965cf2130c9688b0235e87f
NMF-R07,OFFICIAL_EXACT_STATUS,agent_assets,"All twenty official-agent ledger rows lack seeds, checkpoint hashes, selection metrics and lifetime outputs.",The published best-of-twenty selection cannot be reconstructed from the available assets.,"[""exact_reproduction"",""gqf_runner_manifest""]",6a7ca4d4853b7a193f2c6b7802c9e495ad781e0ffb08e7f288660ce40e347baa
NMF-R08,OFFICIAL_EXACT_STATUS,exact_outcomes,"Every exact Standard, MF and NMF T_X, T_Y, T_Z, T_ch and F_avg field is null.",Null exact outcomes cannot support a ranking or a lifetime gain.,"[""exact_reproduction""]",2274d4559aa7071dde99cd2774a191277a5153235267882da66b69082c007744
NMF-R09,REDUCED_DIAGNOSTIC,scale,"The reduced standard-only diagnostic contains six states, three seeds, thirty-six trajectories, 378 environment steps and 756 rows.","Cutoff eight, Delta 0.34 and twenty-one steps do not reproduce the paper's trained 1000-cycle comparison.","[""exact_reproduction""]",70cea68c78174206bf257841135f437b04dc537660a84f46065a6305667dd93d
NMF-R10,MATCHED_COMPARISON,eligibility,All eight matched-comparison prerequisites fail and the execution follows the ineligible negative branch.,No same-GQF Route-A-versus-NMF run was launched.,"[""matched_gate""]",094e96becebdcebc39c6162658ae9c78e21f1c381ca5cf677437a16654865ce3
