row_id,row_schema,layer,cell_base,cell_id,backend,backend_id,cutoff,convergence_role,seed,seed_position,trajectory_id,round_index,terminal_round,action,probe_id,scenario,initial_state,logical_label,rng_namespace,archive_chunk,archive_row_index,density_index,raw_iq_index,heldout_iq_index,heldout_window_sha256,pre_readout_i,pre_readout_q,pre_measurement_g,pre_measurement_e,pre_measurement_f,pre_reset_g,pre_reset_e,pre_reset_f,integrated_i,integrated_q,integrated_i_mean_error,integrated_q_mean_error,raw_log_evidence,raw_reference_log_evidence,raw_within_window_residual,posterior_g,posterior_e,posterior_f,level_g,level_e,level_f,mean_photon,reset_requested,reset_hidden_success,reset_ack,rao_blackwell_reset_success,leakage_resident,leakage_residence_probability,leakage_age,predictive_mean_i,predictive_mean_q,predictive_cov_ii,predictive_cov_iq,predictive_cov_qq,heldout_reference_log_evidence,heldout_proper_score_per_sample,heldout_llr_ge_per_sample,heldout_llr_gf_per_sample,heldout_llr_ef_per_sample,drift_0,drift_1,drift_2,drift_3,drift_4,logical_survival,logical_block_00_real,logical_block_00_imag,logical_block_01_real,logical_block_01_imag,logical_block_10_real,logical_block_10_imag,logical_block_11_real,logical_block_11_imag,density_trace_error,density_hermiticity_frobenius,density_minimum_eigenvalue,density_quantization_frobenius_error,density_quantization_certified_frobenius_bound,density_quantization_trace_distance_bound,posterior_normalization_error,level_normalization_error,reference_posterior_l1_error,reference_log_evidence_error,conservation_pass,exception_type,exception_message
fault|telegraph|c36|A|p0000|r000,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,0,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,0,-1,0,0,493469c2752a545cefc038320ce4d3d7632b243d9b4a54ec8ad3b1a733ce743d,-0.08,0.05,0.9870276604408368,0.012488048749376994,0.0004842908097861874,1.0,1.106770603667533e-19,8.44339241687553e-18,-0.7454111989278815,0.008982767681478307,0.0,6.938893903907228e-18,-14.503160230616468,-14.503160230616468,5.027253875307156,1.0,1.106770603667533e-19,8.44339241687553e-18,1.0,1.106770603667533e-19,8.44339241687553e-18,3.6812800344253325,False,False,none,,False,8.44339241687553e-18,0,-0.9083586699377407,0.050556934431254114,0.06477201382890638,0.0004613414647161912,0.029440164419981516,-22.949805516694973,-2.8687256895868716,-8.820578930234904,-4.7656338333003605,4.054945096934542,0.05417882342002519,0.02939744780311135,-0.07810025553453533,0.04766065264656985,0.029771349859053955,0.8571244410857239,8.161187357511431e-06,0.0,0.001247555002569122,0.00021025883107019856,0.001247555002569122,-0.00021025883107019856,0.8571162798983665,0.0,2.220446049250313e-16,0.0,-3.1825776876943843e-20,,,,0.0,0.0,4.1672309171678816e-32,0.0,True,,
fault|telegraph|c36|A|p0000|r001,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,1,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,1,-1,1,1,75e7f2ffc2cb8dc69e73cec8c59fa87218bb76590cb6cce193da3e469b62fa81,-0.07810025553453533,0.04766065264656985,0.987624170866807,0.011892024110373331,0.0004838050228196491,0.9999999999988598,7.148847095834327e-20,1.1402756742412189e-12,-0.7500773814886869,0.3073852976153128,0.0,0.0,-11.465946814108332,-11.465946814108332,3.120835564989636,0.9999999999988598,7.148847095834327e-20,1.1402756742412189e-12,0.9999999999988598,7.148847095834327e-20,1.1402756742412189e-12,3.5955621157061435,False,False,none,,False,1.1402756742412189e-12,0,-0.907472580277504,0.04821702842281245,0.06309199782145658,0.0004614426709729959,0.029439522588674594,-12.79363175354056,-1.59920396919257,-6.681066157971273,-2.4442849061505676,4.236781251820705,0.05354503730874384,0.03196452465538374,-0.07794662070882333,0.04572774314668109,0.029306086284466803,0.7543148797615965,0.7542997714579804,0.0,-0.0005107668223053541,-0.00019892370558548996,-0.0005107668223053541,0.00019892370558548996,1.5108303616010705e-05,0.0,0.0,0.0,-6.468787931762144e-20,,,,0.0,0.0,2.2204460492563715e-16,0.0,True,,
fault|telegraph|c36|A|p0000|r002,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,2,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,2,-1,2,2,bd0f41fc564202e5b35da436aba2fe3c858ee413f7738d28c38caaf7e72487e8,-0.07794662070882333,0.04572774314668109,0.9881904293697353,0.01132623565016035,0.00048333498010439183,0.9999999999999999,6.630719437324446e-18,1.0738228841800901e-16,-0.6723458347093993,0.01598819581755731,0.0,1.3877787807814457e-17,-11.159759812741749,-11.159759812741749,3.243471379950726,0.9999999999999999,6.630719437324446e-18,1.0738228841800901e-16,0.9999999999999999,6.630719437324446e-18,1.0738228841800901e-16,3.5083314628624596,False,False,none,,False,1.0738228841800901e-16,0,-0.9082811853704621,0.04628357837380115,0.06149530120504156,0.00046152920133433025,0.02943890155838835,-19.387438568608477,-2.4234298210760596,-0.8388521601492869,-4.331122388698767,-3.49227022854948,0.05329394849948432,0.0323475112330531,-0.07552776345689557,0.046210035477892056,0.027460418470839285,0.712851066745662,0.7127972517420182,0.0,-0.0011608717263088114,0.0010774452797989568,-0.0011608717263088114,-0.0010774452797989568,5.3815003643793416e-05,0.0,1.1102230246251565e-16,0.0,-1.0830546553705351e-19,,,,0.0,0.0,1.110223024625161e-16,0.0,True,,
fault|telegraph|c36|A|p0000|r003,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,3,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,3,-1,3,3,9600054d6d778de4aeee213673a6c4e3f3dad8c1ab763c94f85ef6d666a9ced4,0.004472236543104427,-0.003789964522107947,0.9884808563889594,0.011036021445737936,0.0004831221653026199,0.9999999999999986,6.904981059255513e-18,1.4547004072399118e-15,-0.5887956327882962,0.030919976428867013,0.0,0.0,-10.525843942133802,-10.5258439421338,2.9442986394791,0.9999999999999986,6.904981059255513e-18,1.4547004072399118e-15,0.9999999999999986,6.904981059255513e-18,1.4547004072399118e-15,3.4668245691218145,False,False,none,,False,1.4547004072399118e-15,0,-0.8263558731586338,-0.003234374032009934,0.0606755963650052,0.0004616001966563943,0.029438620382820028,-11.318674149336116,-1.4148342686670146,6.770983039485695,4.991700801752247,-1.7792822377334483,0.003674749598134152,-0.00010697555697460146,0.008493172994632203,-0.008591694644818688,-0.00013682452369028798,0.5080960401622747,0.0006897328796549796,0.0,-0.002096869428573641,0.009532052110320242,-0.002096869428573641,-0.009532052110320242,0.5074063072826197,0.0,1.1102230246251565e-16,0.0,-9.92449902578104e-18,,,,0.0,0.0,3.3306690738755594e-16,1.7763568394002505e-15,True,,
fault|telegraph|c36|A|p0000|r004,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,4,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,4,-1,4,4,0474f16577b9354a31e24853f5dd2c5c36dcc6f3ec80f4f0130f764e6f2d7f2b,0.008493172994632203,-0.008591694644818688,0.9888038327254428,0.010713317340701045,0.0004828499338560678,1.0,1.6610526339071847e-26,4.36973142876109e-17,-0.9204720460941955,0.18648055308336103,1.1102230246251565e-16,0.0,-10.260475014481289,-10.260475014481289,3.0047870089360877,1.0,1.6610526339071847e-26,4.36973142876109e-17,1.0,1.6610526339071847e-26,4.36973142876109e-17,3.4168657989010476,False,False,none,,False,4.36973142876109e-17,0,-0.8228837650823982,-0.00803641722088421,0.05976352775645028,0.0004616448444939474,0.029438260704507117,-11.954845568758515,-1.4943556960948143,4.8507002665555,4.102725135482713,-0.7479751310727876,0.0036960217510589475,0.0010711889907397015,0.009317527878650814,-0.011377118809539071,0.0010494330102602638,0.401475566866465,0.40047695346138484,0.0,0.0022092509761040325,0.011262409811416194,0.0022092509761040325,-0.011262409811416194,0.0009986134050801575,0.0,0.0,0.0,-4.639181466522214e-17,,,,0.0,0.0,1.848892748046676e-32,0.0,True,,
fault|telegraph|c36|A|p0000|r005,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,5,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,5,-1,5,5,7fac0aff6fba979cc0f2557da1cb7f25c39d6a5ec1bf8f57234bf370c83bab33,0.009317527878650814,-0.011377118809539071,0.9892164329304205,0.01030111331688268,0.000482453752696928,1.0,3.356933292388852e-25,1.3988166628064765e-23,-0.8680480152352666,-0.22892759359250228,0.0,2.7755575615628914e-17,-8.003154329101799,-8.003154329101799,1.9344987210199984,1.0,3.356933292388852e-25,1.3988166628064765e-23,1.0,3.356933292388852e-25,1.3988166628064765e-23,3.3443337000470343,False,False,none,,False,1.3988166628064765e-23,0,-0.8227604937928563,-0.010822296993937606,0.058597593014907495,0.00046165503870586246,0.029437737260694617,-10.402877369799224,-1.300359671224903,6.564526882617146,3.66904291715744,-2.8954839654597064,0.004429956169914507,0.003392207658051953,0.008686308955975941,-0.012696269765843529,0.0004817231068444858,0.38567995276861466,0.38406370748808294,0.0,-0.0017471835558874847,-0.014471277764220239,-0.0017471835558874847,0.014471277764220239,0.0016162452805316757,0.0,1.1102230246251565e-16,0.0,-1.1252780327136138e-16,,,,0.0,0.0,2.0617068887469027e-38,0.0,True,,
fault|telegraph|c36|A|p0000|r006,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,6,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,6,-1,6,6,845df0a9c206bbfc92c5156876b6bb3f36e133b2256a6f3971f5a4f4f5e8ca9d,-0.07131369104402406,0.03730373023415647,0.9892737254254513,0.01024385088196599,0.00048242369258274956,0.9999999999962181,1.7068808787109653e-16,3.781596150892874e-12,-0.60896565040439,0.22788198292776973,0.0,2.7755575615628914e-17,-8.640829683096854,-8.640829683096854,1.541931916641628,0.9999999999962181,1.7068808787109653e-16,3.781596150892874e-12,0.9999999999962181,1.7068808787109653e-16,3.781596150892874e-12,3.339894905896345,False,False,none,,False,3.781596150892874e-12,0,-0.9034890844059866,0.03785851748062664,0.058435563564971975,0.000461680295063507,0.02943769754455184,-16.712289503899004,-2.0890361879873756,-5.816899500471024,-2.4366238144937125,3.3802756859773115,0.055730607194506815,0.034132553148543396,-0.06852244694877187,0.03592856252597931,0.029313100809398487,0.25768663323962543,0.00823066733965949,0.0,0.018439399320048747,0.029084864537152783,0.018439399320048747,-0.029084864537152783,0.24945596589996594,0.0,0.0,0.0,-8.332269015115147e-17,,,,1.1102230246251565e-16,1.1102230246251565e-16,1.1309602975314188e-26,0.0,True,,
fault|telegraph|c36|A|p0000|r007,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,7,False,Z,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,7,-1,7,7,f70965c1cf55909edd75fdb7fdedb53d582c9c4e84d4c44f18eecb7aa4827dff,-0.06852244694877187,0.03592856252597931,0.9894456510160767,0.010072000130195059,0.0004823488537282567,1.0,2.9121190426526326e-32,7.695789536811384e-20,-1.2209706501356936,0.23740582176878713,2.220446049250313e-16,0.0,-16.684020199626733,-16.684020199626733,5.2628211203012105,1.0,2.9121190426526326e-32,7.695789536811384e-20,1.0,2.9121190426526326e-32,7.695789536811384e-20,3.3142156413379533,False,False,none,,False,7.695789536811384e-20,0,-0.9009900502017713,0.036483263707766805,0.05794919248738815,0.0004617707633242425,0.02943759866565454,-19.209389238301636,-2.4011736547877045,-8.416834876578166,-3.2563523818541276,5.160482494724039,0.05482645165585314,0.03750228867352441,-0.06676805618338283,0.038451946486777085,0.02943439822338564,0.2144381590695005,0.20825352497743355,0.0,-0.017836885621355537,0.01905415403193557,-0.017836885621355537,-0.01905415403193557,0.006184634092066973,0.0,0.0,0.0,-3.9554647269797456e-17,,,,0.0,0.0,1.9259299443891517e-34,0.0,True,,
fault|telegraph|c36|A|p0000|r008,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,8,False,IDLE,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,8,-1,8,8,7d247670e6478fb43415f85aab24c57ed200c33c5ff67fb18380fde01c8eebd9,-0.06676805618338283,0.038451946486777085,0.9897862771230564,0.009731784823469347,0.00048193805347414835,1.0,3.0532554830402897e-28,2.2720728333526222e-20,-1.0617925124388614,0.09304991810190558,0.0,1.3877787807814457e-17,-12.783308214987263,-12.783308214987263,4.329971406767402,1.0,3.0532554830402897e-28,2.2720728333526222e-20,1.0,3.0532554830402897e-28,2.2720728333526222e-20,3.2490146482865603,False,False,none,,False,2.2720728333526222e-20,0,-0.8998143746380319,0.03900617524827235,0.056985631065520306,0.0004616982293453149,0.02943705590619949,-13.254880558110083,-1.6568600697637603,-5.274784878602336,-1.4486046473012344,3.826180231301102,0.053708489571869876,0.035977531561304336,-0.06918141623372419,0.03886836992546914,0.02681007697235875,0.2137216708345268,0.20586411629951568,0.0,0.02145434087915646,-0.018169448782194994,0.02145434087915646,0.018169448782194994,0.007857554535011102,0.0,2.220446049250313e-16,0.0,-7.927266651915597e-17,,,,0.0,0.0,6.620384659151562e-35,0.0,True,,
fault|telegraph|c36|A|p0000|r009,PHASE9-FRESH-TWIN-ROUND-LEDGER-V1,fault,fault|telegraph,ab/c36/fault/telegraph,A,PHASE9-BACKEND-A-JOINT-FOCK-QUTRIT-GKSL-V1,36,fresh_cutoff36_40_44_bounded_repair,1800000,0,fault|telegraph|c36|A|p0000,9,False,X,,telegraph,,0,NUMPY_SEEDSEQUENCE_ADDRESSED,repair_c36_fault_telegraph_A__ed3cfd7e32f43f76,9,-1,9,9,4bcb05d51cdef9bd7471d3e78c0e0540f4616f47aabf678593ddbaafab7f5e2d,0.010818583766275813,-0.011131630074530864,0.9896753665317528,0.009842536885940766,0.0004820965823064818,1.0,1.232983508680014e-21,4.959773055290899e-21,-0.7267017542400005,-0.18498794417197695,0.0,0.0,-11.426954516491948,-11.426954516491948,3.553994697444946,1.0,1.232983508680014e-21,4.959773055290899e-21,1.0,1.232983508680014e-21,4.959773055290899e-21,3.2770683565723453,False,False,none,,False,4.959773055290899e-21,0,-0.8220393214326643,-0.01057721900487841,0.05729939496691672,0.00046174564208984663,0.029437265358466167,-14.293103909514766,-1.7866379886893458,-4.661446627940237,-2.234811305533875,2.426635322406362,0.00641290861405704,0.00459807332528441,0.015066245300260996,-0.012878302610222207,-0.0013949905018939526,0.1569145681514701,0.01999648676462471,0.0,0.039727180414058746,0.010980333428123896,0.039727180414058746,-0.010980333428123896,0.13691808138684539,0.0,2.220446049250313e-16,0.0,-2.5311952148091755e-17,,,,0.0,0.0,2.407412430484045e-35,0.0,True,,
