row_id,source_id,row_origin,method_family,code_family,distance_or_window,decoder,input_semantics,output_semantics,noise_model,device,technology,precision,latency_boundary,latency_statistic,evidence_level,physical_board_executed,qpu_in_loop,public_code_url,public_rtl_state,reported_latency_ns,decoder_core_ns,source_to_action_ns,average_per_round_ns,p95_latency_ns,p99_latency_ns,clock_mhz,latency_cycles,ii_cycles,ii_ns,lut_count,lut_percent,ff_count,ff_percent,bram_count,bram_percent,dsp_count,dsp_percent,power_w,branch_dynamic_power_w,reported_cycle_conflict,direct_nn,same_task_comparable_to_project,caveats_json,task_signature_json,numeric_sources_json
lilliput_d5_m2,S01_LILLIPUT,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,lookup-table surface-code decoder,rotated surface code,"d=5, m=2; one logical qubit; 24-bit LUT address and 37-bit entry",LILLIPUT LUT,two-round detection-event window with internal state,surface-code Pauli-frame error assignment,circuit-level stochastic Pauli model calibrated to Sycamore-like device parameters,Intel Arria V,FPGA post-implementation timing with external-memory allowance,LUT address/action bits; no arithmetic precision reported,syndrome-arrival to error assignment inside decoder,fixed seven-cycle decoder latency; external-memory allowance included,POST_IMPLEMENTATION_ESTIMATE_NOT_QPU_CLOSED_LOOP,False,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,42.0,42.0,,,,,232.9,7,,,,,486,,,,,,,,,False,False,"[""different code family"",""different syndrome and action semantics"",""different problem size"",""post-implementation estimate rather than project-board measurement""]","{""code_family"":""rotated surface code"",""device_class"":""Intel Arria V"",""distance_or_window"":""d=5, m=2; one logical qubit; 24-bit LUT address and 37-bit entry"",""hardware_evidence"":""POST_IMPLEMENTATION_ESTIMATE_NOT_QPU_CLOSED_LOOP"",""input_semantics"":""two-round detection-event window with internal state"",""latency_boundary"":""syndrome-arrival to error assignment inside decoder"",""latency_statistic"":""fixed seven-cycle decoder latency; external-memory allowance included"",""output_semantics"":""surface-code Pauli-frame error assignment"",""precision"":""LUT address/action bits; no arithmetic precision reported""}","{""clock_mhz"":""S01 Table 4, [d=5,m=2] frequency"",""decoder_core_ns"":""S01 Table 4 and Section 6.3"",""ff_count"":""S01 Table 3, [d=5,m=2]"",""latency_cycles"":""S01 Section 6.3"",""reported_latency_ns"":""S01 Table 4, [d=5,m=2] latency""}"
helios_d21,S02_HELIOS,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,distributed Union-Find,rotated surface code,d=21; one logical qubit,Helios distributed Union-Find,d rounds of binary surface-code detection events,surface-code correction forest/Pauli frame,phenomenological p=0.1%,AMD/Xilinx VCU129 (VU29P),VCU129 FPGA with synthetic syndromes generated by on-board MicroBlaze,fixed-point additions; bit widths vary with d,average decoder execution time divided by d measurement rounds,"mean over 1,000,000 synthetic trials; long tail exists",FPGA_SYNTHETIC_INPUT_MEAN_PER_MEASUREMENT_ROUND,True,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,11.5,,,11.5,,,100.0,,,,898715,,238939,,0.0,,0.0,,,,,False,False,"[""different code family"",""11.5 ns is a mean per-round amortization, not source-to-action"",""different problem size"",""synthetic syndrome source""]","{""code_family"":""rotated surface code"",""device_class"":""AMD/Xilinx VCU129 (VU29P)"",""distance_or_window"":""d=21; one logical qubit"",""hardware_evidence"":""FPGA_SYNTHETIC_INPUT_MEAN_PER_MEASUREMENT_ROUND"",""input_semantics"":""d rounds of binary surface-code detection events"",""latency_boundary"":""average decoder execution time divided by d measurement rounds"",""latency_statistic"":""mean over 1,000,000 synthetic trials; long tail exists"",""output_semantics"":""surface-code correction forest/Pauli frame"",""precision"":""fixed-point additions; bit widths vary with d""}","{""average_per_round_ns"":""S02 abstract and Fig. 6, d=21 p=0.001"",""bram_count"":""S02 Section V.C: no BRAM"",""clock_mhz"":""S02 Section VI discussion, Helios uses 100 MHz"",""dsp_count"":""S02 Section V.C: no DSP"",""ff_count"":""S02 Table I, d=21"",""lut_count"":""S02 Table I, d=21"",""reported_latency_ns"":""S02 abstract and Fig. 6, d=21 p=0.001""}"
collision_clustering_d21,S03_COLLISION_CLUSTERING,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,collision clustering,rotated planar surface code,d=21; 881 physical qubits,Collision Clustering,d-round detection graph,surface-code correction forest/Pauli frame,circuit-level p=0.1%,AMD/Xilinx UltraScale+ XCVU3P,"XCVU3P FPGA, synthetic shots",integer FSM/storage architecture; arithmetic precision not reported,decoder execution time divided by d syndrome-measurement rounds,"mean over 100,000 synthetic shots",FPGA_SYNTHETIC_INPUT_MEAN_NORMALIZED_PER_ROUND,True,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,810.0,,,810.0,,,405.0,,,,17237,4.37,11957,1.52,,,0.0,,,,,False,False,"[""different code family"",""mean normalized per round rather than source-to-action"",""different problem size"",""synthetic syndromes and no QPU loop""]","{""code_family"":""rotated planar surface code"",""device_class"":""AMD/Xilinx UltraScale+ XCVU3P"",""distance_or_window"":""d=21; 881 physical qubits"",""hardware_evidence"":""FPGA_SYNTHETIC_INPUT_MEAN_NORMALIZED_PER_ROUND"",""input_semantics"":""d-round detection graph"",""latency_boundary"":""decoder execution time divided by d syndrome-measurement rounds"",""latency_statistic"":""mean over 100,000 synthetic shots"",""output_semantics"":""surface-code correction forest/Pauli frame"",""precision"":""integer FSM/storage architecture; arithmetic precision not reported""}","{""average_per_round_ns"":""S03 Table I note, d=21"",""clock_mhz"":""S03 Table I, d=21"",""dsp_count"":""S03 Section IV: no DSP"",""ff_count"":""S03 Table I, d=21"",""ff_percent"":""S03 Table I, d=21"",""lut_count"":""S03 Table I, d=21"",""lut_percent"":""S03 Table I, d=21"",""reported_latency_ns"":""S03 abstract and Table I, d=21""}"
local_clustering_d17_adaptive_hl,S04_LOCAL_CLUSTERING,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,local clustering,rotated surface code,d=17,Local Clustering adaptive high-level mode,streamed surface-code detection events,surface-code correction forest/Pauli frame,paper high-level adaptive benchmark,AMD/Xilinx UltraScale+ XCVU19P,XCVU19P FPGA implementation report,integer local-clustering FSM; arithmetic precision not reported,reported decoder time per measurement round,paper table execution time for adaptive high-level configuration,FPGA_IMPLEMENTATION_EXECUTION_TIME_NOT_QPU_CLOSED_LOOP,False,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,676.0,,,676.0,,,285.0,,,,251963,6.17,252736,3.09,,,,,,,,False,False,"[""different code family"",""different problem size"",""per-round execution time rather than GKP source-to-action"",""no shared quantization or control contract""]","{""code_family"":""rotated surface code"",""device_class"":""AMD/Xilinx UltraScale+ XCVU19P"",""distance_or_window"":""d=17"",""hardware_evidence"":""FPGA_IMPLEMENTATION_EXECUTION_TIME_NOT_QPU_CLOSED_LOOP"",""input_semantics"":""streamed surface-code detection events"",""latency_boundary"":""reported decoder time per measurement round"",""latency_statistic"":""paper table execution time for adaptive high-level configuration"",""output_semantics"":""surface-code correction forest/Pauli frame"",""precision"":""integer local-clustering FSM; arithmetic precision not reported""}","{""average_per_round_ns"":""S04 formal paper Table 3, XCVU19P d=17 adaptive HL"",""clock_mhz"":""S04 formal paper Table 1, XCVU19P d=17"",""ff_count"":""S04 formal paper Table 1, XCVU19P d=17 FF"",""ff_percent"":""S04 formal paper Table 1, XCVU19P d=17 FF"",""lut_count"":""S04 formal paper Table 1, XCVU19P d=17 logic LUT"",""lut_percent"":""S04 formal paper Table 1, XCVU19P d=17 logic LUT"",""reported_latency_ns"":""S04 formal paper Table 3, XCVU19P d=17 adaptive HL""}"
overwater_nn_d5,S05_OVERWATER_NN,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,Direct NN / fully-connected network,rotated surface code,d=5; hidden layers 64 and 64,two-hidden-layer fully-connected NN high-level decoder plus pure-error decoder,current surface-code syndrome after pure-error preprocessing,logical surface-code correction class,code-capacity depolarizing model used in the paper,AMD/Xilinx Artix-7,Artix-7 post-implementation room-temperature estimate,"4-bit signed fixed-point for weights, biases and node outputs",decoder combinational/post-implementation inference delay,post-implementation timing estimate,POST_IMPLEMENTATION_TIMING_ESTIMATE,False,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,87.6,87.6,,,,,,,,,44670,,,,,,,,0.132,,,True,False,"[""different code family"",""code-capacity rather than GKP drift/fault contract"",""post-implementation estimate"",""different input and output semantics""]","{""code_family"":""rotated surface code"",""device_class"":""AMD/Xilinx Artix-7"",""distance_or_window"":""d=5; hidden layers 64 and 64"",""hardware_evidence"":""POST_IMPLEMENTATION_TIMING_ESTIMATE"",""input_semantics"":""current surface-code syndrome after pure-error preprocessing"",""latency_boundary"":""decoder combinational/post-implementation inference delay"",""latency_statistic"":""post-implementation timing estimate"",""output_semantics"":""logical surface-code correction class"",""precision"":""4-bit signed fixed-point for weights, biases and node outputs""}","{""decoder_core_ns"":""S05 Table IV, d=5 64/64 network"",""lut_count"":""S05 Table IV, d=5 64/64 network"",""power_w"":""S05 Table IV, 132 mW converted to W"",""reported_latency_ns"":""S05 Table IV, d=5 64/64 network""}"
caune_stability8_9round_feedback,S06_CAUNE_REALTIME,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,real-time clustering feedback,8-qubit surface-code stability experiment,8-qubit stability experiment; 9 measurement rounds,Collision Clustering FPGA decoder,classified outcomes from nine measurement rounds to conditional-gate feedback,conditional logical feedback gate,real Rigetti Ankaa-2 superconducting QPU,Rigetti control-system FPGA; exact part not reported,FPGA decoder integrated in the QPU control system,None,final data-extraction round to application of conditional logical gate,measured full decoding response for nine rounds,REAL_QPU_FULL_DECODING_RESPONSE,True,True,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,9600.0,6500.0,9600.0,,,,156.25,,,,,,,,,,,,,,,False,False,"[""different code family and QPU"",""nine-round full response rather than single GKP round"",""project has no real-board source-to-action result"",""decoder and transport boundaries differ""]","{""code_family"":""8-qubit surface-code stability experiment"",""device_class"":""Rigetti control-system FPGA; exact part not reported"",""distance_or_window"":""8-qubit stability experiment; 9 measurement rounds"",""hardware_evidence"":""REAL_QPU_FULL_DECODING_RESPONSE"",""input_semantics"":""classified outcomes from nine measurement rounds to conditional-gate feedback"",""latency_boundary"":""final data-extraction round to application of conditional logical gate"",""latency_statistic"":""measured full decoding response for nine rounds"",""output_semantics"":""conditional logical feedback gate"",""precision"":""None""}","{""clock_mhz"":""S06 Section III: decoder executes at 156.25 MHz"",""decoder_core_ns"":""S06 Introduction: 6.5 us decoding component"",""reported_latency_ns"":""S06 abstract and Introduction: 9.6 us full response"",""source_to_action_ns"":""S06 definition and reported 9.6 us full response""}"
maurer_gross_int4_x,S07_MAURER_RELAY_BP,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,Relay-BP message passing,bivariate bicycle qLDPC gross code,"[[144,12,12]] gross code; X decoder; 12-cycle window",Relay-BP split-X decoder,12+1-cycle sliding detector window to logical Pauli-frame update,gross-code logical Pauli-frame update,circuit-level p=0.1% for the reported average,AMD/Xilinx UltraScale+ XCVU19P,XCVU19P FPGA with synthetic streams and hardware verification harness,4-bit integer plus explicit sign,average Relay-BP core completion for a 12-cycle detector window,about 20 iterations on average at p=0.1%; per-iteration time is deterministic,FPGA_SYNTHETIC_INPUT_AVERAGE_CONVERGENCE,True,False,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,480.0,480.0,,40.0,,,,,,,2106738,51.56,540767,6.62,29.5,1.37,,,58.025,,,False,False,"[""different qLDPC code family"",""iteration and average-window latency depend on convergence"",""vastly different problem size"",""synthetic input rather than QPU closed loop""]","{""code_family"":""bivariate bicycle qLDPC gross code"",""device_class"":""AMD/Xilinx UltraScale+ XCVU19P"",""distance_or_window"":""[[144,12,12]] gross code; X decoder; 12-cycle window"",""hardware_evidence"":""FPGA_SYNTHETIC_INPUT_AVERAGE_CONVERGENCE"",""input_semantics"":""12+1-cycle sliding detector window to logical Pauli-frame update"",""latency_boundary"":""average Relay-BP core completion for a 12-cycle detector window"",""latency_statistic"":""about 20 iterations on average at p=0.1%; per-iteration time is deterministic"",""output_semantics"":""gross-code logical Pauli-frame update"",""precision"":""4-bit integer plus explicit sign""}","{""average_per_round_ns"":""S07 Section 7: average 40 ns per cycle"",""bram_count"":""S07 Figure 5 resource table"",""bram_percent"":""S07 Figure 5 resource table"",""decoder_core_ns"":""S07 Section 7: full 12-cycle window average 480 ns"",""ff_count"":""S07 Figure 5 resource table"",""ff_percent"":""S07 Figure 5 resource table"",""lut_count"":""S07 Figure 5 resource table"",""lut_percent"":""S07 Figure 5 resource table"",""power_w"":""S07 Figure 5 resource table"",""reported_latency_ns"":""S07 Section 7: 20 iterations times 24 ns""}"
yang_nn_d3_closed_loop,S08_YANG_NN_CLOSED_LOOP,T6.8.6_SOURCE_LEDGER_REVALIDATED_IMPORT,Direct NN / LSTM,distance-3 rotated surface code,d=3; 17-qubit patch; one logical qubit,"32-hidden-unit LSTM plus dense head, separate X/Z decoders",per-round four-stabilizer syndrome to Pauli-frame/feedback control,surface-code Pauli-frame/feedback action,"real 66-qubit superconducting processor, 17-qubit subset",AMD/Xilinx XC7K410T,Kintex-7 decoder integrated with DAQ and AWG feedback path,6-bit integer weights; simplified activations,end of readout pulse to start of feedback pulse,deterministic closed-loop latency; deterministic NN core latency,REAL_QPU_DETERMINISTIC_CLOSED_LOOP,True,True,,NOT_REAUDITED_IN_T6.19.2_IMPORTED_FROM_T6.8.6,550.0,124.0,550.0,,,,250.0,31,,,,5.63,,4.56,,,399.0,25.91,,,,True,False,"[""different code family and syndrome semantics"",""project has no real-board closed-loop result"",""surface-code LSTM and GKP MAP/event paths have different functions"",""different QPU/control hardware""]","{""code_family"":""distance-3 rotated surface code"",""device_class"":""AMD/Xilinx XC7K410T"",""distance_or_window"":""d=3; 17-qubit patch; one logical qubit"",""hardware_evidence"":""REAL_QPU_DETERMINISTIC_CLOSED_LOOP"",""input_semantics"":""per-round four-stabilizer syndrome to Pauli-frame/feedback control"",""latency_boundary"":""end of readout pulse to start of feedback pulse"",""latency_statistic"":""deterministic closed-loop latency; deterministic NN core latency"",""output_semantics"":""surface-code Pauli-frame/feedback action"",""precision"":""6-bit integer weights; simplified activations""}","{""clock_mhz"":""S08 Section III"",""decoder_core_ns"":""S08 abstract and Section III"",""dsp_count"":""S08 Supplement Table S2 d=3 anchor"",""dsp_percent"":""S08 Supplement Section II.D, per decoder"",""ff_percent"":""S08 Supplement Section II.D, per decoder"",""latency_cycles"":""S08 124 ns at 250 MHz (derived exactly and labeled)"",""lut_percent"":""S08 Supplement Section II.D, per decoder"",""reported_latency_ns"":""S08 abstract and Fig. 1"",""source_to_action_ns"":""S08 Fig. 1: end readout to start feedback""}"
micro_blossom_d13,S11_MICRO_BLOSSOM,T6.19.2_CUTOFF_REFRESH,exact MWPM hardware/software co-design,rotated surface code,d=13; one logical qubit; streamed d-round circuit-level decoding graph,Micro Blossom exact MWPM,streamed surface-code detection events through round-wise fusion,exact MWPM correction bit,circuit-level p=0.1%,Xilinx Versal VMK180 evaluation board,FPGA PL plus ARM Cortex-A72 PS over internal AXI4,4-bit maximum edge-weight representation; compact per-vertex/per-edge state,"syndrome ready after last round to correction bit available, including PS-PL I/O",measured mean on physical FPGA prototype,PHYSICAL_FPGA_SYNTHETIC_INPUT_MEASURED,True,False,https://github.com/yuewuo/micro-blossom,PUBLIC_SCALA_GENERATOR_AND_SYNTHESIZABLE_VERILOG_ARTIFACT_MIT,800.0,800.0,,,,,62.0,,,,553000,,,,,,,,,,,False,False,"[""not a QPU closed loop"",""heterogeneous CPU/FPGA exact MWPM task differs from single-mode GKP MAP"",""800 ns is a mean and not a deterministic worst-case bound""]","{""code_family"":""rotated surface code"",""device_class"":""Xilinx Versal VMK180 evaluation board"",""distance_or_window"":""d=13; one logical qubit; streamed d-round circuit-level decoding graph"",""hardware_evidence"":""PHYSICAL_FPGA_SYNTHETIC_INPUT_MEASURED"",""input_semantics"":""streamed surface-code detection events through round-wise fusion"",""latency_boundary"":""syndrome ready after last round to correction bit available, including PS-PL I/O"",""latency_statistic"":""measured mean on physical FPGA prototype"",""output_semantics"":""exact MWPM correction bit"",""precision"":""4-bit maximum edge-weight representation; compact per-vertex/per-edge state""}","{""clock_mhz"":""S11 resource-usage Table, d=13"",""decoder_core_ns"":""S11 evaluation Sec. 9.2 boundary includes PS-PL I/O"",""lut_count"":""S11 resource-usage Table, d=13"",""reported_latency_ns"":""S11 abstract and evaluation Sec. 9.2, d=13 p=0.1% mean 0.8 us""}"
gnn_d7_max_latency,S12_GNN_ACCELERATOR,T6.19.2_CUTOFF_REFRESH,Direct NN / GNN accelerator,rotated surface code,d=7; input graph capped at N=30 nodes,"pruned quantized two-GraphConv GNN, max-latency profile",bounded syndrome graph after input-graph filtering,logical correction class,circuit-level p=0.1%,AMD/Xilinx Alveo U250 xcu250-figd2104-2L-e,"VHDL FPGA synthesis, Vivado 2023.1","W14(4.10), output 17(12.5), bias 5(1.4), accumulator 27(12.15)",one bounded graph inference through all GNN layers,synthesis cycle count at N=30 worst supported graph size,FPGA_SYNTHESIS_ESTIMATE_NOT_BOARD_MEASURED,False,False,,NO_PUBLIC_RTL_IDENTIFIED_AT_CUTOFF,988.8,988.8,,,,,208.33333333333334,206,,,,72.96,,11.5,,60.96,,66.67,,,,True,False,"[""input-graph filtering discards graphs above N=30 and is part of the task definition"",""synthesis result is not a QPU or physical-board closed loop"",""max-latency and average-latency profiles are different models and must not be merged""]","{""code_family"":""rotated surface code"",""device_class"":""AMD/Xilinx Alveo U250 xcu250-figd2104-2L-e"",""distance_or_window"":""d=7; input graph capped at N=30 nodes"",""hardware_evidence"":""FPGA_SYNTHESIS_ESTIMATE_NOT_BOARD_MEASURED"",""input_semantics"":""bounded syndrome graph after input-graph filtering"",""latency_boundary"":""one bounded graph inference through all GNN layers"",""latency_statistic"":""synthesis cycle count at N=30 worst supported graph size"",""output_semantics"":""logical correction class"",""precision"":""W14(4.10), output 17(12.5), bias 5(1.4), accumulator 27(12.15)""}","{""bram_percent"":""S12 synthesis Table profile A"",""clock_mhz"":""S12 Table cycles t_clk=4.8 ns, converted"",""decoder_core_ns"":""S12 Table cycles"",""dsp_percent"":""S12 synthesis Table profile A"",""ff_percent"":""S12 synthesis Table profile A"",""latency_cycles"":""S12 Table cycles"",""lut_percent"":""S12 synthesis Table profile A"",""reported_latency_ns"":""S12 Table cycles, total 206 cycles and 988.8 ns""}"
