claim_id,state,reason
V5-ALG-LER-10PCT,REVOKED,strict-causal development headroom is below 10%
V5-TAIL-CALIBRATION-TELEGRAPH,NOT_RUN_EARLY_STOP,no V5 candidate entered pilot/formal
V5-POSTERIOR-MIXTURE-ACTION,REVOKED,incremental action-space upper bound is below 12%
V5-UNTOUCHED-FORMAL,NOT_RUN_EARLY_STOP,formal manifest and outputs intentionally absent
V5-QUANTIZED-RETENTION,NOT_RUN_EARLY_STOP,no eligible V5 action to quantize
V5-LONG-CXXRTL,NOT_RUN_EARLY_STOP,V4 replay cannot substitute for V5 qualification
V5-FORMAL-ATOMIC-SAFETY,NOT_RUN_EARLY_STOP,no V5 RTL/profile exists
V5-MULTISEED-PR,NOT_RUN_EARLY_STOP,no V5 RTL/profile exists
V5-MEASURED-HARDWARE,BLOCKED,T6.9.2 still has 42 null measured fields
PHASE6C-READONLY-AUX,ALLOWED_AFTER_THIS_GATE,secondary lanes cannot modify or rescue Phase 6B
