record_type,record_id,category,normalized_category,lane_id,source_id,field,value,uncertainty,unit,denominator,statistic,evidence_grade,source_locator,ranking_eligible,verdict,notes
metric,noh_ci_cnot:cnot_failure_9db,CI,standard_binning,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.101,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 9 dB,LITERATURE_ONLY,NOH2022 Table I / local line 970,True,,
metric,noh_ci_cnot:cnot_failure_12db,CI,standard_binning,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.00869,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 12 dB,LITERATURE_ONLY,NOH2022 Table I / local line 970,True,,
metric,noh_ci_cnot:cnot_failure_13db,CI,standard_binning,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.0026,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 13 dB,LITERATURE_ONLY,NOH2022 Table I / local line 970,True,,
latency,noh_ci_cnot:latency,CI,standard_binning,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,latency,"{""boundary"":""not reported for an implementation"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":null,""source_to_action_ns"":null,""statistic"":""not reported""}",,,,not reported,LITERATURE_ONLY,,False,,Gate-level surface-GKP evidence; not the project's repeated single-mode memory task.
resources,noh_ci_cnot:resources,CI,standard_binning,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,Gate-level surface-GKP evidence; not the project's repeated single-mode memory task.
metric,noh_ml_cnot_and_outer:cnot_failure_9db,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.0689,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 9 dB,LITERATURE_ONLY,NOH2022 Table I / local line 971,True,,
metric,noh_ml_cnot_and_outer:cnot_failure_12db,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.00361,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 12 dB,LITERATURE_ONLY,NOH2022 Table I / local line 971,True,,
metric,noh_ml_cnot_and_outer:cnot_failure_13db,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,CNOT failure probability,0.000853,,probability,one error-corrected CNOT between two square-lattice GKP qubits,reported Monte Carlo point at 13 dB,LITERATURE_ONLY,NOH2022 Table I / local line 971,True,,
metric,noh_ml_cnot_and_outer:surface_gkp_threshold_db,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,surface-GKP squeezing threshold,9.9,,dB,concatenated surface-GKP code under finite-squeezing-only noise and the paper decoder,"finite-size crossing, distances 3 through 13",LITERATURE_ONLY,NOH2022 Fig. 6 / local lines 1125-1289,False,,outer-code finite-size threshold is not the gate-level or single-mode project metric
latency,noh_ml_cnot_and_outer:latency,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,latency,"{""boundary"":""not reported for an implementation"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":null,""source_to_action_ns"":null,""statistic"":""not reported""}",,,,not reported,LITERATURE_ONLY,,False,,The 9.9 dB outer-code threshold and Table-I two-qubit gate failures are separate decision objects.
resources,noh_ml_cnot_and_outer:resources,ML/MAP,analog_maximum_likelihood,surface_gkp_gate_outer_code,NOH2022_SURFACE_GKP,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,The 9.9 dB outer-code threshold and Table-I two-qubit gate failures are separate decision objects.
metric,wang_direct_nn_surface_gkp:threshold_perfect_measurement,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,noise standard-deviation threshold,0.78,,paper_sigma,paper surface-GKP family with noise-free GKP measurements,reported finite-size threshold,LITERATURE_ONLY,WANG2022 abstract / local lines 38-40,True,,
metric,wang_direct_nn_surface_gkp:mwpm_threshold_perfect_measurement,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,MWPM comparator noise threshold,0.5,,paper_sigma,same paper surface-GKP family with noise-free GKP measurements,reported finite-size comparator threshold,LITERATURE_ONLY,WANG2022 Fig. 4 / local lines 433-460,True,,
metric,wang_direct_nn_surface_gkp:threshold_noisy_measurement,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,noise standard-deviation threshold,0.34,,paper_sigma,paper surface-GKP family with noisy GKP measurements,reported finite-size threshold,LITERATURE_ONLY,WANG2022 abstract / local lines 38-40,True,,
metric,wang_direct_nn_surface_gkp:mwpm_threshold_noisy_measurement,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,MWPM comparator noise threshold,0.25,,paper_sigma,same paper surface-GKP family with noisy GKP measurements,reported finite-size comparator threshold,LITERATURE_ONLY,WANG2022 Fig. 4 / local lines 433-466,True,,
metric,wang_direct_nn_surface_gkp:decoding_rate_improvement,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,decoding rate improvement,,,,,paper prose says 50% but does not define a normalized denominator suitable for this registry,INELIGIBLE,WANG2022 local lines 451-453,False,,undefined metric/denominator
latency,wang_direct_nn_surface_gkp:latency,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,latency,"{""boundary"":""not reported"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":null,""source_to_action_ns"":null,""statistic"":""not reported""}",,,,not reported,LITERATURE_ONLY,,False,,"Direct decoder, not reinforcement learning; data on request and no exact public code."
resources,wang_direct_nn_surface_gkp:resources,Direct NN/RL,direct_neural_decoder,surface_gkp_gate_outer_code,WANG2022_DIRECT_NN,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,"Direct decoder, not reinforcement learning; data on request and no exact public code."
method,overwater_fpga_nn_d5,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,OVERWATER2022_FPGA_NN,method_contract,,,,,,,,False,,Different code/input/action and an estimate rather than a GKP/QPU closed loop.
latency,overwater_fpga_nn_d5:latency,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,OVERWATER2022_FPGA_NN,latency,"{""boundary"":""post-implementation combinational decoder delay"",""closed_loop_ns"":null,""core_ns"":87.6,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""T6.8.6 row overwater_nn_d5 / paper Table IV"",""source_to_action_ns"":null,""statistic"":""post-implementation estimate""}",,,,post-implementation estimate,LITERATURE_ONLY,T6.8.6 row overwater_nn_d5 / paper Table IV,False,,Different code/input/action and an estimate rather than a GKP/QPU closed loop.
resources,overwater_fpga_nn_d5:resources,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,OVERWATER2022_FPGA_NN,resources,"{""bram"":null,""device"":""AMD/Xilinx Artix-7"",""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":44670,""power_w"":0.132,""precision"":""4-bit signed fixed point"",""source_locator"":""T6.8.6 row overwater_nn_d5 / paper Table IV""}",,,,,LITERATURE_ONLY,T6.8.6 row overwater_nn_d5 / paper Table IV,False,,Different code/input/action and an estimate rather than a GKP/QPU closed loop.
method,yang_fpga_nn_d3,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,YANG2026_FPGA_NN,method_contract,,,,,,,,False,,"Real-QPU surface-code closed loop, but different code/task and project lacks board measurement."
latency,yang_fpga_nn_d3:latency,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,YANG2026_FPGA_NN,latency,"{""boundary"":""core input-to-output; separately end-of-readout to start-of-feedback"",""closed_loop_ns"":550.0,""core_ns"":124.0,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":31,""source_locator"":""YANG2026 abstract, Fig. 1, Methods Table I / local lines 45-46, 137-139, 760"",""source_to_action_ns"":550.0,""statistic"":""deterministic at 250 MHz""}",,,,deterministic at 250 MHz,LITERATURE_ONLY,"YANG2026 abstract, Fig. 1, Methods Table I / local lines 45-46, 137-139, 760",False,,"Real-QPU surface-code closed loop, but different code/task and project lacks board measurement."
resources,yang_fpga_nn_d3:resources,Direct NN/RL,direct_neural_decoder_fpga,fpga_implementation,YANG2026_FPGA_NN,resources,"{""bram"":null,""device"":""AMD/Xilinx XC7K410T"",""dsp"":399.0,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":""6-bit integer weights"",""source_locator"":""YANG2026 supplement Section II.D/Table S2; T6.8.6 normalized row""}",,,,,LITERATURE_ONLY,YANG2026 supplement Section II.D/Table S2; T6.8.6 normalized row,False,,"Real-QPU surface-code closed loop, but different code/task and project lacks board measurement."
metric,sivak2023_rl_controller:break_even_gain,Direct NN/RL,offline_experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2023_RL_GKP,coherence gain beyond best passive encoding,2.27,0.07,ratio,"best passive {0,1} encoding decay rate divided by stabilized GKP decay rate",reported experimental fit,LITERATURE_ONLY,SIVAK2023 abstract/main text / local lines 11 and 119,False,,"controller/system lifetime metric, not decoder LER"
metric,sivak2023_rl_controller:training_epoch_seconds,Direct NN/RL,offline_experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2023_RL_GKP,training epoch wall time,16.0,,s,10 candidates times 300 episodes plus compilation/reinitialization,approximate reported epoch time,LITERATURE_ONLY,SIVAK2023 supplement / local line 179,False,,"offline optimization wall time, not inference latency"
latency,sivak2023_rl_controller:latency,Direct NN/RL,offline_experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2023_RL_GKP,latency,"{""boundary"":""per-round decoder response not applicable/reported"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""SIVAK2023 supplement / local line 179"",""source_to_action_ns"":null,""statistic"":""N/A; 16 s is optimization epoch wall time""}",,,,N/A; 16 s is optimization epoch wall time,LITERATURE_ONLY,SIVAK2023 supplement / local line 179,False,,"Relevant controller benchmark, but it does not establish direct NN/RL decoder latency."
resources,sivak2023_rl_controller:resources,Direct NN/RL,offline_experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2023_RL_GKP,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,"Relevant controller benchmark, but it does not establish direct NN/RL decoder latency."
metric,sivak2026_rl_drift:control_only_ler_reduction,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,LER reduction under injected drift,0.24,,fraction,control-only injected-drift experiment relative to its fixed-control baseline,reported aggregate reduction,LITERATURE_ONLY,SIVAK2026 main article injected-drift result,False,,different code/system and control privilege
metric,sivak2026_rl_drift:control_only_ler_stability,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,LER stability improvement under injected drift,2.4,,ratio,control-only injected-drift experiment relative to its fixed-control baseline,reported stability factor,LITERATURE_ONLY,SIVAK2026 main article injected-drift result,False,,different code/system and control privilege
metric,sivak2026_rl_drift:control_decoder_ler_reduction,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,LER reduction under injected drift,0.31,,fraction,control plus decoder-steering experiment relative to its fixed baseline,reported aggregate reduction,LITERATURE_ONLY,SIVAK2026 main article injected-drift result,False,,different code/system and additional LER-estimation privilege
metric,sivak2026_rl_drift:control_decoder_ler_stability,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,LER stability improvement under injected drift,3.5,,ratio,control plus decoder-steering injected-drift experiment relative to its fixed baseline,reported stability factor,LITERATURE_ONLY,SIVAK2026 main article injected-drift result,False,,different code/system and additional LER-estimation privilege
metric,sivak2026_rl_drift:calibrated_finetune_ler_reduction,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,LER reduction from fine-tuning a calibrated processor,0.2,,fraction,separate well-calibrated-processor fine-tuning experiment relative to its initial baseline,reported additional suppression,LITERATURE_ONLY,SIVAK2026 main article fine-tuning result,False,,distinct experiment; not additive to injected-drift reductions
metric,sivak2026_rl_drift:recovery_epochs,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,adaptation recovery lag,130.0,,epochs,reported injected-drift recovery in training epochs,approximate response,LITERATURE_ONLY,SIVAK2026 main article injected-drift result,False,,epochs are not decoder microseconds
latency,sivak2026_rl_drift:latency,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,latency,"{""boundary"":""decoder inference latency not reported"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""SIVAK2026 primary article"",""source_to_action_ns"":null,""statistic"":""adaptation is reported in epochs, not nanoseconds""}",,,,"adaptation is reported in epochs, not nanoseconds",LITERATURE_ONLY,SIVAK2026 primary article,False,,"Useful drift-adaptation context only after matching code, observability, budget and wall-clock."
resources,sivak2026_rl_drift:resources,Direct NN/RL,experiment_in_the_loop_rl_controller,controller_rl_nmf,SIVAK2026_RL_DRIFT,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,"Useful drift-adaptation context only after matching code, observability, budget and wall-clock."
metric,puviani_nmf_controller:low_noise_tz_standard_cycles,Direct NN/RL,model_based_feedback_grape_recurrent_controller,controller_rl_nmf,PUVIANI2025_NMF,logical Z lifetime,700.0,,full_cycles,paper low-noise standard-strategy fitted T_Z,figure anchor,LITERATURE_ONLY,PUVIANI2025 Fig. 3 / T6.8.4 published_numeric_anchors,False,,paper-exact reproduction blocked by incomplete official artifacts
metric,puviani_nmf_controller:low_noise_tz_nmf_cycles,Direct NN/RL,model_based_feedback_grape_recurrent_controller,controller_rl_nmf,PUVIANI2025_NMF,logical Z lifetime,1500.0,,full_cycles,paper low-noise NMF fitted T_Z,figure anchor,LITERATURE_ONLY,PUVIANI2025 Fig. 3 / T6.8.4 published_numeric_anchors,False,,paper-exact reproduction blocked by incomplete official artifacts
latency,puviani_nmf_controller:latency,Direct NN/RL,model_based_feedback_grape_recurrent_controller,controller_rl_nmf,PUVIANI2025_NMF,latency,"{""boundary"":""inference implementation latency not reported"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":null,""source_to_action_ns"":null,""statistic"":""not reported""}",,,,not reported,LITERATURE_ONLY,,False,,"NMF is model-based Feedback-GRAPE control, not direct decoder or model-free RL; exact matched comparison remains ineligible."
resources,puviani_nmf_controller:resources,Direct NN/RL,model_based_feedback_grape_recurrent_controller,controller_rl_nmf,PUVIANI2025_NMF,resources,"{""bram"":null,""device"":""GPU used for training in paper"",""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":""PUVIANI2025 supplement Feedback-GRAPE section""}",,,,,LITERATURE_ONLY,PUVIANI2025 supplement Feedback-GRAPE section,False,,"NMF is model-based Feedback-GRAPE control, not direct decoder or model-free RL; exact matched comparison remains ineligible."
metric,lachance_aqec_experiment:method_a_gain,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,optimized QEC lifetime gain over GKP free evolution,1.14,0.18,ratio,Method-A optimized logical lifetime divided by matched GKP free-evolution lifetime,reported experimental ratio,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
metric,lachance_aqec_experiment:method_b_gain,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,optimized QEC lifetime gain over GKP free evolution,1.14,0.16,ratio,Method-B optimized logical lifetime divided by matched GKP free-evolution lifetime,reported experimental ratio,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
metric,lachance_aqec_experiment:method_a_free_lifetime_ms,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,GKP free-evolution lifetime,0.182,0.014,ms,Method-A matched experimental free-evolution logical decay fit,reported fit,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
metric,lachance_aqec_experiment:method_b_free_lifetime_ms,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,GKP free-evolution lifetime,0.196,0.011,ms,Method-B matched experimental free-evolution logical decay fit,reported fit,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
metric,lachance_aqec_experiment:method_a_lifetime_ms,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,optimized logical lifetime,0.208,0.017,ms,Method-A experimental logical decay fit,reported fit,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
metric,lachance_aqec_experiment:method_b_lifetime_ms,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,optimized logical lifetime,0.224,0.019,ms,Method-B experimental logical decay fit,reported fit,LITERATURE_ONLY,AQEC2024 Supplement Tables SIV-SV,True,,
latency,lachance_aqec_experiment:latency,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,latency,"{""boundary"":""classical decoder response is not applicable; physical pulses and reset have finite duration"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""AQEC2024 protocol and supplement"",""source_to_action_ns"":null,""statistic"":""N/A, not zero""}",,,,"N/A, not zero",LITERATURE_ONLY,AQEC2024 protocol and supplement,False,,"May be compared only in a common wall-clock physical-protocol lane, never as a zero-latency decoder."
