row_id,response_state,topic,claim,boundary,source_ids_json,row_sha256
HW-R01,REVIEWER_CONCERN,comment_origin,"The question is a pre-emptive reviewer risk, not a supplied verbatim report.",Keep reviewer identity and verbatim wording as a visible placeholder.,"[""task_board""]",fb03b680743ba2249eb6030e25e8f2d2a6987bad8e36e029cf0f1c2a499cf84c
HW-R02,TERM_BOUNDARY,direct_concession,"Without a QPU or physical board, the paper is not an experimental GKP-QEC demonstration.",Use experiment-informed or experiment-facing only when the exact evidence level is stated.,"[""manuscript"",""board_blocker""]",d26ff3da906c3c81f273cae25dbc8541eab3668d7064b78798d8b77f69efafd3
HW-R03,LITERATURE_FACT,atlas_literature,The auxiliary atlas contains literature-reported values and explicit not-reported cells.,"Literature values are contextual facts, not project measurements or reproductions.","[""atlas""]",4facee1a00f51d7ed5e252d9d3312305b3f33e0fda2d9e5677d0dcbb26db7ae9
HW-R04,LITERATURE_FACT,aqec_physical_result,AQEC lifetime values are paper-reported physical-system results.,The project-native finite-cutoff replay neither reproduces nor refutes the physical apparatus.,"[""aqec""]",6f5018b7b56ec51d65a09a0e8f052d147d6478ff47d81dc14fc58c736d594bc6
HW-R05,OFFICIAL_CODE_REPRODUCTION,official_cpd,Two official-code CPD/analog-MWPM threshold cells were reproduced in their own surface-lattice task signature.,"Official-code execution is still numerical reproduction, not device evidence.","[""atlas""]",0d0faae0c19fce75695b2d740a5f49d7748235d7b5572ac491a782e9e40faeb2
HW-R06,PROJECT_NATIVE_SIMULATION,aqec_replay,The AQEC lane executes 432 exact finite-cutoff channels across 144 paired seed clusters and preserves a negative result.,"It is nominal-control project-native simulation, not a paper-native reservoir or quantum experiment.","[""aqec""]",8f1a6161a95b3cf41898c4d46be7370a64b1c6faa3acbd9069e702273c145c28
HW-R07,PROJECT_NATIVE_SIMULATION,multimode_decoder,The multimode lane is a project-native causal decoder simulation whose strongest-static headroom is zero.,Logical-error simulation does not establish physical lifetime or experimental break-even.,"[""headroom"",""final_gate""]",8a175e05cb1326849d17e802647e8c9c51525a32c7eb0c3ac700200dd855806a
HW-R08,MOCK_SOFTWARE_HIL,legacy_hil,A software HIL orchestrator and mock FPGA backend exist.,The P4 wrapper inherits the mock backend; software HIL is not real-board HIL.,"[""hil_audit""]",6bcd69c3ab5a6d20716370a9017870f6f4598c4508ac48bf422b277535e178cd
HW-R09,MOCK_SOFTWARE_HIL,board_backend,The legacy real-board backend remains a placeholder with incomplete device event semantics.,Configuration names and readiness documents cannot upgrade it to physical validation.,"[""hil_audit"",""board_blocker""]",dd537e84eba5b94de0f163ad20943f34b664caa0eef16ffa813f5d11fcacfffd
HW-R10,PREBOARD_RTL,formal,The exact single-mode production top passes 17 formal gates and kills 21 targeted mutants.,"Formal proof establishes bounded digital properties, not board timing, power or QPU behavior.","[""formal""]",47c7feb2f5f9c3fef04968468548655fbdccf0d908aec30d40a191514dfccf53
HW-R11,PREBOARD_RTL,long_sequence,"The same exact top passes a ten-family one-million-cycle CXXRTL replay with zero mismatch, undefined action and silent overflow.","CXXRTL is executable RTL simulation, not FPGA or quantum-hardware measurement.","[""long_rtl""]",531a84f738bca5660f9b5218319efc68421a0daebe83287fa425c5cf46bbafe4
HW-R12,PREBOARD_RTL,place_route,Three open-source place-and-route seeds meet the 27-MHz contract with whole-harness Fmax 36.794--37.869 MHz.,"Resources, Fmax and analytic power remain pre-board estimates and the observability wrapper may dominate timing.","[""hardware""]",67b2fb974dde1d42a3ecc16f4bfac7b6c24c4d0ba6496adefb14fd996cc3d66d
HW-R13,PREBOARD_RTL,bitstream_candidate,A historical UART-wrapper bitstream candidate and post-route estimate exist.,It was never programmed or measured and is not the current exact-top physical qualification.,"[""preboard""]",4b25781f314379b6468213fb94f85bf9851321c608dbda4f1dc9b49514fb5a8e
HW-R14,PHYSICAL_BOARD,all_null,The dedicated physical-board gate is blocked and every measured field is null.,"No board correctness, latency, jitter, deadline-miss, resource or power claim is available.","[""board_blocker""]",30deec122b23786722d20fea9ee5f553960688a8dbced5b1ef4d1e3f24e2f609
HW-R15,QUANTUM_HARDWARE,qpu_absent,"No cavity/transmon control chain, physical GKP syndrome dataset or active-displacement experiment is part of the current paper.",The optional Phase 8 tasks remain Todo and cannot be anticipated as results.,"[""task_board"",""experiment_plan""]",55a0a98fc736b6e76268f5eb7726f3bc4b7d137057d6e4c2897829a4799bc353
HW-R16,NONTRANSFER,aqec_sivak,AQEC and Sivak physical lifetime/break-even evidence remains literature evidence owned by those systems.,"It cannot be transferred to the project simulator, decoder, RTL or FPGA board.","[""aqec"",""manuscript""]",9f0856e2370696c513ffce68f1907a298e598809db7acdc750d3d42f01029cba
HW-R17,NONTRANSFER,rtl_to_qpu,"Deterministic, atomic and fail-closed RTL properties do not prove GKP physical correction.",The hardware contribution is a digital architecture qualification only.,"[""formal"",""hardware"",""final_gate""]",4797dfd1463529a5d10110a9fd8061bd7a3d9f4cd03ca0a25ad16732a23b575c
HW-R18,MANUSCRIPT_CHANGE,title_abstract,The canonical title and abstract avoid experimental-GKP wording and disclose pre-board/null boundaries.,Do not reintroduce device-demonstration language during venue adaptation.,"[""manuscript"",""manuscript_contract""]",31998dd23001bb6eb206abe85401b6cec59ac0b40480082dad486631ee292f71
HW-R19,MANUSCRIPT_CHANGE,methods_results,"Methods and Results label numerical simulation, CXXRTL, formal proof and P&R separately.",No umbrella experimental label may collapse those modalities.,"[""manuscript""]",1264250d410cf98eb2338be502232d4cfb26225f5d5698e7133e6c2193bc0e25
HW-R20,FUTURE_PROMOTION,board_promotion,"Physical FPGA promotion requires non-null board identity, bitstream, cycles, errors, latency/jitter/deadline and power evidence.",P&R estimates or mock HIL cannot fill missing measured fields.,"[""board_blocker"",""experiment_plan""]",370f2588791723643895d9433e7bb58c9b736ddafcd4a21ef9eda2e04f962502
HW-R21,FUTURE_PROMOTION,qpu_promotion,"Quantum-hardware promotion requires licensed real syndrome data first, then offline decoding, shadow/frame update and authorized feedback.","No real-data metric may be claimed before metadata, labels/tomography and permissions are established.","[""task_board"",""experiment_plan""]",b95cdf0fb39b2d10edf88602e95af2042cbb2b4b4764e1eddd587e45f0fa8d08
HW-R22,RESPONSE_WORDING,legitimate_contribution,"The current contribution is experiment-facing because its interfaces, faults and deadlines are designed for future control-chain integration.","Experiment-facing describes engineering relevance, not completion of an experiment.","[""manuscript"",""formal"",""long_rtl""]",337a7995ef858a01adb7a42630f52c7f56bf99571ca044466f14c4f5dc24e277
HW-R23,RISK_DISCLOSURE,remaining_gap,External validity to a physical GKP platform remains unresolved.,"The gap is a limitation and optional Phase 8 route, not a hidden positive result.","[""task_board"",""new_risks""]",5ea470d335843309a36af911cd799dc22d971db0b074cc29234da244e429178d
HW-R24,RESPONSE_WORDING,submission_readiness,The scientific answer is complete as a pre-emptive evidence-boundary response.,The package remains draft_with_placeholders until actual reviewer wording is supplied.,"[""task_board""]",c5ee76f7cb88d834d57df13e2fd2c236b983793a18cbe8d72558cb6f07a75e36
