record_type,record_id,lane_id,payload_json,canonical_sha256
lane,MULTIMODE_SOFTWARE_ALGORITHM,MULTIMODE_SOFTWARE_ALGORITHM,"{""action"":""logical-coset decision per correction round"",""code_family"":""surface_square_gkp_multimode"",""deployment_status"":""SOFTWARE_ONLY_NOT_CURRENT_RTL"",""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""observable"":""current analog syndrome plus causal observed-only prefix"",""precision"":""float64 reference plus preregistered approximate precision"",""primary_gate_ids"":[""T6.24.5""],""primary_metrics"":[""per_round_p_L""],""prohibited_claims"":[""current RTL implements multimode logical-coset MLD"",""single-mode six-cycle latency applies to this decoder"",""universal or device-level SOTA""],""required_evidence"":[""OFFICIAL_CODE_REPRODUCTION"",""UNTOUCHED_FORMAL_SIMULATION""],""role"":""PRIMARY_EVIDENCE_LANE"",""secondary_metrics"":[""p_X"",""p_Y"",""p_Z"",""worst_window_LER"",""CVaR95_window_LER"",""adaptation_lag"",""calibration"",""runtime"",""peak_memory"",""deadline_miss""],""task_signature"":{""code_family"":""surface_square_gkp_multimode"",""compute_budget"":""matched_cpu_core_memory_update_deadline"",""decision_target"":""logical_coset"",""evidence_level"":""untouched_project_native_formal"",""history_horizon"":""prefix_through_current_round_no_future_suffix"",""input_semantics"":""current_analog_syndrome_and_causal_prefix"",""modes_or_distance"":""surface_distance_d3_d5"",""noise_model"":""phase6d_frozen_multimode_suite"",""observability"":""observed_only"",""online_privilege"":""causal_budgeted"",""output_action"":""logical_coset_action"",""precision"":""float64_reference_plus_frozen_approximation"",""time_basis"":""per_round_software_source_to_decision""},""timing_boundaries"":[""software_source_to_decision"",""software_update_compute""]}",dc15c0b2962d8034b6a2353007beab40e9371a187aeceb51377b0bf766ec8db2
lane,SINGLE_MODE_DETERMINISTIC_RTL,SINGLE_MODE_DETERMINISTIC_RTL,"{""action"":""bounded frame/event action with version and reason code"",""code_family"":""single_mode_square_gkp_production_fast_path"",""deployment_status"":""ACTUAL_SINGLE_MODE_RTL_PREBOARD"",""frozen_fast_path"":{""bank_semantics"":""atomic_old_or_new"",""failure_semantics"":""fail_closed_reason_coded_action"",""initiation_interval_cycles"":1,""integrity"":[""CRC"",""version"",""CAS"",""LKG_rollback""],""latency_cycles"":6},""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""observable"":""58-bit fixed-point syndrome/event/health input word"",""precision"":""production RTL fixed-point formats and saturating arithmetic"",""primary_gate_ids"":[""T6.25.4""],""primary_metrics"":[""latency_cycles"",""initiation_interval_cycles"",""atomic_old_or_new"",""fail_closed_property""],""prohibited_claims"":[""multimode decoder latency"",""board-measured latency or power before physical evidence"",""LER SOTA inferred from deterministic timing""],""required_evidence"":[""FIXED_POINT_INTEGER_REFERENCE"",""CXXRTL_PREBOARD"",""RTL_PROPERTY_PROOF"",""POST_ROUTE_ESTIMATE""],""role"":""PRIMARY_EVIDENCE_LANE"",""secondary_metrics"":[""undefined_action_count"",""silent_overflow_count"",""LUT"",""FF"",""BRAM"",""DSP"",""post_route_fmax"",""estimated_power""],""task_signature"":{""code_family"":""single_mode_square_gkp_production_fast_path"",""compute_budget"":""six_cycle_ii1_fixed_hardware_budget"",""decision_target"":""bounded_fast_path_action"",""evidence_level"":""cxxrtl_property_postroute_preboard"",""history_horizon"":""bounded_local_fsm_and_versioned_bank_state"",""input_semantics"":""t5_5_1_58_bit_fixed_point_wire_word"",""modes_or_distance"":""one_oscillator_two_quadrature_phases"",""noise_model"":""digital_replay_and_fault_injection"",""observability"":""wire_observed_only"",""online_privilege"":""local_fail_closed_no_hidden_truth"",""output_action"":""t5_5_1_fast_output_word"",""precision"":""production_rtl_fixed_point"",""time_basis"":""input_accept_to_action_valid_cycles""},""timing_boundaries"":[""rtl_input_accept_to_action_valid"",""rtl_initiation_interval""]}",7ac14df086f9e725f541aa37c3893cc025e9e9de1724711a8e41a909c537be5e
lane,LEARNED_APPROXIMATION_EXTENSION,LEARNED_APPROXIMATION_EXTENSION,"{""action"":""posterior/LLR/coset-probability/action approximation"",""code_family"":""replaceable_cnn_or_student_approximation"",""depends_on_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""deployment_status"":""OPTIONAL_NOT_AN_INDEPENDENT_PRIMARY_LANE"",""failure_disposition"":""DROPPED_TO_ABLATION"",""lane_id"":""LEARNED_APPROXIMATION_EXTENSION"",""observable"":""exactly the parent algorithm observed-only inputs"",""precision"":""frozen matched-budget floating or quantized student"",""primary_gate_ids"":[],""primary_metrics"":[],""prohibited_claims"":[""independent algorithm SOTA"",""replacement for exact decoder formal gate"",""RTL safety or latency without actual RTL integration proof""],""promotion_task"":""T6.26.2"",""required_evidence"":[""UNTOUCHED_FORMAL_SIMULATION""],""role"":""OPTIONAL_DEPENDENT_EXTENSION"",""secondary_metrics"":[""posterior_calibration"",""action_agreement"",""LER_retention"",""worst_family_retention"",""runtime"",""memory"",""quantization_error""],""task_signature"":{""code_family"":""replaceable_cnn_or_student_approximation"",""compute_budget"":""matched_against_classical_approximation"",""decision_target"":""posterior_llr_coset_probability_or_action"",""evidence_level"":""dependent_retention_evidence_only"",""history_horizon"":""same_causal_parent_horizon"",""input_semantics"":""same_observed_only_parent_inputs"",""modes_or_distance"":""inherits_frozen_multimode_parent"",""noise_model"":""same_phase6d_frozen_multimode_suite"",""observability"":""observed_only_no_truth_teacher_at_inference"",""online_privilege"":""matched_budget_optional"",""output_action"":""approximation_target_plus_uncertainty"",""precision"":""frozen_float_or_quantized_student"",""time_basis"":""software_inference_boundary""},""timing_boundaries"":[""software_inference_only_unless_separately_integrated""]}",3eba1e6fc53c8cdfb8849760050d7072a7fde453473c38b202bbb858aea47de0
claim,C-MM-FROZEN-BENCHMARK-LER-SOTA,MULTIMODE_SOFTWARE_ALGORITHM,"{""claim_id"":""C-MM-FROZEN-BENCHMARK-LER-SOTA"",""forbidden_wording"":[""universal GKP SOTA"",""implemented by the current six-cycle RTL""],""lane_id"":""MULTIMODE_SOFTWARE_ALGORITHM"",""required_gate"":""T6.24.5"",""required_layers"":[""OFFICIAL_CODE_REPRODUCTION"",""UNTOUCHED_FORMAL_SIMULATION""],""safe_wording"":""On the frozen Phase-6D multimode benchmark, the proposed observed-only decoder passes the preregistered relative-LER gate against every eligible strongest deployable baseline."",""state"":""CONDITIONAL_FUTURE""}",cf42cd8c5781de89e649848af6159b78c32ca435f2d788fa00ce67308305742f
claim,C-RTL-HISTORICAL-PREBOARD-IMPLEMENTATION,SINGLE_MODE_DETERMINISTIC_RTL,"{""claim_id"":""C-RTL-HISTORICAL-PREBOARD-IMPLEMENTATION"",""forbidden_wording"":[""board measured"",""multimode decoder latency"",""formal proof complete""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""required_gate"":""T6.2.2+T6.19.1"",""required_layers"":[""FIXED_POINT_INTEGER_REFERENCE"",""CXXRTL_PREBOARD"",""POST_ROUTE_ESTIMATE""],""safe_wording"":""The existing single-mode production RTL has a six-cycle, II=1 pre-board implementation supported by bit-accurate/CXXRTL replay and post-route estimates; this historical evidence does not yet constitute the Phase-6D property qualification."",""state"":""CURRENT_RESTRICTED""}",473c459145a99475795de8c54c13c481b30bf0702203ab90d1313c82000406e7
claim,C-RTL-DETERMINISTIC-ATOMIC-FAIL-CLOSED,SINGLE_MODE_DETERMINISTIC_RTL,"{""claim_id"":""C-RTL-DETERMINISTIC-ATOMIC-FAIL-CLOSED"",""forbidden_wording"":[""board measured"",""multimode decoder latency"",""fastest FPGA decoder""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""required_gate"":""T6.25.4"",""required_layers"":[""CXXRTL_PREBOARD"",""RTL_PROPERTY_PROOF"",""POST_ROUTE_ESTIMATE""],""safe_wording"":""After T6.25.4 passes, the single-mode production RTL may be claimed to have a six-cycle, II=1 pre-board fast path with atomic versioned-bank and fail-closed properties under the stated CXXRTL/property/P&R boundary."",""state"":""CONDITIONAL_FUTURE""}",5ba127dac2dba60541694c234fb2cc724756c74764db3f3ab299e368522399b6
claim,C-ML-OPTIONAL-APPROXIMATION,LEARNED_APPROXIMATION_EXTENSION,"{""claim_id"":""C-ML-OPTIONAL-APPROXIMATION"",""forbidden_wording"":[""independent SOTA"",""proves RTL safety"",""reopens the formal candidate search""],""lane_id"":""LEARNED_APPROXIMATION_EXTENSION"",""required_gate"":""T6.26.2"",""required_layers"":[""UNTOUCHED_FORMAL_SIMULATION""],""safe_wording"":""A matched-budget learned student may be retained as a replaceable approximation when it preserves the frozen classical decoder result and provides a separately demonstrated cost benefit."",""state"":""OPTIONAL_FUTURE""}",a8190b28f77de2b4212bb78ab2f33a9d9b4820970da390978d5a901a677f93b0
claim,C-BOARD-MEASURED-PERFORMANCE,SINGLE_MODE_DETERMINISTIC_RTL,"{""claim_id"":""C-BOARD-MEASURED-PERFORMANCE"",""current_value"":null,""forbidden_wording"":[""measured latency"",""measured power"",""zero board deadline miss""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""required_gate"":""T6.9.2"",""required_layers"":[""BOARD_MEASURED""],""safe_wording"":""Board-measured latency, deadline, resource-power and transport results remain unavailable until the physical-board protocol is executed."",""state"":""BLOCKED_NULL""}",909a388b3479e8d6ae27b2278ef792528c8e3008205f357e19cc717036f09c1d
interface,IF-MM-POSTERIOR-TO-COSET-ACTION,,"{""deployment_implication"":""SOFTWARE_ONLY"",""interface_id"":""IF-MM-POSTERIOR-TO-COSET-ACTION"",""schema"":""phase6d_multimode_posterior_action_v1"",""sink"":""multimode exact/approximate logical-coset decoder"",""source"":""multimode observed-only posterior provider"",""status"":""PLANNED_SOFTWARE_INTERFACE""}",52075460bda6116f1439d4e6dfe6ad450c02bdfbd640a31a7603dcba09f45b7c
interface,IF-SLOW-PROPOSAL-TO-CANDIDATE-IMAGE,,"{""deployment_implication"":""CONTRACT_REUSE_ONLY_REQUIRES_SCHEMA_EQUIVALENCE"",""interface_id"":""IF-SLOW-PROPOSAL-TO-CANDIDATE-IMAGE"",""schema"":""complete_candidate_parameter_image_with_provenance"",""sink"":""schema-specific inactive-bank image adapter"",""source"":""host estimator or optional learned provider"",""status"":""CONTRACT_BRIDGE""}",ea1ba4789d9bf7b8ab35b2af3db4f3c174a7a557f69c4b01c0eef76b0211a208
interface,IF-CANDIDATE-IMAGE-TO-INACTIVE-BANK,,"{""deployment_implication"":""SINGLE_MODE_RTL_ONLY"",""interface_id"":""IF-CANDIDATE-IMAGE-TO-INACTIVE-BANK"",""schema"":""T4.3.2_CRC_SHA_CAS_AB_BANK"",""sink"":""inactive A/B bank"",""source"":""single-mode production image validator"",""status"":""CURRENT_SINGLE_MODE_PREBOARD""}",1b2eeaa74da1ae7a7e9e8ed388d88000382133643ddb90468d8d508f98496422
interface,IF-ATOMIC-COMMIT-TO-FAST-PATH,,"{""deployment_implication"":""SINGLE_MODE_RTL_ONLY"",""interface_id"":""IF-ATOMIC-COMMIT-TO-FAST-PATH"",""schema"":""old_or_new_versioned_parameter_view"",""sink"":""six-cycle II=1 event/action datapath"",""source"":""versioned active-bank commit"",""status"":""CURRENT_SINGLE_MODE_PREBOARD""}",aae8e8a009315b0f87a805c3c861403ed4a5c3d9de3f420eca2350c166f9d66f
