claim_id,opponent_class,state,strongest_supported_wording,required_evidence_json,current_result_json,remaining_gaps_json,revocation_conditions_json,evidence_json,paper_target
CONTRACT_SYSTEM_INTEGRATION,general_drift_adaptive,SUPPORTED_RESTRICTED,"Route-A is a contract-centric, regime-aware safety orchestration whose locked-EWMA smooth primary gate and one-million-cycle preboard fail-closed correctness gate pass; this is not a global LER, tail-improvement, or measured-hardware claim.","[""preregistered locked baseline"",""smooth paired CI"",""tail non-inferiority"",""one-million-cycle integer/CXXRTL trace""]","{""hmm_is_in_rtl"":false,""measured_board_latency"":false,""promotion_verdict"":""GO_ROUTE_A_CONTRACT_SYSTEM_RESTRICTED_SIMULATOR_AND_PREBOARD_CLAIMS"",""rtl_cycles"":1000000,""rtl_mismatches"":0,""silent_overflow"":0,""undefined_actions"":0}","[""HMM posterior remains in the software slow loop"",""T6.9.1 integrated P&R and T6.9.2 board evidence absent"",""broad tail improvement is not established""]","[""any frozen-contract hash drift"",""any nonzero RTL mismatch/undefined action/silent overflow"",""T6.9.3 final evidence NO-GO""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""source_data"":{""path"":""docs/t6_7_4_route_a_promotion_gate_source_data.csv"",""row_count"":24,""sha256"":""436766161867059f5d19afcff67ad9d15c8a193e3b4738567203b7379c75a9af""},""task_id"":""T6.7.4""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""scientific_results.smooth"",""scientific_results.tail"",""scientific_results.rtl"",""frozen_contract""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Main system claim; Table Route-A evidence gate and architecture figure
SMOOTH_LOCKED_EWMA_ADVANTAGE,general_drift_adaptive,SUPPORTED_PAIRED_OUTCOME,"On the preregistered smooth matrix, Route-A lowers aggregate paired LER relative to the locked EWMA baseline; only periodic drift is Holm-confirmed by family.","[""paired trace identity"",""95% cluster-bootstrap CI lower bound above zero"",""multiple-comparison family report""]","{""all_smooth_families_holm_confirmed"":false,""ewma_minus_route_a"":{""ci95_high"":2.454828332971639e-05,""ci95_low"":1.9002843786168966e-05,""contrast"":""ewma_adaptive_map_LER_minus_proposed_route_a_LER"",""estimate"":2.1687260380497668e-05,""one_sided_p_nonpositive"":4.999750012499375e-05,""passes_95_lcb_strictly_greater_than_zero"":true},""holm_confirmed_families"":[""periodic_drift""]}","[""not an advantage over static joint MAP or Window MAP"",""only one smooth family is Holm-confirmed"",""no physical-board result""]","[""paired CI lower bound becomes non-positive under the frozen analysis"",""seed/config/source hash mismatch"",""wording expands beyond locked EWMA aggregate""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""source_data"":{""path"":""docs/t6_7_4_route_a_promotion_gate_source_data.csv"",""row_count"":24,""sha256"":""436766161867059f5d19afcff67ad9d15c8a193e3b4738567203b7379c75a9af""},""task_id"":""T6.7.4""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""scientific_results.smooth.primary_contrast"",""scientific_results.smooth.holm_confirmed_families""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Primary smooth-drift panel with paired CI
STATIC_GKP_SUPERIORITY,static_gkp,FALSIFIED,No static-GKP superiority claim is supported: static joint MAP has lower average LER than Route-A on the frozen same-model smooth matrix.,"[""same physical/statistical model"",""same traces and decisions"",""paired CI"",""average and tail metrics""]","{""route_a_average_ler"":0.000992739642107928,""route_a_worst_window_ler"":0.115234375,""static_average_ler"":0.0009681913587782118,""static_minus_route_a"":{""bootstrap_seed"":202607176999,""ci95_high"":-9.112887912326431e-06,""ci95_low"":-3.9595144766348346e-05,""cluster"":""formal seed"",""clusters"":24,""contrast"":""static_full_MAP_LER_minus_Route_A_LER"",""estimate"":-2.4548283329716452e-05,""one_sided_p_nonpositive"":0.9990000499975001,""replicates"":20000,""route_a_superiority_passes_lcb_gt_zero"":false},""static_worst_window_ler"":0.03125}","[""requires a new method, not narrative relabeling"",""must retain current negative result in the main comparison""]","[""never promote without a new preregistered same-model paired experiment whose improvement CI excludes zero"",""any omission of static/Window rows invalidates the claim table""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""source_data"":{""path"":""docs/t6_7_4_route_a_promotion_gate_source_data.csv"",""row_count"":24,""sha256"":""436766161867059f5d19afcff67ad9d15c8a193e3b4738567203b7379c75a9af""},""task_id"":""T6.7.4""},{""report"":{""bytes"":23111,""path"":""docs/t6_8_1_static_gkp_same_model_lane.json"",""sha256"":""d44912c3dc64e7ca13feb430b35c83e0dbd43817f4eb34c44e28b06f6ee55e81""},""source_data"":{""path"":""docs/t6_8_1_static_gkp_same_model_lane_source_data.csv"",""row_count"":68,""sha256"":""885986a8cb583eff52cbaeec4a8426f461bc7f80055ea12d7ec57ffe77ff6404""},""task_id"":""T6.8.1""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""paired_static_contrast"",""method_table""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Main comparison table as explicit negative result
STATIC_K4_HARD_ACTION_EQUIVALENCE,static_gkp,SUPPORTED_PREBOARD_NARROW,"For the frozen covariance/prior and complete 10-bit syndrome domain, top-K=4 and full static MAP produce identical hard actions; retained-bit and serial-cost reductions are preboard proxies.","[""complete finite input-domain enumeration"",""zero hard-action disagreement"",""soft-error bounds"",""synthesis/board confirmation before hardware claims""]","{""domain_points"":1048576,""hard_action_disagreements"":0,""retained_bits_full"":3200,""retained_bits_k4"":512}","[""model-specific frozen covariance/prior only"",""no integrated P&R or measured resource/latency result""]","[""any nonzero disagreement on the declared domain"",""changed covariance/prior without re-enumeration"",""proxy presented as measured hardware""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":23111,""path"":""docs/t6_8_1_static_gkp_same_model_lane.json"",""sha256"":""d44912c3dc64e7ca13feb430b35c83e0dbd43817f4eb34c44e28b06f6ee55e81""},""source_data"":{""path"":""docs/t6_8_1_static_gkp_same_model_lane_source_data.csv"",""row_count"":68,""sha256"":""885986a8cb583eff52cbaeec4a8426f461bc7f80055ea12d7ec57ffe77ff6404""},""task_id"":""T6.8.1""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""topk_full_exhaustive_equivalence"",""method_table.topk_k4_static_map.cost"",""method_table.static_joint_map.cost""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Compression/sensitivity ablation or supplement
GENERAL_DRIFT_BOCD_OUTCOME,general_drift_adaptive,SUPPORTED_PAIRED_OUTCOME,"Against the pinned external BOCD-window-EWMA router on common formal traces, Route-A has lower paired LER; the external method fails the preregistered worst-update wall-clock budget and therefore is not a qualified matched-budget comparator.","[""pinned external implementation"",""identical traces/truth"",""paired CI"",""strict worst-update compute and wall-clock caps""]","{""deadline_miss_count"":1,""external_equal_family_ler"":0.011969094324593593,""external_minus_route_a"":{""ci95_high"":1.2368866891571562e-05,""ci95_low"":7.667926826863132e-06,""clusters"":24,""contrast"":""external_bocd_window_ewma_router_LER_minus_proposed_route_a_LER"",""estimate"":1.0018396859217312e-05,""left_worse_if_lcb_gt_zero"":true,""replicates"":20000,""right_worse_if_ucb_lt_zero"":false},""external_update_worst_us"":13004.1,""route_a_equal_family_ler"":0.011959075927734375,""wallclock_cap_us"":5000.0}","[""one external algorithm is insufficient for general SOTA"",""external comparator budget qualification failed"",""Bhardwaj paper-exact path unavailable""]","[""trace/truth mismatch"",""paired CI lower bound becomes non-positive"",""external wrapper ceases to be pinned/unmodified"",""wording omits the budget failure""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":5957723,""path"":""docs/t6_8_2_external_drift_adaptive_lane.json"",""sha256"":""4556647351416dfecd2ba9c1c4a94deeed9881a51b065c0cafec0b9fed64062d""},""source_data"":{""path"":""docs/t6_8_2_external_drift_adaptive_lane_source_data.csv"",""row_count"":588,""sha256"":""615781c0f2257e949319c0f9318d9592b00a347f7cff61cbb89c297643bf2ca2""},""task_id"":""T6.8.2""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""formal_results.paired_contrasts"",""formal_results.external_budget"",""external_upstream"",""split_contract.formal_seeds""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",External reproducible baseline table with qualification column
GENERAL_DRIFT_MATCHED_BUDGET_SOTA,general_drift_adaptive,NOT_ESTABLISHED,General drift-adaptive SOTA is not established because the only executable external comparator violates the strict worst-update wall-clock ceiling and other literature mappings are not exact same-task reproductions.,"[""at least two closest external methods"",""all comparators pass common worst-case compute/wall-clock budget"",""same-task paired statistics""]","{""cap_us"":5000.0,""external_deadline_misses"":1,""external_updates"":13104,""qualified_external_comparator_count"":0,""worst_update_us"":13004.1}","[""second close external implementation missing"",""zero budget-qualified external comparators""]","[""cannot become positive from a performance-only rerun"",""requires a newly preregistered and budget-qualified external lane""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":5957723,""path"":""docs/t6_8_2_external_drift_adaptive_lane.json"",""sha256"":""4556647351416dfecd2ba9c1c4a94deeed9881a51b065c0cafec0b9fed64062d""},""source_data"":{""path"":""docs/t6_8_2_external_drift_adaptive_lane_source_data.csv"",""row_count"":588,""sha256"":""615781c0f2257e949319c0f9318d9592b00a347f7cff61cbb89c297643bf2ca2""},""task_id"":""T6.8.2""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""claim_registry.GENERAL_DRIFT_ADAPTIVE_SOTA"",""formal_results.external_budget""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}","Claim registry/limitations, not a positive headline"
PUVIANI_NMF_SURPASS,puviani_nmf,PROHIBITED,"No comparison or surpass claim against Puviani NMF is permitted: the official-source paper-exact gate passes 0/15 criteria and the matched lifetime branch is ineligible, so all 13 comparison metrics remain null.","[""official checkpoints/seeds/evaluator"",""paper-exact Standard/MF/NMF reproduction"",""same-GQF matched lifetime"",""paired lifetime-improvement 95% lower bound above zero""]","{""exact_status"":""NO_GO_SOURCE_INCOMPLETE"",""matched_branch"":""INELIGIBLE_NEGATIVE_BRANCH_NO_MATCHED_RUN"",""matched_metric_non_null_count"":0,""paper_exact_failed"":15,""paper_exact_passed"":0}","[""official checkpoints, seeds, six-state evaluator and raw trajectories absent"",""paper/source architecture and training settings conflict"",""full GPU accelerator path unqualified""]","[""remains prohibited until all T6.8.4 exact gates and T6.8.5 eligibility gates pass"",""directional reduced diagnostic may never substitute for exact reproduction""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":24539,""path"":""docs/t6_8_4_gqf_paper_exact_reproduction.json"",""sha256"":""8677917ad3c8bc6f60f6630dd757546a86c676781594d2c4ecd6f4e41c45ad29""},""source_data"":{""path"":""docs/t6_8_4_gqf_reproduction_source_data.csv"",""sha256"":""674a0055202288706986e7da3af403f982cc2ad108cca0525acdb7ce1962a3cb""},""task_id"":""T6.8.4""},{""report"":{""bytes"":6564,""path"":""docs/t6_8_5_gqf_route_a_matched_comparison_gate.json"",""sha256"":""0ca9ff294e508e46ee10c84f72cc2601be04b3ac7da029f847437fded9c99a5e""},""source_data"":{""path"":""docs/t6_8_5_gqf_route_a_matched_comparison_gate_source_data.csv"",""sha256"":""cbc3a41b00d2a72f4885a167a6dfd682cff11a6e21299ebd5b32c717b57425bb""},""task_id"":""T6.8.5""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""exact_qualification"",""source_discrepancies"",""prerequisite_ledger"",""matched_comparison_metrics""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Limitations/negative reproduction result; no lifetime ranking figure
FPGA_DETERMINISTIC_ARCHITECTURE,fpga_qec_decoder,SUPPORTED_PREBOARD_NARROW,"The integrated Route-A fast path is a deterministic six-cycle preboard architecture with one-million-cycle bit-exact CXXRTL qualification; nanosecond latency, resources, power and board deadline behavior remain unmeasured.","[""synthesizable integrated top"",""long-sequence bit-exact replay"",""P&R for time/resources"",""board measurement for physical claims""]","{""latency_cycles"":6,""measured_board_latency"":false,""qualified_cycles"":1000000,""rtl_mismatches"":0,""silent_overflow"":0,""undefined_actions"":0}","[""T6.9.1 integrated P&R absent"",""T6.9.2 board latency/deadline/resource/power absent"",""HMM is not in RTL""]","[""any nonzero bit mismatch/undefined action/silent overflow"",""integrated P&R does not preserve the declared cycle contract"",""preboard evidence described as measured""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""source_data"":{""path"":""docs/t6_7_4_route_a_promotion_gate_source_data.csv"",""row_count"":24,""sha256"":""436766161867059f5d19afcff67ad9d15c8a193e3b4738567203b7379c75a9af""},""task_id"":""T6.7.4""},{""report"":{""bytes"":36596,""path"":""docs/t6_8_6_fpga_decoder_normalization.json"",""sha256"":""75eb910c3fc9018a8345543493566ba34654c98fc11f15a0ecdeb50dd15ce59d""},""source_data"":{""bytes"":13587,""path"":""docs/t6_8_6_fpga_decoder_normalization_source_data.csv"",""rows"":10,""sha256"":""c5a54e73e6b625cdce34f3178faddc50d06804aa032fb7f4733df8b77eec3f08""},""task_id"":""T6.8.6""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""scientific_results.rtl"",""rows.project_t6_route_a_integrated_cxxrtl""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Hardware architecture panel and preboard qualification table
FPGA_SPEED_ADVANTAGE,fpga_qec_decoder,PROHIBITED,No speed ranking against prior FPGA QEC decoders is supported: there are zero same-task external comparator rows and no Route-A board source-to-action measurement.,"[""same code/problem/input/action semantics"",""same latency boundary/statistic"",""physical-board source-to-action distributions"",""deadline, II, resources and power""]","{""real_board_source_to_action"":""PENDING_T6.9.2"",""same_task_external_comparator_count"":0,""speed_advantage"":""UNESTABLISHED""}","[""no same-task external comparator"",""no integrated board measurement"",""cross-code raw latency is non-comparable""]","[""only T6.9.2 same-task measured evidence may unlock this claim"",""any cross-code or mixed-boundary ranking forces immediate withdrawal""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":36596,""path"":""docs/t6_8_6_fpga_decoder_normalization.json"",""sha256"":""75eb910c3fc9018a8345543493566ba34654c98fc11f15a0ecdeb50dd15ce59d""},""source_data"":{""bytes"":13587,""path"":""docs/t6_8_6_fpga_decoder_normalization_source_data.csv"",""rows"":10,""sha256"":""c5a54e73e6b625cdce34f3178faddc50d06804aa032fb7f4733df8b77eec3f08""},""task_id"":""T6.8.6""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""comparison_eligibility"",""claim_boundary"",""rows""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Normalization table and limitations; no fastest headline
CNN_PRIMARY_ROLE,general_drift_adaptive,ABLATION_ONLY,Legacy CNN residual and teacher/student modules remain optional learning ablations; the primary deployable LER path is MAP-based and the safety path is contract/FSM-based.,"[""matched input/output schema"",""common compute/wall-clock budget"",""paired LER and tail evidence""]","{""promotion_state"":""ABLATION_ONLY""}","[""legacy checkpoint fails the matched schema/budget"",""no primary claim may depend on CNN""]","[""promoting CNN in title/abstract without a new matched gate"",""removing MAP/FSM attribution from the system claim""]","{""config"":{""formal_baseline_reselection"":false,""threshold_lock_sha256"":""9347edb270bbeb3f50d8bd8aceaeefd8003e118f1e88712dd5265519bb0f67aa""},""current_artifacts"":[{""report"":{""bytes"":20293,""path"":""docs/t6_7_4_route_a_promotion_gate.json"",""sha256"":""58f7bd09c1c9982b5be9656cc7404d399567e165b140dc2f76ab0f3c129c5d22""},""source_data"":{""path"":""docs/t6_7_4_route_a_promotion_gate_source_data.csv"",""row_count"":24,""sha256"":""436766161867059f5d19afcff67ad9d15c8a193e3b4738567203b7379c75a9af""},""task_id"":""T6.7.4""}],""seeds"":{""external_drift_formal"":[202607176201,202607176202,202607176203,202607176204,202607176205,202607176206,202607176207,202607176208,202607176209,202607176210,202607176211,202607176212,202607176213,202607176214,202607176215,202607176216,202607176217,202607176218,202607176219,202607176220,202607176221,202607176222,202607176223,202607176224],""gqf_reduced_probe"":[68401,68407,68419],""route_a_formal"":""T6.7.1/T6.7.2 frozen formal seed manifests (hash-bound by T6.7.4 parents)""},""selectors"":[""claim_registry.CNN_PRIMARY""],""t6_9_dependencies"":[{""required_artifact"":""docs/t6_9_1_route_a_hardware_pareto.json"",""role"":""integrated three-seed P&R/Fmax/resource/power estimate"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.1""},{""required_artifact"":""docs/t6_9_2_route_a_board_measurement.json"",""role"":""same-bitstream measured correctness/latency/deadline/resource/power"",""sha256"":null,""status"":""PENDING_BOARD"",""task_id"":""T6.9.2""},{""required_artifact"":""docs/t6_9_3_route_a_evidence_gate.json"",""role"":""final claim-specific GO/NO-GO"",""sha256"":null,""status"":""PENDING"",""task_id"":""T6.9.3""}]}",Ablation table or supplement only
