claim_id,lane_id,support_status,required_evidence_level,data_domain,privilege,metrics,canonical_wording_en,canonical_wording_zh,current_evidence,activation_gate,revocation_conditions,forbidden_wording
CLAIM-ARCH-01,LANE-GOVERNANCE,SUPPORTED_CONTRACT,governance_contract,cross-lane role and evidence contract,governance_only,,"We define a contract-centric, regime-aware safe adaptive dual-loop in which MAP decoding owns logical-error performance, regime/event/fallback logic owns tail safety, and the FPGA fast path owns deterministic execution.",本项目已冻结 contract-centric、regime-aware 安全自适应双回路：MAP 负责逻辑错误性能，regime/event/fallback 负责 tail 安全，FPGA fast path 负责确定性执行。,docs/experiment_plan.md,T6.5.1 contract validator passes,a component is allowed to claim another component's metric | lane nonmixing is removed,"one model solves decoding, safety and hardware latency | global leaderboard"
CLAIM-RTL-QUAL-01,LANE-HARDWARE,SUPPORTED_BOUNDED,rtl_cxxrtl,production core qualification trace,observed_integer_words_no_physical_transport,core_latency_cycles | initiation_interval,The production fast-path core is cycle-exact against an independent integer reference over one million board-independent CXXRTL qualification cycles.,production fast-path core 已在板卡无关 CXXRTL 中以独立整数 reference 完成百万周期全字段 cycle-exact 资格验证。,docs/t6_2_2_long_rtl_qualification.json,T6.2.2 all gates pass,source/trace hash changes without rerun | any bit mismatch or undefined action appears,board validated | transport qualified | measured FPGA latency
CLAIM-FPGA-EST-01,LANE-HARDWARE,SUPPORTED_BOUNDED,place_route_estimate,Tang Nano 20K target-device estimate,tool_report_only,Fmax | LUT | FF | BRAM | DSP | core_latency_cycles,The current fixed-point fast path has a target-device-specific three-seed place-and-route timing and resource estimate; it is not a board measurement.,当前定点 fast path 具有目标器件、三 seed 的 P&R 时序/资源估计，但不是板测。,docs/t5_5_2_target_device_synthesis.json,source/constraint hashes and all three P&R seeds pass,tool report or constraint hash changes | estimate is presented without target/clock qualifier,measured power | board timing | vendor signoff
CLAIM-STATIC-01,LANE-DECODER,CONDITIONAL_FUTURE,software_simulation,unified syndrome benchmark,observed_only_deployable,average_LER | p95_LER | worst_window_LER | static_to_oracle_gap_closure,"[Conditional; not currently supported] Under a shared protocol-aligned trace and compute contract, Route-A reduces aggregate and tail logical error relative to the strongest deployable static GKP decoder.",仅当同 trace/预算证据通过时，Route-A 才可声称相对最强可部署 static GKP decoder 改善 aggregate/tail LER。,,T6.7.1 and T6.7.2 pass | T6.8.1 same-trace paired CI supports the claim,aggregate paired 95% LCB is not positive | any preregistered tail gate fails,universal GKP superiority | surface-code threshold | state-of-the-art GKP decoder
CLAIM-DRIFT-01,LANE-DECODER,CONDITIONAL_FUTURE,software_simulation,held-out smooth and abrupt/OOD syndrome scenarios,observed_only_deployable,average_LER | worst_window_LER | adaptation_lag | false_update | unnecessary_fallback,"[Conditional; not currently supported] Under matched history, update cadence and compute budget, Route-A improves drift adaptation without violating preregistered abrupt/OOD safety margins.",仅在 matched history/cadence/预算与 OOD 安全门通过后，才声称 Route-A 具有一般漂移适应优势。,,"T6.7.1, T6.7.2 and T6.7.4 pass | T6.8.2 includes at least one reproducible external method",external implementation is unavailable | catastrophic-degradation or nominal non-inferiority gate fails,adaptive decoding is universally superior | all noise regimes
CLAIM-TAIL-01,LANE-DECODER,CONDITIONAL_FUTURE,software_simulation,unified syndrome benchmark,observed_only_deployable,p95_LER | worst_window_LER | avoided_errors | induced_errors | false_update | unnecessary_fallback,"[Conditional; not currently supported] Regime-triggered freeze, trusted-bank switching and fail-closed fallback reduce harmful tail events without unacceptable nominal fallback cost.",仅当 abrupt/OOD 与 nominal non-inferiority 门同时通过时，才声称 regime freeze/trusted-bank/fallback 改善 tail 安全。,,T6.7.2 independent formal evaluation passes | T6.7.4 promotion gate passes,calibration-shift counterexample persists | nominal fallback cost exceeds frozen margin,guarantees safety | eliminates catastrophic errors
CLAIM-CNN-01,LANE-DECODER,ABLATION_ONLY,software_simulation,unified syndrome benchmark,observed_only_candidate,average_LER | p95_LER | worst_window_LER | decoder_MAC | decoder_memory,The legacy CNN residual is a replaceable matched-budget ablation and is not required for the Route-A system claim.,legacy CNN residual 仅是 matched-budget 可替换消融，不是 Route-A 成立前提。,docs/t5_1_4_algorithm_branch_verdict.json,may be promoted only by its own T6.6/T6.7 matched gate,matched comparison fails | checkpoint is absent or cost is unmatched,CNN is generally optimal | CNN drives the primary contribution | learned decoder is universally superior
CLAIM-STUDENT-01,LANE-GOVERNANCE,SUPPORTED_EXTENSION_ONLY,software_simulation,project bounded finite-cutoff controller simulator,offline_teacher_and_candidate_student,,"A low-dimensional student retains a preregistered fraction of teacher gain in the existing bounded project controller simulator, but this is neither official GQF reproduction nor decoder evidence.",低维 student 在既有受限 controller simulator 中具有预注册 teacher gain-retention 证据，但不等于官方 GQF 复现，也不是 decoder 证据。,docs/t4_4_5_teacher_student_branch_freeze.json,existing T4.4.5 bounded branch remains current,official GQF is implied | long-horizon/OOD retention is implied | controller result is used as decoder evidence,official GQF reproduction | surpasses Puviani NMF | RNN decoder
CLAIM-GQF-01,LANE-GQF,PROHIBITED_NOW,software_simulation,official fixed-commit GQF simulator,same_budget_official_comparison,GQF_TX | GQF_TY | GQF_TZ | GQF_Tch | GQF_Favg,"[Not currently claimable] In the same official GQF environment and budget, the Route-A extension improves logical-channel lifetime over Puviani NMF.",[当前禁止] 在同一官方 GQF 环境与预算下超过 Puviani NMF 的 logical-channel lifetime。,,T6.8.3 intake passes | T6.8.4 paper-exact reproduction passes | T6.8.5 paired lifetime 95% LCB > 0,absolute values or ordering miss reproduction tolerance | paired lifetime LCB is not positive,currently surpasses NMF | Puviani lifetime record
CLAIM-HW-SPEED-01,LANE-HARDWARE,PROHIBITED_NOW,board_measured,task-normalized real-board comparison,board_measured_same_boundary,source_to_action_latency | closed_loop_latency | initiation_interval | deadline_miss,[Not currently claimable] The Route-A FPGA decoder is faster than existing FPGA QEC decoders on a matched task boundary.,[当前禁止] Route-A FPGA decoder 在同任务边界下比现有 FPGA QEC decoder 更快。,,T6.8.6 comparable subset is non-null | T6.9.2 same-bitstream board measurement passes,only core/P&R estimate is available | code/problem/precision/latency boundary differs | any board deadline miss occurs,fastest FPGA decoder | measured speed advantage | real-time board result
