id,kind,title,status,caption_basis,primary_caption_source,supporting_sources,gap_note
T74-FIG-01,figure,"T24 frozen four-scenario benchmark summary figure",partial,"Main-text result figure or explicit table substitute","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/summary.json; docs/review/T24_review.md","Need a manually drawn or task-local plot if the figure is authored; otherwise cite T74-TBL-01 directly."
T74-FIG-02,figure,"FR6 six-seed mechanism/intervention figure",ready,"Reuse existing bounded caption with Chinese paper-facing wording","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/caption.md","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv; docs/evidence_packs/mechanism_ablation/fr6_multi_seed_mechanism_intervention_figure_pack.md; docs/review/T58_review.md","No new experiment gap."
T74-FIG-03,figure,"Layered evidence-boundary schematic",ready,"Caption comes from boundary docs, not from a new experiment","docs/03_hil_p4_boundary_audit.md","docs/protocols/benchmark/P4_benchmark_formal_protocol.md; docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Only manual schematic assembly remains."
T74-FIG-04,figure,"Unified portability/deployment closure figure",blocked,"Blocked note only","docs/paper_materials/paper_result_figure_ledger.md","docs/evidence_packs/training_reproducibility/training_reproducibility_and_material_regeneration_pack.md; docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Current evidence does not support an honest integrated closure figure."
T74-TBL-01,table,"T24 frozen main ranked table",ready,"Caption is derived from ranking CSV plus T24 review boundary","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv","runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/summary.json; docs/review/T24_review.md","No gap."
T74-TBL-02,table,"FR7 feature/teacher ablation table",ready,"Caption is derived from summary_pack/table.csv plus T57 review boundary","runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/table.csv","runs/p4_benchmark/T57_fr7_feature_teacher_ablation_20260524_000000/summary_pack/summary.json; docs/review/T57_review.md","No gap."
T74-TBL-03,table,"FR6 six-seed descriptive summary table",ready,"Caption is derived from figure_data.csv and existing figure caption","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv","docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/caption.md; docs/review/T58_review.md","No gap."
T74-TBL-04,table,"Training/material reproducibility boundary table",ready,"Caption is derived from T50 pack summary_table plus review boundary","artifacts/t50_training_repro_pack/training_reproducibility_pack.json","docs/evidence_packs/training_reproducibility/training_reproducibility_and_material_regeneration_pack.md; docs/review/T50_review.md","No gap."
T74-TBL-05,table,"Isolated true .tflite runtime boundary table",ready,"Caption is derived from T48 gate JSON plus review boundary","artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json","docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md; docs/review/T48_review.md","No gap."
T74-TBL-06,table,"Real-board gate / regeneration / provenance boundary table",ready,"Caption is derived from T49/T71/T72 gate truth plus T72 review boundary","artifacts/t72_real_board_transfer_pack_provenance_hardening/replay_vs_regeneration_comparison.json","artifacts/t49_real_board_smoke_execution_gate/t49_real_board_smoke_execution_gate.json; artifacts/t71_real_board_gate_regeneration_pack/current_host_regenerated_gate.json; docs/review/T72_review.md","No new experiment gap; hardware execution remains out of scope."
T74-TBL-07,table,"FR8 statcalib extension-lane closure table",partial,"Caption is derived from T70 closure pack and review","docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md","docs/review/T70_review.md; runs/p4_benchmark/T69_statcalib_clean_winner_tiebreak_20260608_160358/statcalib_clean_winner_tiebreak_summary/summary.json","Need manual supplement-only table layout."
T74-SUP-01,supplement_note,"FR8 no-promotion / no-unique-threshold note",ready,"Supplement note from T70 gate wording","docs/review/T70_review.md","docs/evidence_packs/statcalib_fr8/fr8_statcalib_bounded_closure_pack.md","No gap."
T74-SUP-02,supplement_note,"T50 full reproducibility exclusion note",ready,"Supplement note from T50 boundary wording","docs/review/T50_review.md","artifacts/t50_training_repro_pack/training_reproducibility_pack.json","No gap."
T74-SUP-03,supplement_note,"T48 default-env / deployment exclusion note",ready,"Supplement note from T48 boundary wording","docs/review/T48_review.md","artifacts/t48_true_tflite_runtime_gate/t48_true_tflite_runtime_gate.json","No gap."
T74-SUP-04,supplement_note,"T72 future-host / hardware-condition gap note",partial,"Supplement note from T72 residual-risk wording","docs/review/T72_review.md","docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md","Still waits for narrower provenance cleanup and hardware conditions."
