record_type,record_id,payload_json,canonical_sha256
literature_dedup_audit,registered-dedup-pipeline,"{""artifact_evidence_count"":4,""artifact_evidence_ids_sha256"":""e1b3b51aedb758377884e9cd7c10ee401dc2117eb4b52659e0ff8ba85ae2d55f"",""bibliographic_source_ids_sha256"":""86549ef0c1a735789559301f103b0c26d07eb09850ba755b8192c42d063710ad"",""canonical_work_count"":12,""conflicting_screening_rule"":""FAIL_CLOSED"",""first_author_match_required"":true,""input_bibliographic_hit_count"":23,""merge_events"":[{""canonical_record_id"":""LIT-ROYER-2020"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/PhysRevLett.125.260509""},{""canonical_record_id"":""LIT-CAMPAGNE-2020"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1038/s41586-020-2603-3""},{""canonical_record_id"":""LIT-WAN-2020"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/PhysRevResearch.2.043280""},{""canonical_record_id"":""LIT-DENEEVE-2022"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1038/s41567-021-01487-7""},{""canonical_record_id"":""LIT-NOH-2022"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/PRXQuantum.3.010315""},{""canonical_record_id"":""LIT-SIVAK-2023"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1038/s41586-023-05782-6""},{""canonical_record_id"":""LIT-LACHANCE-2024"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/PhysRevLett.132.150607""},{""canonical_record_id"":""LIT-PUVIANI-2025"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/PhysRevLett.134.020601""},{""canonical_record_id"":""LIT-BROCK-2025"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1038/s41586-025-08899-y""},{""canonical_record_id"":""LIT-VAIDHYANATHAN-2026"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1103/m429-jy1j""},{""canonical_record_id"":""LIT-SIVAK-2026"",""rule"":""TITLE_AUTHOR_JACCARD"",""source_record"":""DOI:10.1038/s41586-026-10759-2""}],""merge_rule_counts"":{""ARXIV_EXACT"":0,""DOI_EXACT"":0,""TITLE_AUTHOR_JACCARD"":11},""merged_bibliographic_version_count"":11,""pipeline_executed"":true,""priority"":[""normalized_lowercase_doi_exact"",""arxiv_id_exact"",""normalized_title_plus_first_author""],""raw_hit_ledger"":[{""arxiv_id"":""2009.07941"",""claimed_record_id"":""LIT-ROYER-2020"",""doi"":null,""first_author"":""Royer"",""source_record"":""ARXIV:2009.07941"",""title"":""Stabilization of Finite-Energy Gottesman-Kitaev-Preskill States""},{""arxiv_id"":null,""claimed_record_id"":""LIT-ROYER-2020"",""doi"":""10.1103/physrevlett.125.260509"",""first_author"":""Royer"",""source_record"":""DOI:10.1103/PhysRevLett.125.260509"",""title"":""Stabilization of Finite-Energy Gottesman-Kitaev-Preskill States""},{""arxiv_id"":""1907.12487"",""claimed_record_id"":""LIT-CAMPAGNE-2020"",""doi"":null,""first_author"":""Campagne-Ibarcq"",""source_record"":""ARXIV:1907.12487"",""title"":""Quantum error correction of a qubit encoded in grid states of an oscillator""},{""arxiv_id"":null,""claimed_record_id"":""LIT-CAMPAGNE-2020"",""doi"":""10.1038/s41586-020-2603-3"",""first_author"":""Campagne-Ibarcq"",""source_record"":""DOI:10.1038/s41586-020-2603-3"",""title"":""Quantum error correction of a qubit encoded in grid states of an oscillator""},{""arxiv_id"":""1912.00829"",""claimed_record_id"":""LIT-WAN-2020"",""doi"":null,""first_author"":""Wan"",""source_record"":""ARXIV:1912.00829"",""title"":""Memory-assisted decoder for approximate Gottesman-Kitaev-Preskill codes""},{""arxiv_id"":null,""claimed_record_id"":""LIT-WAN-2020"",""doi"":""10.1103/physrevresearch.2.043280"",""first_author"":""Wan"",""source_record"":""DOI:10.1103/PhysRevResearch.2.043280"",""title"":""Memory-assisted decoder for approximate Gottesman-Kitaev-Preskill codes""},{""arxiv_id"":""2010.09681"",""claimed_record_id"":""LIT-DENEEVE-2022"",""doi"":null,""first_author"":""de Neeve"",""source_record"":""ARXIV:2010.09681"",""title"":""Error correction of a logical grid state qubit by dissipative pumping""},{""arxiv_id"":null,""claimed_record_id"":""LIT-DENEEVE-2022"",""doi"":""10.1038/s41567-021-01487-7"",""first_author"":""de Neeve"",""source_record"":""DOI:10.1038/s41567-021-01487-7"",""title"":""Error correction of a logical grid state qubit by dissipative pumping""},{""arxiv_id"":""2103.06994"",""claimed_record_id"":""LIT-NOH-2022"",""doi"":null,""first_author"":""Noh"",""source_record"":""ARXIV:2103.06994"",""title"":""Low-overhead fault-tolerant quantum error correction with the surface-GKP code""},{""arxiv_id"":null,""claimed_record_id"":""LIT-NOH-2022"",""doi"":""10.1103/prxquantum.3.010315"",""first_author"":""Noh"",""source_record"":""DOI:10.1103/PRXQuantum.3.010315"",""title"":""Low-overhead fault-tolerant quantum error correction with the surface-GKP code""},{""arxiv_id"":null,""claimed_record_id"":""LIT-WANG-2022"",""doi"":""10.1038/s41534-022-00650-z"",""first_author"":""Wang"",""source_record"":""DOI:10.1038/s41534-022-00650-z"",""title"":""Multidimensional Bose quantum error correction based on neural network decoder""},{""arxiv_id"":""2211.09116"",""claimed_record_id"":""LIT-SIVAK-2023"",""doi"":null,""first_author"":""Sivak"",""source_record"":""ARXIV:2211.09116"",""title"":""Real-time quantum error correction beyond break-even""},{""arxiv_id"":null,""claimed_record_id"":""LIT-SIVAK-2023"",""doi"":""10.1038/s41586-023-05782-6"",""first_author"":""Sivak"",""source_record"":""DOI:10.1038/s41586-023-05782-6"",""title"":""Real-time quantum error correction beyond break-even""},{""arxiv_id"":""2310.11400"",""claimed_record_id"":""LIT-LACHANCE-2024"",""doi"":null,""first_author"":""Lachance-Quirion"",""source_record"":""ARXIV:2310.11400"",""title"":""Autonomous Quantum Error Correction of Gottesman-Kitaev-Preskill States""},{""arxiv_id"":null,""claimed_record_id"":""LIT-LACHANCE-2024"",""doi"":""10.1103/physrevlett.132.150607"",""first_author"":""Lachance-Quirion"",""source_record"":""DOI:10.1103/PhysRevLett.132.150607"",""title"":""Autonomous Quantum Error Correction of Gottesman-Kitaev-Preskill States""},{""arxiv_id"":""2312.07391"",""claimed_record_id"":""LIT-PUVIANI-2025"",""doi"":null,""first_author"":""Puviani"",""source_record"":""ARXIV:2312.07391"",""title"":""Non-Markovian feedback for optimized quantum error correction""},{""arxiv_id"":null,""claimed_record_id"":""LIT-PUVIANI-2025"",""doi"":""10.1103/physrevlett.134.020601"",""first_author"":""Puviani"",""source_record"":""DOI:10.1103/PhysRevLett.134.020601"",""title"":""Non-Markovian feedback for optimized quantum error correction""},{""arxiv_id"":""2409.15065"",""claimed_record_id"":""LIT-BROCK-2025"",""doi"":null,""first_author"":""Brock"",""source_record"":""ARXIV:2409.15065"",""title"":""Quantum error correction of qudits beyond break-even""},{""arxiv_id"":null,""claimed_record_id"":""LIT-BROCK-2025"",""doi"":""10.1038/s41586-025-08899-y"",""first_author"":""Brock"",""source_record"":""DOI:10.1038/s41586-025-08899-y"",""title"":""Quantum error correction of qudits beyond break-even""},{""arxiv_id"":""2411.19253"",""claimed_record_id"":""LIT-VAIDHYANATHAN-2026"",""doi"":null,""first_author"":""Vaidhyanathan"",""source_record"":""ARXIV:2411.19253"",""title"":""Quantum feedback control with a transformer neural network architecture""},{""arxiv_id"":null,""claimed_record_id"":""LIT-VAIDHYANATHAN-2026"",""doi"":""10.1103/m429-jy1j"",""first_author"":""Vaidhyanathan"",""source_record"":""DOI:10.1103/m429-jy1j"",""title"":""Quantum feedback control with a transformer neural network architecture""},{""arxiv_id"":""2511.08493"",""claimed_record_id"":""LIT-SIVAK-2026"",""doi"":null,""first_author"":""Sivak"",""source_record"":""ARXIV:2511.08493"",""title"":""Reinforcement learning control of quantum error correction""},{""arxiv_id"":null,""claimed_record_id"":""LIT-SIVAK-2026"",""doi"":""10.1038/s41586-026-10759-2"",""first_author"":""Sivak"",""source_record"":""DOI:10.1038/s41586-026-10759-2"",""title"":""Reinforcement learning control of quantum error correction""}],""title_token_jaccard_threshold"":0.9,""unique_dedup_key_count"":12}",aa712bf939e4804aab54c4663e924a37f9b048e60cdd3fb71374e43ccac055fb
ranking_lane,MATCHED_DEPLOYABLE_RANKED,"{""lane_id"":""MATCHED_DEPLOYABLE_RANKED"",""may_support_external_sota"":false,""may_support_registered_best"":true,""ranked"":true,""rule"":""all common-input, sample, action, privilege, update, precision, compute, wall-clock, selection and failure fields must be qualified before pilot""}",7ca35aa946bc2fd5eaff1ed059a85acf14c7fa4a0da53d6ecf3c95e062802b58
ranking_lane,UNBUDGETED_CAPACITY_CEILING_NONRANKING,"{""lane_id"":""UNBUDGETED_CAPACITY_CEILING_NONRANKING"",""may_support_external_sota"":false,""may_support_registered_best"":false,""ranked"":false,""rule"":""same observations, actions and formal traces but larger model, state, context, accelerator or selection budget; diagnostic ceiling only""}",73181b25cb5ab7bb9676ee128d36e09be9e7357996d708955e40cb83cd018c94
ranking_lane,PRIVILEGED_UPPER_BOUND_NONRANKING,"{""lane_id"":""PRIVILEGED_UPPER_BOUND_NONRANKING"",""may_support_external_sota"":false,""may_support_registered_best"":false,""ranked"":false,""rule"":""hidden truth, teacher target, assumed-model tree or future smoother is isolated and never deployable""}",a7ca56e16f94c1c51fd4ef5cab0680355d10bcf6b23e74b61b9367a4ba3eedd3
ranking_lane,PROTOCOL_ANCHOR_NONRANKING,"{""lane_id"":""PROTOCOL_ANCHOR_NONRANKING"",""may_support_external_sota"":false,""may_support_registered_best"":false,""ranked"":false,""rule"":""sanity or physical-protocol anchor with intentionally different information/action rights""}",eacd7e9b376d12bc34bb1f79223dfee3db0cfc3e5161c841a450238a5b0f5307
method,standard_binning,"{""claim_boundary"":""weak sanity anchor; never called strongest baseline"",""common_contract_ids"":{""compute"":""PHASE9_MATCHED_COMPUTE_V1"",""missingness"":""PHASE9_FAILURE_RETENTION_V1"",""selection"":""PHASE9_ALL_ATTEMPTS_SELECTION_V1"",""task_signature"":""PHASE9-COMMON-HARNESS-BASELINE-REGISTRY-V1""},""current_accounting"":{""deadline_miss_count"":null,""fallback_count"":null,""inference_macs"":null,""inference_wallclock_ns"":null,""numeric_failure_count"":null,""oom_count"":null,""parameter_count"":null,""peak_rss_delta_bytes"":null,""persistent_state_bytes"":null,""preprocessing_macs"":null,""preprocessing_wallclock_ns"":null,""serialization_transfer_macs"":null,""serialization_transfer_wallclock_ns"":null,""state_update_macs"":null,""state_update_wallclock_ns"":null,""timeout_count"":null,""total_online_flops"":null,""total_online_macs"":null,""total_wallclock_ns"":null,""transient_workspace_bytes"":null,""wallclock_max_ns"":null,""wallclock_p50_ns"":null,""wallclock_p95_ns"":null,""wallclock_p99_ns"":null},""current_qualification_state"":""PENDING_PHASE9_COMMON_HARNESS_NULL"",""current_result"":{""ceiling_eligible"":false,""external_sota_vote"":false,""matched_eligible"":false,""numeric_metrics"":null,""rank"":null,""registered_best_vote"":false},""family"":""decoder_anchor"",""historical_state"":""HISTORICAL_PRODUCTION_REQUALIFICATION_PENDING"",""implementation_paths"":[""cnn_fpga/benchmark/standard_binning_baseline.py""],""label"":""Standard GKP binning"",""mandatory"":false,""method_id"":""standard_binning"",""privilege"":{""assumed_model_branching_access"":false,""deployable"":false,""deployable_teacher_call_during_formal"":false,""formal_label_access"":false,""future_suffix_access"":false,""hidden_truth_access"":false,""observed_only"":true,""privileged_diagnostic_evaluation_on_formal"":false,""scenario_id_access"":false},""registry_class"":""PROTOCOL_ANCHOR_NONRANKING"",""role"":""WEAK_SANITY_ANCHOR"",""source_ids"":[""LIT-CAMPAGNE-2020"",""LOCAL-T3.1.1""],""target_eligibility"":{""capacity_ceiling_candidate"":false,""matched_candidate"":false,""privileged_upper_bound"":false,""protocol_anchor"":true},""typed_null_reason"":""RAW_IQ_COMMON_DISCRIMINATOR_TRUSTED_ACTION_AND_PHASE9_DENOMINATOR_NOT_QUALIFIED""}",d8c755fb7019734e75e3326478eeacc0d1eedced2a53207c103a7940bf8110af
method,autonomous_sbs_no_measurement,"{""claim_boundary"":""not no-correction and not standard measurement-feedback sBs"",""common_contract_ids"":{""compute"":""PHASE9_MATCHED_COMPUTE_V1"",""missingness"":""PHASE9_FAILURE_RETENTION_V1"",""selection"":""PHASE9_ALL_ATTEMPTS_SELECTION_V1"",""task_signature"":""PHASE9-COMMON-HARNESS-BASELINE-REGISTRY-V1""},""current_accounting"":{""deadline_miss_count"":null,""fallback_count"":null,""inference_macs"":null,""inference_wallclock_ns"":null,""numeric_failure_count"":null,""oom_count"":null,""parameter_count"":null,""peak_rss_delta_bytes"":null,""persistent_state_bytes"":null,""preprocessing_macs"":null,""preprocessing_wallclock_ns"":null,""serialization_transfer_macs"":null,""serialization_transfer_wallclock_ns"":null,""state_update_macs"":null,""state_update_wallclock_ns"":null,""timeout_count"":null,""total_online_flops"":null,""total_online_macs"":null,""total_wallclock_ns"":null,""transient_workspace_bytes"":null,""wallclock_max_ns"":null,""wallclock_p50_ns"":null,""wallclock_p95_ns"":null,""wallclock_p99_ns"":null},""current_qualification_state"":""PENDING_PHASE9_COMMON_PHYSICAL_TIME_NULL"",""current_result"":{""ceiling_eligible"":false,""external_sota_vote"":false,""matched_eligible"":false,""numeric_metrics"":null,""rank"":null,""registered_best_vote"":false},""family"":""protocol_anchor"",""historical_state"":""HISTORICAL_PRODUCTION_REQUALIFICATION_PENDING"",""implementation_paths"":[""physics/autonomous_sbs.py""],""label"":""Autonomous sBs without measurement feedback"",""mandatory"":false,""method_id"":""autonomous_sbs_no_measurement"",""privilege"":{""assumed_model_branching_access"":false,""deployable"":false,""deployable_teacher_call_during_formal"":false,""formal_label_access"":false,""future_suffix_access"":false,""hidden_truth_access"":false,""observed_only"":true,""privileged_diagnostic_evaluation_on_formal"":false,""scenario_id_access"":false},""registry_class"":""PROTOCOL_ANCHOR_NONRANKING"",""role"":""NO_MEASUREMENT_PROTOCOL_ANCHOR"",""source_ids"":[""LIT-ROYER-2020"",""LIT-LACHANCE-2024"",""LOCAL-T3.2.8""],""target_eligibility"":{""capacity_ceiling_candidate"":false,""matched_candidate"":false,""privileged_upper_bound"":false,""protocol_anchor"":true},""typed_null_reason"":""PHASE9_TWIN_AND_ACTION_CONDITIONED_WALLCLOCK_NOT_QUALIFIED""}",dfcccca6f1816e2d1f0bed48445421cb03b52fca731757aee854bd111aa356f7
method,no_correction_idle_memory,"{""claim_boundary"":""zero active action; not autonomous sBs and not a decoder"",""common_contract_ids"":{""compute"":""PHASE9_MATCHED_COMPUTE_V1"",""missingness"":""PHASE9_FAILURE_RETENTION_V1"",""selection"":""PHASE9_ALL_ATTEMPTS_SELECTION_V1"",""task_signature"":""PHASE9-COMMON-HARNESS-BASELINE-REGISTRY-V1""},""current_accounting"":{""deadline_miss_count"":null,""fallback_count"":null,""inference_macs"":null,""inference_wallclock_ns"":null,""numeric_failure_count"":null,""oom_count"":null,""parameter_count"":null,""peak_rss_delta_bytes"":null,""persistent_state_bytes"":null,""preprocessing_macs"":null,""preprocessing_wallclock_ns"":null,""serialization_transfer_macs"":null,""serialization_transfer_wallclock_ns"":null,""state_update_macs"":null,""state_update_wallclock_ns"":null,""timeout_count"":null,""total_online_flops"":null,""total_online_macs"":null,""total_wallclock_ns"":null,""transient_workspace_bytes"":null,""wallclock_max_ns"":null,""wallclock_p50_ns"":null,""wallclock_p95_ns"":null,""wallclock_p99_ns"":null},""current_qualification_state"":""PENDING_PHASE9_COMMON_PHYSICAL_TIME_NULL"",""current_result"":{""ceiling_eligible"":false,""external_sota_vote"":false,""matched_eligible"":false,""numeric_metrics"":null,""rank"":null,""registered_best_vote"":false},""family"":""protocol_anchor"",""historical_state"":""HISTORICAL_PRODUCTION_REQUALIFICATION_PENDING"",""implementation_paths"":[""physics/autonomous_sbs.py""],""label"":""No correction idle memory"",""mandatory"":false,""method_id"":""no_correction_idle_memory"",""privilege"":{""assumed_model_branching_access"":false,""deployable"":false,""deployable_teacher_call_during_formal"":false,""formal_label_access"":false,""future_suffix_access"":false,""hidden_truth_access"":false,""observed_only"":true,""privileged_diagnostic_evaluation_on_formal"":false,""scenario_id_access"":false},""registry_class"":""PROTOCOL_ANCHOR_NONRANKING"",""role"":""ZERO_ACTION_BREAK_EVEN_ANCHOR"",""source_ids"":[""LOCAL-T5.1.1""],""target_eligibility"":{""capacity_ceiling_candidate"":false,""matched_candidate"":false,""privileged_upper_bound"":false,""protocol_anchor"":true},""typed_null_reason"":""PHASE9_TWIN_PHYSICAL_TIME_AND_IDLE_CHANNEL_NOT_QUALIFIED""}",cb5e7475a4058a761f01c00259bc8be9522dc032f30879ca2abcfd0ad3e7a673
method,standard_measurement_feedback_sbs,"{""claim_boundary"":""fixed protocol parameters; distinct from autonomous and zero-action anchors"",""common_contract_ids"":{""compute"":""PHASE9_MATCHED_COMPUTE_V1"",""missingness"":""PHASE9_FAILURE_RETENTION_V1"",""selection"":""PHASE9_ALL_ATTEMPTS_SELECTION_V1"",""task_signature"":""PHASE9-COMMON-HARNESS-BASELINE-REGISTRY-V1""},""current_accounting"":{""deadline_miss_count"":null,""fallback_count"":null,""inference_macs"":null,""inference_wallclock_ns"":null,""numeric_failure_count"":null,""oom_count"":null,""parameter_count"":null,""peak_rss_delta_bytes"":null,""persistent_state_bytes"":null,""preprocessing_macs"":null,""preprocessing_wallclock_ns"":null,""serialization_transfer_macs"":null,""serialization_transfer_wallclock_ns"":null,""state_update_macs"":null,""state_update_wallclock_ns"":null,""timeout_count"":null,""total_online_flops"":null,""total_online_macs"":null,""total_wallclock_ns"":null,""transient_workspace_bytes"":null,""wallclock_max_ns"":null,""wallclock_p50_ns"":null,""wallclock_p95_ns"":null,""wallclock_p99_ns"":null},""current_qualification_state"":""PENDING_PHASE9_COMMON_HARNESS_NULL"",""current_result"":{""ceiling_eligible"":false,""external_sota_vote"":false,""matched_eligible"":false,""numeric_metrics"":null,""rank"":null,""registered_best_vote"":false},""family"":""fixed_controller"",""historical_state"":""HISTORICAL_PRODUCTION_REQUALIFICATION_PENDING"",""implementation_paths"":[""physics/autonomous_sbs.py""],""label"":""Standard fixed measurement-feedback sBs"",""mandatory"":true,""method_id"":""standard_measurement_feedback_sbs"",""privilege"":{""assumed_model_branching_access"":false,""deployable"":true,""deployable_teacher_call_during_formal"":false,""formal_label_access"":false,""future_suffix_access"":false,""hidden_truth_access"":false,""observed_only"":true,""privileged_diagnostic_evaluation_on_formal"":false,""scenario_id_access"":false},""registry_class"":""MATCHED_DEPLOYABLE_RANKED"",""role"":""MANDATORY_BASELINE"",""source_ids"":[""LIT-SIVAK-2023"",""LIT-PUVIANI-2025"",""LOCAL-T3.2.8""],""target_eligibility"":{""capacity_ceiling_candidate"":false,""matched_candidate"":true,""privileged_upper_bound"":false,""protocol_anchor"":false},""typed_null_reason"":""PHASE9_TWIN_CODEBOOK_IQ_PRECISION_AND_COST_REQUALIFICATION_REQUIRED""}",d01e7233c3136deec460e52d0872ccdaae0e03e66cf133deca0262d7a8e0de6f
method,static_recovery_map,"{""claim_boundary"":""frozen calibration-only prior and bank; no formal adaptation"",""common_contract_ids"":{""compute"":""PHASE9_MATCHED_COMPUTE_V1"",""missingness"":""PHASE9_FAILURE_RETENTION_V1"",""selection"":""PHASE9_ALL_ATTEMPTS_SELECTION_V1"",""task_signature"":""PHASE9-COMMON-HARNESS-BASELINE-REGISTRY-V1""},""current_accounting"":{""deadline_miss_count"":null,""fallback_count"":null,""inference_macs"":null,""inference_wallclock_ns"":null,""numeric_failure_count"":null,""oom_count"":null,""parameter_count"":null,""peak_rss_delta_bytes"":null,""persistent_state_bytes"":null,""preprocessing_macs"":null,""preprocessing_wallclock_ns"":null,""serialization_transfer_macs"":null,""serialization_transfer_wallclock_ns"":null,""state_update_macs"":null,""state_update_wallclock_ns"":null,""timeout_count"":null,""total_online_flops"":null,""total_online_macs"":null,""total_wallclock_ns"":null,""transient_workspace_bytes"":null,""wallclock_max_ns"":null,""wallclock_p50_ns"":null,""wallclock_p95_ns"":null,""wallclock_p99_ns"":null},""current_qualification_state"":""PENDING_PHASE9_COMMON_HARNESS_NULL"",""current_result"":{""ceiling_eligible"":false,""external_sota_vote"":false,""matched_eligible"":false,""numeric_metrics"":null,""rank"":null,""registered_best_vote"":false},""family"":""static_decoder_controller"",""historical_state"":""HISTORICAL_PRODUCTION_REQUALIFICATION_PENDING"",""implementation_paths"":[""cnn_fpga/benchmark/static_map_baseline.py"",""cnn_fpga/benchmark/static_protocol_decoder.py""],""label"":""Static recovery / static MAP"",""mandatory"":true,""method_id"":""static_recovery_map"",""privilege"":{""assumed_model_branching_access"":false,""deployable"":true,""deployable_teacher_call_during_formal"":false,""formal_label_access"":false,""future_suffix_access"":false,""hidden_truth_access"":false,""observed_only"":true,""privileged_diagnostic_evaluation_on_formal"":false,""scenario_id_access"":false},""registry_class"":""MATCHED_DEPLOYABLE_RANKED"",""role"":""MANDATORY_BASELINE"",""source_ids"":[""LOCAL-T3.1.2"",""LOCAL-T5.1.1""],""target_eligibility"":{""capacity_ceiling_candidate"":false,""matched_candidate"":true,""privileged_upper_bound"":false,""protocol_anchor"":false},""typed_null_reason"":""FULL_TRUSTED_RECOVERY_RAW_IQ_LIKELIHOOD_AND_SIX_STATE_LONG_SEQUENCE_NOT_QUALIFIED""}",e97da626b1723bfdd575285ce014a869952c60194b12c17b99f4c1721ea65ac4
