record_type,record_id,lane_id,family,unit,direction,denominator,statistic,allowed_lanes,state,notes
lane,single_mode_decoder,single_mode_decoder,,,,"same trace/seed, same syndrome/action, same observability, same fixed-point and compute budget",,single_mode_decoder,,"observed syndrome/history to logical coset, correction and safety action"
lane,surface_gkp_gate_outer_code,surface_gkp_gate_outer_code,,,,"same circuit/code family, distance set, noise law, decoder history and threshold estimator",,surface_gkp_gate_outer_code,,error-corrected GKP gate failure or concatenated outer-code recovery
lane,multimode_structured_lattice_cpd,multimode_structured_lattice_cpd,,,,same lattice family/dimension/noise/precision/hardware and exactness tolerance,,multimode_structured_lattice_cpd,,multidimensional closest lattice point or logical coset
lane,controller_rl_nmf,controller_rl_nmf,,,,"same physical simulator/apparatus, history/action, training/search budget, horizon and selection rule",,controller_rl_nmf,,history/performance to physical-control parameter update
lane,aqec_wallclock,aqec_wallclock,,,,"same apparatus/model, wall-clock horizon, noise, cutoff, duty, event and control budget",,aqec_wallclock,,physical autonomous/measurement-feedback memory preservation
lane,fpga_implementation,fpga_implementation,,,,same code/input/action/size/precision/device class/boundary/statistic/hardware evidence,,fpga_implementation,,concrete code/task input to concrete decoder/control output
metric,p_L,,logical_error,probability_per_round,lower_is_better,registered decoded rounds,raw errors/rounds plus paired cluster CI,single_mode_decoder;surface_gkp_gate_outer_code;multimode_structured_lattice_cpd,,no conversion from lifetime or threshold
metric,p_X,,logical_error,probability_per_round,lower_is_better,registered decoded rounds with X component,raw X counts/rounds,single_mode_decoder,,Pauli convention must match
metric,p_Y,,logical_error,probability_per_round,lower_is_better,registered decoded rounds with joint X and Z component,raw Y counts/rounds,single_mode_decoder,,never infer from pX+pZ
metric,p_Z,,logical_error,probability_per_round,lower_is_better,registered decoded rounds with Z component,raw Z counts/rounds,single_mode_decoder,,Pauli convention must match
metric,average_ler,,logical_error,probability_per_round,lower_is_better,all registered rounds with frozen family weights,raw total errors/total rounds and cluster CI,single_mode_decoder;surface_gkp_gate_outer_code,,no averaging across task signatures
metric,p95_window_ler,,tail_risk,probability_per_round,lower_is_better,fixed-length causal windows,empirical 95th percentile over registered windows,single_mode_decoder,,window length/overlap must match
metric,worst_window_ler,,tail_risk,probability_per_round,lower_is_better,fixed-length causal windows,maximum over all registered windows,single_mode_decoder;multimode_structured_lattice_cpd,,window length/overlap must match
metric,cvar95_window_ler,,tail_risk,probability_per_round,lower_is_better,worst 5 percent fixed-length causal windows,mean above empirical 95th-percentile threshold with tie rule,single_mode_decoder;multimode_structured_lattice_cpd,,tail level/window contract must match
metric,cnot_failure_probability,,gate_failure,probability_per_error_corrected_cnot,lower_is_better,one named error-corrected CNOT circuit,raw failures/CNOT trials with CI when reproduced,surface_gkp_gate_outer_code,,not a per-round LER
metric,squeezing_threshold_db,,threshold,dB,lower_required_squeezing_is_better,named code/noise/decoder finite-size family,crossing/fit with distances and uncertainty,surface_gkp_gate_outer_code,,requires explicit sigma-to-dB convention; never infer from gate failure
metric,noise_threshold_sigma,,threshold,source_sigma,higher_tolerable_noise_is_better,named code/noise/decoder finite-size family,crossing/fit with sizes and uncertainty,surface_gkp_gate_outer_code;multimode_structured_lattice_cpd,,no cross-paper sigma or dB conversion without identical convention
metric,finite_size_crossing_residual,,finite_size_scaling,source_metric,lower_is_better,registered sizes and fit points,residual/bootstrap stability,surface_gkp_gate_outer_code,,fit diagnostic only
metric,decision_mismatch_rate,,correctness,mismatches_per_instance,lower_is_better,same exact/brute-force input instances,raw mismatches/instances and zero-event bound,single_mode_decoder;surface_gkp_gate_outer_code;multimode_structured_lattice_cpd;fpga_implementation,,requires same decision object
metric,runtime_seconds,,runtime_scaling,s,lower_is_better,one named decode workload,median and tail over repeated runs,single_mode_decoder;multimode_structured_lattice_cpd,,hardware/environment must match
metric,memory_bytes,,memory_scaling,bytes,lower_is_better,one concrete implementation/problem size,peak resident or allocated as labeled,single_mode_decoder;multimode_structured_lattice_cpd;fpga_implementation,,BRAM conversion requires device primitive size
metric,asymptotic_time_complexity,,complexity,big_O,source_scoped,named lattice family and exact/approximate algorithm,formal source locator or derivation,multimode_structured_lattice_cpd,,generic exponential and structured linear/polynomial must remain separate
metric,logical_lifetime_cycles,,lifetime,protocol_cycles,higher_is_better,named logical observable and native protocol cycle,registered decay fit with interval,controller_rl_nmf;aqec_wallclock,,cannot compare across different cycle durations without wall-clock replay
