row_id,topic,supplement_state,source_ids,boundary
SUP-001,folded_syndrome,DEFINITION,Methods/T6.17.1,Half-open square-GKP residue with production tie rule
SUP-002,logical_coset_map,DEFINITION,T2/T6.17.1,Periodic likelihood sum; MAP is not renamed CPD
SUP-003,joint_correlated_map,DEFINITION,T6.6.1,Two-dimensional software comparator differs from phase LUT
SUP-004,pauli_ler,DEFINITION,T6.5.3,p_L equals p_X+p_Y+p_Z; raw denominators retained
SUP-005,window_tail,DEFINITION,T6.5.3/T6.7.2,"512-decision p95, worst and CVaR remain finite-horizon metrics"
SUP-006,paired_orientation,DEFINITION,T6.5.3,Positive baseline-minus-candidate difference favours candidate
SUP-007,gap_closure,DEFINITION,T6.5.3,Negative static-to-oracle gap closure is not clipped
SUP-008,observed_truth_split,FROZEN_PARAMETER,T6.5.2,Truth is evaluator/oracle only
SUP-009,quantization,FROZEN_PARAMETER,T6.5.2,"10-bit ADC, 8-bit address, 2-bit fraction"
SUP-010,map_word,FROZEN_PARAMETER,T6.5.2/T6.7.3,"Signed Q9.12, ties-to-even, saturation"
SUP-011,fast_path,FROZEN_PARAMETER,T6.5.2/T6.7.3,Six cycles and II=1 before physical transport
SUP-012,cadence,FROZEN_PARAMETER,T6.5.2/T6.6.2,"32-decision posterior and 4,000-cycle image opportunity"
SUP-013,compute_budget,FROZEN_PARAMETER,T6.5.2,"8,192 MAC/B/B and 5,000-us update ceilings"
SUP-014,hmm_contract,FROZEN_PARAMETER,T6.6.2,Four causal states with 0.1/4.0/2.0 calibration parameters
SUP-015,policy_tuple,FROZEN_PARAMETER,T6.6.3,"One tuple selected from 1,728 pilot candidates"
SUP-016,bank_transaction,FROZEN_PARAMETER,T6.5.2/T6.7.3,"CRC/SHA/CAS A/B bank, six-cycle drain and LKG"
SUP-017,formal_split,FROZEN_PARAMETER,T6.5.3,"12 calibration, 12 pilot and 24 formal clusters"
SUP-018,standard_binning,COMPARATOR,T6.6.1,Weak common-grid reference
SUP-019,static_joint_map,COMPARATOR,T6.6.1,"Strong software comparator, not current full joint-MAP RTL"
SUP-020,window_map,COMPARATOR,T6.6.1/T6.7.1,Strongest smooth deployable comparator
SUP-021,ewma_map,COMPARATOR,T6.6.1/T6.5.3,Pilot-locked primary comparator
SUP-022,kalman_map,COMPARATOR,T6.6.1,Secondary matched deployable comparator
SUP-023,route_a_v4,COMPARATOR,T6.6.2,Safety router over Window/EWMA shadows
SUP-024,oracle,COMPARATOR,T6.6.1,Truth-privileged non-ranking upper bound
SUP-025,paired_bootstrap,STATISTICAL_RULE,T6.5.3/T6.16.3,"20,000 whole-cluster resamples at 95% confidence"
SUP-026,multiplicity,STATISTICAL_RULE,T6.5.3/T6.16.3,Holm only within a preregistered endpoint family
SUP-027,failed_policy_families,NEGATIVE_OR_FAILURE,T6.6.3,Static-switch and freeze-all each fail all 38 tuples
SUP-028,static_window_counterevidence,NEGATIVE_OR_FAILURE,T6.7.1/T6.9.3,V4 is not the best deployable decoder
SUP-029,calibration_tail,NEGATIVE_OR_FAILURE,T6.7.2,181/512 versus static 32/512 worst window
SUP-030,bocd_budget,NEGATIVE_OR_FAILURE,T6.8.3,"13,004.1-us worst update exceeds 5,000-us cap"
SUP-031,v5_entry_stop,NEGATIVE_OR_FAILURE,T6.10.1/T6.15.5,Causal/action headroom fails before implementation
SUP-032,physical_board,NEGATIVE_OR_FAILURE,T6.9.2,All 42 measured fields remain null
SUP-033,generic_long_rtl,RTL_REPRODUCTION,T6.2.2,"One million cycles, ten fault families and all 61 attempts"
SUP-034,integrated_long_rtl,RTL_REPRODUCTION,T6.7.3,"995,802 replay plus 4,198 directed cycles; all 75/25 attempts"
SUP-035,toolchain,RTL_REPRODUCTION,T6.2.2/T6.7.3,Trace/model/executable/log hashes and exact tool versions
SUP-036,static_preboard_profile,RTL_REPRODUCTION,T6.19.1,Only static MAP-LUT has eligible current RTL/P&R estimate
SUP-037,single_ci_cpd,PHASE6C_LOCATOR,T6.17.1,Project-native square/isotropic equivalence only
SUP-038,two_gkp_cnot,PHASE6C_LOCATOR,T6.17.2,"Project-native matched gate failure, not memory LER"
SUP-039,structured_cpd,PHASE6C_LOCATOR,T6.18.2,Official-code reproduction with small-distance caveat
SUP-040,multimode_cpd,PHASE6C_LOCATOR,T6.18.3,Independent project-native d=3 drift result
SUP-041,learned_eligibility,PHASE6C_LOCATOR,T6.17.3,Zero of 16 same-task eligible
SUP-042,gqf_nmf,PHASE6C_LOCATOR,T6.8.4/T6.8.5,Blocked exact reproduction; 13 metrics null
SUP-043,aqec,PHASE6C_LOCATOR,T6.18.1,Negative project replay; official protocol blocked
SUP-044,external_fpga,PHASE6C_LOCATOR,T6.19.2,18 literature rows and zero exact same-task comparator
SUP-045,value_state_semantics,NON_MIXING_RULE,T6.16.2,"N/A, null, failed and negative remain distinct"
SUP-046,atlas_nonranking,NON_MIXING_RULE,T6.19.3,"206 cells, no global score/winner or V5 rescue"
