t75_asset_id,upstream_t74_id,source_path,role,boundary_note
T75-FIG-M01,T74-TBL-01,docs/figure_assets/T74_paper_ready_simulation_result_pack/table_snapshot.csv,authoritative_numeric_snapshot,"Frozen four-scenario software-HIL ranking only; T74-TBL-01 remains the authoritative substitute. T76 only tightened rendered legend/footer copy."
T75-FIG-M01,T74-TBL-01,runs/p4_benchmark/T24_formal_software_revalidation_20260510_200743/comparison.csv,upstream_raw_result,"Do not upgrade this figure into expanded benchmark, .tflite, or real-board evidence."
T75-FIG-M01,T74-FIG-01,docs/figure_assets/T74_paper_ready_simulation_result_pack/figure_manifest.json,upstream_visual_slot,"This SVG is a task-local completion of the prior partial main-text figure slot."
T75-FIG-M02,T74-FIG-02,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/fr6_multi_seed_mechanism_intervention.svg,visual_basis,"Descriptive mechanism/intervention figure only; no causal closure."
T75-FIG-M02,T74-TBL-03,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/figure_data.csv,authoritative_numeric_snapshot,"Use the locked six-seed values only; do not infer new statistics or expanded-benchmark claims. T76 only wrapped the rendered footer note."
T75-FIG-M02,T74-FIG-02,docs/figure_assets/T58_fr6_multi_seed_mechanism_intervention/caption.md,caption_basis,"Keep the mixed and mostly harmful intervention wording."
T75-FIG-A01,T74-FIG-03,docs/03_hil_p4_boundary_audit.md,schematic_boundary_basis,"This asset explains layered evidence boundaries only; it is not a success flowchart. T76 only wrapped long rendered lines."
T75-FIG-A01,T74-TBL-05,docs/evidence_packs/deployment_boundary/t48_true_tflite_runtime_gate.md,isolated_true_runtime_boundary,"Keep isolated current-host true runtime wording; do not claim default-env recovery or HIL closure."
T75-FIG-A01,T74-TBL-06,docs/evidence_packs/deployment_boundary/t72_real_board_transfer_pack_provenance_hardening.md,real_board_gate_boundary,"Keep read-only gate/provenance with current-host NO_GO; do not claim real-board execution success."
T75-FIG-A01,T74-SUP-03,docs/review/T48_review.md,supplementary_boundary_review,"Carry the T48 exclusion note when discussing deployment-adjacent evidence."
T75-FIG-A01,T74-SUP-04,docs/review/T72_review.md,supplementary_boundary_review,"Carry the T72 future-host and hardware-condition gap note."
T75-FIG-A01,T74-FIG-04,docs/figure_assets/T74_paper_ready_simulation_result_pack/figure_manifest.json,blocked_slot_reference,"The unified portability/deployment closure slot remains blocked and must stay blocked."
